NVDA US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,28.623,37.631,90.38,213.877,145.046,234.238,315.518,254.87,354.68,358.521,537.834,330.674,345.525,340.297,412.467,387.765,483,418,794,796,1575,979,1826,2605,5159,5282
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,0,22.906,13.367,17.51,22.131,23.225,25.743,56.261,31.299,122.024,76.935,67.88,84.927,157.989,126.896,157,105,252,227,613,249,632,791,2430,1719
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,15.385,6.446,12.05,77.13,13.179,44.523,130.211,107.847,111.058,107.835,38.747,67.502,72.698,62.934,67.352,94.844,92,103,176,192,238,265,457,692,466,1505
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,13.238,31.185,55.424,123.38,114.357,167.584,162.082,121.28,187.361,219.387,377.063,186.237,204.947,192.436,187.126,166.025,234,210,366,377,724,465,737,1122,2263,2058
    + Other Inventory,BS_OTHER_INV,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,1.599,6.76,61.241,81.507,23.642,17.8,23.084,27.069,40.56,54.336,56.299,46.966,42.092,99.342,180.656,138.779,133,93,118,86,136,157,239,366,791,3080
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,23.493,27.468,20.64,29.946,34.436,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,16.301,10.746,11.996,19.465,42.484,70.285,70,93,118,86,136,157,239,366,791,3080
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,101.112,173.175,930.884,1234.109,1351.6021,1052.712,1304.926,1550.299,2031.77,2888.829,2167.958,2480.83,3226.95,3905.358,4775.258,5624.711,5713,6053,8536,9255,10557,13690,16055,28829,23073,44345
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,11.65,25.886,47.28,120.128,135.152,190.029,178.955,178.152,260.828,359.808,625.798,571.858,568.857,560.072,576.144,582.74,557,466,521,997,1404,2292,2856,3607,4845,5260
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,18.591,41.33,76.245,170.569,229.083,337.875,395.822,460.401,569.498,753.518,1008.753,1088.483,1193.939,1156.528,1288.782,1282.82,1179,1100,1191,1737,2171,3303,4264,5510,7539,8769
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,6.941,15.444,28.965,50.441,93.931,147.846,216.867,282.249,308.67,393.71,382.955,516.625,625.082,596.456,712.638,700.08,622,634,670,740,767,1011,1408,1903,2694,3509
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,0.57,3.189,38.738,148.937,130.261,156.603,144.655,226.236,382.665,499.034,556.971,533.23,699.439,1087.498,1060.843,1043.443,931,851,784,989,1331,1333,9880,11751,13264,16123
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,0,0,23.795,81.119,76.471,148.872,135.621,160.738,346.936,460.983,516.945,490.302,658.589,967.166,953.362,939.191,840,784,722,670,663,667,6930,6688,6048,5542
    + Goodwill,BS_GOODWILL,,,,,,,,,,,23.795,50.326,54.227,108.909,108.107,145.317,301.425,354.057,369.844,369.844,369.844,641.03,641.03,643.179,618,618,618,618,618,618,4193,4349,4372,4430
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,0,30.793,22.244,39.963,27.514,15.421,45.511,106.926,147.101,120.458,288.745,326.136,312.332,296.012,222,166,104,52,45,49,2737,2339,1676,1112
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,20.005,15.432,21.239,83.98,75.207,,,,,,,,440,409,387,364
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,0.851,7.459,3.527,,,,,,560,548,806,1222,3396,6081
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,6.412,6.63,8.792,10.382,10.03,,,,,,,,144,266,299,1546
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,0.57,3.189,14.943,67.818,53.79,7.731,9.034,65.498,35.729,38.051,13.609,20.866,9.968,18.511,18.717,104.252,91,67,62,319,108,118,1560,3166,3134,2590
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,12.22,29.075,86.018,269.065,265.413,346.632,323.61,404.388,643.493,858.842,1182.769,1105.088,1268.296,1647.57,1636.987,1626.183,1488,1317,1305,1986,2735,3625,12736,15358,18109,21383
Total Assets,BS_TOT_ASSET,,,,,,,,,113.332,202.25,1016.902,1503.174,1617.015,1399.344,1628.536,1954.687,2675.263,3747.671,3350.727,3585.918,4495.246,5552.928,6412.245,7250.894,7201,7370,9841,11241,13292,17315,28791,44187,41182,65728
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,4.13,38.098,98.469,176.924,90.799,74.419,100.356,301.176,448.834,797.645,-30.041,-67.987,253.146,581.09,562.536,440,631,614,1666,3047,4141,2796,4332,9752,4368,29760
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,-1.912,15.871,267.909,160.806,265.032,49.678,132.2,446.408,572.681,1270.196,249.36,487.807,675.797,909.156,824.172,835,906,1175,1672,3502,3743,4761,5822,9108,5641,28090
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,-7.899,-11.589,-36.329,-96.966,-63.123,-127.604,-67.261,-79.6,-130.826,-187.745,-407.67,-77.601,-97.89,-138.735,-183.309,-230,-101,-79,-169,-591,-600,-489,-1128,-976,-1833,-1069
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,25,21,7,7,2,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,-7.899,-11.589,-36.329,-96.966,-63.123,-127.604,-67.261,-79.6,-130.826,-187.745,-407.67,-77.601,-97.89,-138.735,-183.309,-255,-122,-86,-176,-593,-600,-489,-1128,-976,-1833,-1069
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,-27.948,0,0,-348.884,0,-17,0,0,0,0,0,-4,-8524,-263,-49,-83
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,-27.948,0,0,-348.884,0,-17,0,0,0,0,0,-4,-8524,-263,-49,-83
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,0,0,-24.5,-504.206,-214.201,215.645,-84.692,37.813,-395.567,-573.573,226.251,-441.732,-551.788,-655.745,-560.683,-559,-626,-321,-624,1869,-3497,6638,-10023,-8591,9257,-9414
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,-7.899,-11.589,-60.829,-601.172,-277.324,88.041,-151.953,-41.787,-526.393,-761.318,-209.367,-519.333,-649.678,-1143.364,-743.992,-806,-727,-400,-793,1278,-4097,6145,-19675,-9830,7375,-10566
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,-46.866,-181,-186,-213,-261,-341,-371,-390,-395,-399,-398,-395
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,14.152,-6.397,289.056,-2.53,0.799,-308.048,-4.015,0,0,0,0,-0.929,-0.571,-11.927,-2.049,1304,0,0,1315,-812,-16,0,0,-1000,0,-1250
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,37.887,13.418,116.579,90.375,25.487,37.757,17.858,-61.012,-53.818,-326.543,-349.218,61.988,192.592,248.65,33.645,-733,-642,-457,-572,-770,-1442,149,194,281,-9684,-9130
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,37.887,13.418,116.579,90.375,25.487,37.757,42.502,127.497,221.16,225.969,74.418,140.063,192.592,248.65,133.645,154,172,130,167,139,137,149,194,281,355,403
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,0,0,0,,0,0,-24.644,-188.509,-274.978,-552.512,-423.636,-78.075,0,0,-100,-887,-814,-587,-739,-909,-1579,0,0,0,-10039,-9533
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,0.045,0,,11.246,0,0,0,-0.365,0.188,0.22,-0.056,0,0,0,0,0,-6,-6,-191,-621,-1037,-551,4005,2983,-1535,-2858
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,52.084,7.021,405.635,99.091,26.286,-270.291,13.843,-61.377,-53.63,-326.323,-349.274,61.059,192.021,236.723,-15.27,390,-834,-676,291,-2544,-2866,-792,3804,1865,-11617,-13633
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,42.273,11.303,612.715,-341.275,13.994,-132.572,-5.91,343.244,-7.342,182.555,-309.281,29.533,218.14,2.515,64.91,419,-655,99,1170,2236,-3220,10114,-10049,1143,1399,3891
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,0,15.965,0.235,26.429,-35.101,-0.211,0.763,3.368,26.628,2.328,7.62,4.217,-1.071,58.328,-38.608,15,14,14,14,22,61,176,249,396,1404,6549
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,3.901,71.303,0,12.131,401.8,75.542,27.948,0,0,348.884,0,17,0,0,0,0,0,4,8524,263,49,83
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,-9.811,4.282,231.58,63.84,201.909,-77.926,64.939,366.808,441.855,1082.451,-158.31,410.206,577.907,770.421,640.863,580,784,1089,1496,2909,3143,4272,4694,8132,3808,27021
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,4.5072,234.8793,75.1611,211.84,-67.614,65.099,366.8688,441.874,1082.4988,,,580.8262,773.1268,643.6619,588.6275,822.445,1127.8398,1546.7234,2967.1561,,4320.9535,4874.7866,8363.5131,,27247.1612
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,-2.115,520.636,61.31,202.708,-385.974,60.924,366.808,441.855,1082.451,-158.31,409.277,577.336,758.494,638.814,1909,805,1096,2818,2099,3127,4272,4694,7132,3808,25771
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,-0.0014,0.0003,0.0147,0.0037,0.011,-0.004,0.0033,0.018,0.0209,0.0492,-0.0072,0.0187,0.0251,0.0319,0.0259,0.0247,0.0355,0.0501,0.0691,0.1214,0.1292,0.0438,0.1903,0.3258,0.1531,1.0944
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,327.4444,9.2673,149.87,8.7511,18.0573,60.2476,16.9131,29.5175,17.2892,4.0758,25.0266,15.3273,10.8597,11.8479,16.241,14.1168,16.4346,38.6005,39.8441,25.825,134.3391,68.6125,90.2728,95.4438,45.2499
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,-0.463,0.4166,2.7207,0.9089,2.9189,0.6675,1.3178,1.4822,1.2759,1.5924,,,2.6696,1.5646,1.4651,1.8977,1.4358,1.9137,1.0036,1.1493,0.9039,1.7028,1.344,0.934,1.2914,0.9439
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,158.237,374.505,735.264,1369.471,1909.447,1822.9449,2010.033,2375.687,3068.771,4097.86,3424.859,3326.445,3543.309,3997.93,4280.159,4130,4682,5010,6910,9714,11716,10918,16675,26914,26974,60922
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,3424.859,3326.445,3543.309,3997.93,4280.159,4130,4682,5010,6910,9714,11716,10918,16675,26914,26974,60922
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,109.746,235.575,462.385,850.233,1327.271,1294.067,1360.547,1465.654,1768.322,2228.58,2250.59,2149.522,2134.219,1941.413,2053.816,1862,2083,2199,2847,3892,4545,4150,6279,9439,11618,16621
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,2250.59,2149.522,2134.219,1941.413,2053.816,1862,2083,2199,2847,3892,4545,4150,6279,9439,11618,16621
Gross Profit,GROSS_PROFIT,,,,,,,,,48.491,138.93,272.879,519.238,582.176,528.8779,649.486,910.033,1300.449,1869.28,1174.269,1176.923,1409.09,2056.517,2226.343,2268,2599,2811,4063,5822,7171,6768,10396,17475,15356,44301
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,43.975,84.518,144.744,267.476,438.19,435.221,535.893,573.369,846.997,1032.934,1244.969,1275.868,1153.343,1408.218,1578.104,1772,1840,2064,2129,2612,3367,3922,5864,7434,11132,11329
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,58.697,97.185,,,200.789,202.088,293.53,341.297,362.222,367.017,361.513,405.613,430.822,436,480,602,663,815,991,1093,1940,2166,2440,2654
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,855.879,818.395,848.83,1002.605,1147.282,1336,1360,1331,1463,1797,2376,2829,3924,5268,7339,8675
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,26.868,0,-57,0,0,0,0,131,3,0,0,0,0,0,1353,0
Operating Income (Loss),IS_OPER_INC,,,,,,,,,4.516,54.412,128.135,251.762,143.986,93.657,113.593,336.664,453.452,836.346,-70.7,-98.945,255.747,648.299,648.239,496,759,747,1934,3210,3804,2846,4532,10041,4224,32972
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,-27.746,-16.651,-15.422,-15.097,-13.8,-14,4,4,29,14,-92,-124,123,100,43,-846
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,-16.679,-11.708,,,-11.222,-20.626,-41.799,-64.235,-42.453,-19.795,-15.93,-16.06,-16.614,-7,18,8,4,-8,-78,-126,127,207,-5,-609
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,0.332,4.852,16.173,16.467,12.01,0.2,0.072,0.021,0.054,0.406,3.32,3.127,3.089,3.294,10,46,47,58,61,58,52,184,236,262,257
    - Interest Income,IS_INT_INC,,,,,,,,,,21.531,21.531,27.881,23.246,18.561,11.422,20.698,41.82,64.289,42.859,23.115,19.057,19.149,19.908,17,28,39,54,69,136,178,57,29,267,866
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,14.707,3.144,0.508,0.963,2.814,-7,-14,-4,25,22,-14,2,-4,-107,48,-237
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,4.487,56.166,144.808,252.749,150.557,86.673,125.409,356.788,494.48,901.341,-42.954,-82.294,271.169,663.396,662.039,510,755,743,1905,3196,3896,2970,4409,9941,4181,33818
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,10.03,61.832,16.568,,,31.604,4,227.122,232.39,135.398,27.182,18.504,-5.036,-15.1,214,36,32,34,46,874,890,2604,385
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,140.241,,,,,,18,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,4.5,,-57,7.3,,3.74,,70,16,1,44,15,38,9,23,40
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,-2.1,-1.8,-1.5,-0.4,-0.5,-2,-0.1,-2,-4,-2,-12,1,,-99,45,-238
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,195.954,95.878,181.193,,,-10.856,-15,32,-3,,,,836,344,455,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,4.487,56.166,144.808,252.749,150.557,86.673,125.409,356.788,494.48,901.341,-42.954,-82.294,271.169,663.396,662.039,510,755,743,1905,3196,3896,2970,4409,9941,4181,33818
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,0.357,18.068,46.339,75.825,59.758,12.254,25.089,55.612,46.35,103.696,-12.913,-14.307,18.023,82.306,99.503,70,124,129,239,149,-245,174,77,189,-187,4058
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,4.13,38.098,98.469,176.924,90.799,74.419,100.32,301.176,448.13,797.645,-30.041,-67.987,253.146,581.09,562.536,440,631,614,1666,3047,4141,2796,4332,9752,4368,29760
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,0,0,0,0,0,0,0,0,-0.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,4.13,38.098,98.469,176.924,90.799,74.419,100.32,301.176,448.834,797.645,-30.041,-67.987,253.146,581.09,562.536,440,631,614,1666,3047,4141,2796,4332,9752,4368,29760
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",NET_INCOME,,,,,,,,,4.13,38.098,98.469,176.924,90.799,74.419,100.32,301.176,448.834,797.645,-30.041,-67.987,253.146,581.09,562.536,440,631,614,1666,3047,4141,2796,4332,9752,4368,29760
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
