NFLX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.982,1057.283,1338.208,,1613.898,2085.501,2757.434,,18.29,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9.972,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.194,3.232,3.737,3.465,2.862,3.26,3.195,3.755,2.756,5.277,8.755,12.885,8.214,11.433,10.032,31.435,27.555,28.388,26.353,27.988,38.29,32.618,32.137,47.281,30.667,45.69,50.547,61.654,78.391,87.595,79.5,90.771,113.208,162.133,235.434,286.844,378.881,593.037,824.341,1033.046,1254.215,1324.442,1426.663,1492.713,1531.228,1490.212,1714.291,1858.358,1918.541,1954.015,2156.663,2318.557,2581.348,2803.752,2960.071,3121.125,3471.365,3552.69,3850.637,3986.509,3172.119,3478.6,3300.671,4847.179,3610.012,3355.031,2905.013,5899.652,802.06,872.91,892.74,1160.067,1295.897,1410.891,1434.089,1556.03,1703.803,1826.746,1889.106,2042.021,2089.069,2021.329,2703.17,3208.021,2655.119,2929.347,2912.028,2780.247,2875.574,2959.641,2905.172
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.182,22.492,25.256,26.539,22.167,26.101,22.618,26.741,31.704,33.837,59.322,62.217,74.597,59.811,77.146,56.007,53.013,48.51,33.152,,57.254,32.064,30.522,,,,,,,,,,,,,,,,,,,,,178.833,177.46,184.039,187.865,0,0,0,0,0,0,0,0,323.818,419.134,368.303,391.832,392.735,485.997,481.546,482.375,408.936,454.145,445.622,435.73
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,0,,,,0,,,,0,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.208,19.859,18.268,35.115,50.682,55.9,51.176,50.83,81.504,128.296,176.112,203.927,304.284,533.226,747.195,948.939,1191.402,1266.932,1385.111,1481.713,1462.374,1446.548,1672.369,1836.858,1898.641,1935.015,2141.763,2305.157,2567.348,2787.952,2939.871,3104.025,3471.365,3552.69,3850.637,3966.809,3172.119,3478.6,3300.671,4847.179,3610.012,3355.031,2905.013,5720.819,624.6,688.871,704.875,1160.067,1295.897,1410.891,1434.089,1556.03,1703.803,1826.746,1889.106,1718.203,1669.935,1653.026,2311.338,2815.286,2169.122,2447.801,2429.653,2371.311,2421.429,2514.019,2469.442
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.865,95.031,101.275,117.047,113.194,119.585,127.602,138.946,148.958,158.721,176.569,187.346,174.036,182.405,191.918,243.691,255.32,370.09,395.094,428.418,426.273,410.57,418.318,432.423,326.162,359.154,301.375,358.925,364.88,342.564,234.962,411.013,379.538,441.218,492.247,637.231,721.602,969.444,1190.113,1830.857,2058.741,2137.785,2225.018,2240.791,2557.1,2570.322,2849.278,3058.763,3586.784,3668.38,3823.482,3927.053,5539.056,5600.51,5569.713,5431.84,5543.836,5386.918,5193.893,5720.291,5660.33,6700.785,6385.348,7669.974,7817.576,9346.889,8729.981,9694.135,4168.907,5877.157,5327.758,6178.504,6447.781,8564.139,9826.48,9761.58,10107.508,9604.276,9415.787,8069.825,8098.015,7840.778,8816.903,9266.473,10482.623,11506.336,10779.474,9918.133,9921.313,9615.553,12129.099
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.426,6.727,5.87,5.62,4.848,6.108,6.586,9.772,10.328,11.053,13.649,18.728,23.635,27.41,30.415,40.213,40.088,41.607,43.164,55.503,64.452,67.355,71.616,113.175,86.997,129.553,128.541,124.948,123.817,120.346,122.119,131.653,127.165,123.292,125.057,128.57,134.8,136.948,143.993,136.353,128.197,124.644,133.603,131.681,129.319,127.931,127.263,133.605,133.473,141.715,144.147,149.875,145.816,171.396,181.268,173.412,166.254,162.864,191.876,250.395,275.083,309.831,322.421,319.404,341.932,349.646,371.152,418.281,1246.372,1460.399,1512.992,2097.506,2152.455,2563.941,2767.118,2997.909,3023.148,3210.113,3469.572,3770.026,3867.541,3703.342,3584.261,3625.379,3588.114,3659.7,3622.892,3568.343,3660.493,3734.219,3782.67
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.868,,,21.524,,,,29.325,,,,42.205,,,,72.623,,,,100.846,,,,180.75,,210.732,218.291,223.786,231.441,,,265.947,270.977,276.304,254.124,265.149,276.51,288.141,305.345,306.038,306.284,310.298,329.833,336.037,337.751,347.704,344.419,357.196,368.104,386.805,396.554,414.691,423.055,453.169,472.305,470.758,471.501,474.209,505.958,544.604,566.683,615.881,644.222,641.218,679.798,689.942,727.115,786.8,1617.395,1845.511,1915.596,2513.511,2589.011,3024.147,3241.303,3492.699,3543.692,3763.078,4062.943,4386.332,4557.673,4368.238,4294.283,4379.12,4396.464,4530.438,4525.583,4423.386,4545.096,4648.946,4704.996
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.442,,,15.904,,,,19.553,,,,23.477,,,,32.41,,,,45.343,,,,67.575,,81.179,89.75,98.838,107.624,,,134.294,143.812,153.012,129.067,136.579,141.71,151.193,161.352,169.685,178.087,185.654,196.23,204.356,208.432,219.773,217.156,223.591,234.631,245.09,252.407,264.816,277.239,281.773,291.037,297.346,305.247,311.345,314.082,294.209,291.6,306.05,321.801,321.814,337.866,340.296,355.963,368.519,371.023,385.112,402.604,416.005,436.556,460.206,474.185,494.79,520.544,552.965,593.371,616.306,690.132,664.896,710.022,753.741,808.35,870.738,902.691,855.043,884.603,914.727,922.326
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.449,16.14,15.762,7.863,17.587,24.372,24.676,27.294,31.947,34.419,45.419,45.719,55.911,58.913,55.969,80.777,97.537,101.015,112.336,124.858,134.385,134.375,134.263,133.4,172.519,157.316,153.083,131.551,139.981,129.083,135.05,137.068,141.59,129.462,152.979,216.266,233.786,464.301,627.452,1101.986,1293.521,1215.861,1450.212,1595.418,1676.87,1782.498,1924.784,2220.195,2327.849,2515.727,2810.7,2965.572,3555.754,3882.955,4165.286,4597.619,5552.184,6043.725,6961.569,7615.924,8423.683,9506.607,10243.771,11023.364,11993.289,12967.002,14265.096,15861.984,21803.353,22833.783,24100.961,25699.702,26459.674,26047.201,26028.945,26520.87,26992.358,28156.58,29854.498,32744.812,33365.348,34806.815,35161.023,35702.916,35419.608,35651.437,35099.42,35245.516,35245.915,35749.123,36370.075
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.424,7.71,6.902,6.094,5.285,4.477,3.704,2.948,2.322,1.868,1.415,0.961,0.507,0.127,0.469,0.457,0.445,1.019,0.994,0.969,,,,1.366,,1.906,122.558,100.391,105.361,100.316,104.539,108.81,109.431,94.666,120.047,180.973,197.554,425.246,570.21,1046.934,1226.274,1147.805,1366.566,1506.008,1576.674,1682.202,1808.387,0,,2348.796,,0,,,,0,,550.488,842.706,0,1229.962,1152.523,1501.601,1469.654,1775.395,2264.561,2980.319,3616.968,3842.982,4223.013,4999.495,5418.53,5990.651,5488.255,5584.243,5826.662,7021.393,8332.99,9769.147,10242.575,,12199.151,12270.079,10893.646,0,10611.966,9856.57,9092.205,9194.722,9535.062,9842.404
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,,0,0,0,,,0,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,,,,0.457,0.445,,0.994,0.969,,,,1.366,,,122.558,100.391,105.361,100.316,104.539,108.81,109.431,94.666,120.047,180.973,197.554,425.246,570.21,1046.934,1226.274,1147.805,1366.566,1506.008,1576.674,1682.202,1808.387,0,,2348.796,,0,,,,0,,550.488,842.706,0,1229.962,1152.523,1501.601,1469.654,1775.395,2264.561,2980.319,3616.968,3842.982,4223.013,4999.495,5418.53,5990.651,5488.255,5584.243,5826.662,7021.393,8332.99,9769.147,10242.575,,12199.151,12270.079,10893.646,0,10611.966,9856.57,9092.205,9194.722,9535.062,9842.404
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
