LLY US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,602.1,624.7,675.3,673,703.7,733.4,793,796.9,806.2,897.7,893.4,938.4,1017.8,1061.1,1147.2,1103,1095.2,1131.3,1041.9,968.9,901.1,903.4,834,839.6,843.7,870.4,878.3,881.4,876.3,945.8,914.7,900.7,977.8,985.2,1028.5,999.9,929.8,943.4,1029.3,899.6,899.6,935.8,905,883.1,883.3,956.8,1052,1060.2,1097.2,1358.7,1378.4,1495.4,1584.7,1709.9,1699.7,1963,2039.5,2058.9,2092,2291.6,2198.3,1988.8,1949.9,1878,1969.1,2099.2,2199.8,2270.3,2277.8,2330,2498,2523.7,2594.4,2546.4,2111.6,2493.2,2549,2999.7,3128.2,2849.9,2471.1,2174.4,2679.6,2517.7,2767.2,2870.2,2513.3,2299.8,2424.2,2320.8,2553.4,2643.8,2576.7,2725.4,2974.1,2928.8,2969,3190.3,2844.5,2740,2980.2,3288.4,3417.7,3445.8,3740.2,3759.9,3881.2,3561.9,4035.1,4346,4406.9,4458.3,4631.3,4155.5,4118,3098.1,3055.2,3181.1,3101.3,3190.7,3102.4,3313.9,3555.4,3980.3,3660.8,3824.9,3907.4,3886,3893,3899.4,3831.1,4309.7,4544.8,4798.7,4901.4,5772.8,6101.8,6481.5,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.7,,,,191,,,,,,,,224.7,,,,230.1,,,,264.9,,,,242.7,,,,315.9,,,,305.7,,,,214.7,,,,187,,,,202.7,,,,236.3,,,,227.8,,,,220.8,,,,205.8,,,,256.1,,,,259,,,,315,,,,403,,,,435.3,,,,488.8,,,,426.1,,,,424.6,,,,651.2,,,,717.2,,,,801.9,,,,1630.1,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.4,,,,459.4,,,,,,,,372.7,,,,380.6,,,,489.6,,,,816.3,,,,1169,,,,1356.3,,,,1272.4,,,,1551.5,,,,1803,,,,1657.1,,,,1830.1,,,,1714.2,,,,1518.2,,,,1735.8,,,,1868.3,,,,1715.4,,,,2058.1,,,,2117.2,,,,2697.7,,,,2057.8,,,,2067.6,,,,2535.4,,,,2372.7,,,,2597.7,,,,3248.6,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.3,,,,250.3,,,,,,,,295.1,,,,284.3,,,,315.1,,,,482.9,,,,542.1,,,,717.5,,,,471.3,,,,644.5,,,,653.4,,,,771,,,,938.3,,,,800.8,,,,786.4,,,,834.4,,,,968.1,,,,838,,,,1053.4,,,,987.3,,,,1211.4,,,,577.8,,,,647.3,,,,758.9,,,,761.9,,,,901.2,,,,791.7,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,-11.9,,,,0,,,,-46.5,,,,-64,,,,-87.9,,,,-80.4,,,,-112.7,,,,-135.4,,,,-171.2,,,,-146.3,,,,-218.1,,,,-210.6,,,,-182.5,,,,-166.6,,,,-128.4,,,,-68.7,,,,22.1,,,,60.4,,,,36.4,,,,51.2,,,,34.8,,,,34.2,,,,8.9,,,,102.4,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,296.6,305,272.9,306.8,308.7,316.2,306.5,525.3,509,467.3,494.2,440.7,457.2,444.6,431.4,656.9,643.4,597.1,583.2,696.5,764.4,759.4,685,694.4,515.7,532.5,499.7,580.2,727.8,705.3,573.8,851.1,803,780,888.3,841.9,854.6,823.5,812,876.7,830.4,749.2,737.7,811,767.9,887,930.7,741.5,969.6,1014.4,1073.9,983.7,1373.1,1383.6,1350.5,1227.7,1372.2,1344.2,1406.3,1021.1,1326.3,1476.8,1706.1,1566.8,1774.2,1796.9,1875,1234.5,1350.5,1812.7,1873.6,2287.3,1804.2,2221.7,2013.4,1255.2,1526.7,1603.9,1735.9,1804.5,1828.6,2111.5,2071.8,2115.2,2219.7,1945.7,1772.1,1475.9,1863.8,1550.3,1324.4,1385.3,1600.8,1659,1418.8,1371,1861.4,1659.5,1424.6,1238.3,1514.3,1488.7,1551.8,1246.2,1408.3,1364.9,1443.6,1505.7,1422.6,1647.8,1700.1,2165,2351.1,2477.7,2709,5517.9,3204.7,3309.9,3522.1,3551.5,4040.8,4052.4,4178.2,3966.3,4327,4397.7,4194,3999.7,4223,4149.3,4622.2,4874.1,5191.3,6332.5,7746,8533.7,8615.1,9416.7,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,824.7,1006.1,714.3,1017.8,1128,1192,828.3,550.1,436.5,378.4,158.5,324,,790.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,81.3,43.2,13.7,40,29,30.2,22.3,12.1,7,7,11,23.5,35.2,15,26.8,6.4,7.5,23.3,111.6,34.1,10.8,123.6,83.2,51.5,30.2,14.2,34.2,4.3,31.3,23,1.6,5.5,33,36.6,69.2,,16.9,56.3,18.4,32.5,1.2,10.7,41.1,27.5,27.7,32.7,14.7,42.1,34.7,270.8,257.1,120.2,144.8,301.4,597.7,,85.8,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.5,488.6,466.1,1081.4,535.6,587.8,538.8,1273.2,1629.6,1480.2,1363.5,1295.1,1527.7,1543.3,527.3,1374.3,1577.3,1623.8,1403.8,1344.2,1855,1652,1401.3,1126.7,1480.2,1477.9,1428.2,1163,1356.8,1334.7,1429.4,1471.5,1418.3,1616.5,1677.1,2163.4,2345.6,2444.7,2672.4,3219.6,3204.7,3293,3465.8,3533.1,4008.3,4051.2,4167.5,3925.2,4299.5,4370,4161.3,3985,4180.9,4114.6,4351.4,4617,5071.1,6187.7,7444.6,7936,8615.1,9330.9,
Total Current Assets,BS_CUR_ASSET_REPORT,2334.3999,2346.6001,2515,2501.3,2659,2655.8999,2765.5,2939.3,2944.2,2948.2,3037.5,3006,3333.8,3316.5,3458,3697.1001,3840.6001,3999.2,4176.7002,3962.3,4433.6001,4410.2998,4111,4138.6001,3847.5,4058.8999,3860.8,3891.3,4275.7,4992.1,4609.1,5320.7002,4779,4798,5329.9,5406.7998,5700.5,5247.5,6595.3,7055.5,6952.8,6752.1,6892.1,7943,6868.1,6864.5,6976.9,6938.9,7424.1,8117.9,8313.2,7804.1,8159.8,7762.9,8583.4,8758.7,8798.9,8788.2,9585.7,12835.8,11257.3,10953.8,11946.9,10795.8,10360.6,10588.6,9771.2,9694.4,9246,9561.3,10453.7,12316.1,12494.2,12677.1,12945.8,12453.3,10260.4,10935.3,11810,12486.5,12252.4,12466.4,14184.3,14840,15354.3,14950.3,14572.7,14248.2,12602.6,12307.3,14038.9,13038.7,12326.1,12639.3,13202.2,13104.7,13039.3,13156.7,12110.5,11928.3,11742.7,12346,12567,12573.6,11714.6,12977.3,13385.9,15101.4,12976.2,15746.5,17428.4,19202.1,16261.5,18332.7,20685.9,20549.6,12597.5,13454.5,12661.8,13709.6,13994.2,14581.9,16239.9,17462.1,16604.5,17295.5,17808.3,18452.4,16964.7,17115.2,17639.9,18034.5,20811.4,21331.6,23007,25727,25188.8,30204.3,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,2227.8999,2412.6001,2611.1001,2936.7,3034.6001,3224.3,3484.3,3782.5,3839.6001,4000.8,4007.8999,4072.1001,4079,4068.8999,4137.7998,4200.2002,4205.5,4289.1001,4292.6001,4411.5,4417.1001,4467.6001,4164.2002,4239.2998,4214.1001,4240.7002,4285.7998,4307,4194.3,4156.5,4095.2,4101.7002,4041.8,4044.7,4045.6,4096.2998,3852.8,3853.4,3888.6,3981.5,3946.4,3991.9,4003.5,4176.6,4174.6,4243.3,4406.7,4532.4,4599.1,4804,4988.4,5293,5453.8,5692.1,5943.5,6539,6846.6,7135.1,7482.9,7550.9,7581.9,7737.9,7834.8,7912.5,7946.3,8088,8215.4,8152.3,8209.1,8309.7,8440.7,8575.1,8662.1,8670.5,8262.1,8626.3,8450.2,8594.3,8232.7,8197.4,7987,7784.4,7941.9,7940.7,7967.7,7953.7,7812.2,7760.3,7754.6,7619.9,7638.9,7760.2,7623.4,7636.7,7767.4,7975.5,7970.7,8100.9,8043.3,7963.9,7950.7,8022.6,8075.3,8053.5,8033.1,8066.1,8251.9,8252.6,8425.5,8582.8,8598.5,8826.5,8958.2,8770.8,8814.1,7996.1,8326.5,8393,8337.2,7872.9,7897.9,7981.1,8281.1,8681.9,8630.1,8855.5,8920.4,8985.1,9102.7,9128.2,9311.3,10144,10546.2,11277.4,11863.2,12913.6,13624,14829.4,
