MSFT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,50.029,55.565,58.4,63.4,52.9,47.106,58.4,58,60.4,85.873,88,102,119,127,95,130,131,102,108,117,87,88,125,108,33,,,,,,,,,,,,,,,,,,,,,,,,,673,959,650,604,640,1099,621,542,421,608,304,340,491,726,1003,1113,1478,2521,1725,1750,1127,1178,755,774,985,1640,968,657,717,1150,589,501,740,1242,861,1056,1372,2270,1351,1412,1137,1624,1661,2133,1938,2613,1594,1920,2660,3141,2053,2469,2902,3816,2702,2450,2251,3122,1961,1979,2181,3211,2003,2084,2662,3614,1961,1951,2063,2622,1823,1644,1895,2705,1924,2245,2636,3411,3019,3296,3742,4268,2980,2877,2500,3000,1615,1304,1246,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,150,184,247,247,241,202,150,487,59,56,69,297,496,465,465,2116,294,420,435,290,241,444,417,402,263,173,170,165,100,120,172,189,151,175,232,235,243,233,210,461,646,802,328,673,389,508,944,840,681,1019,1100,1192,1791,636,612,582,363,555,797,766,491,627,655,690,455,450,399,653,409,655,700,796,560,752,1190,1178,944,1369,1144,1143,1060,1055,709,520,382,341,394,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,148,252,77,66,31,58,57,58,45,30,11,4,16,10,54,54,56,56,81,73,96,48,76,11,201,166,80,60,266,286,260,293,202,155,120,122,158,110,98,127,145,112,91,67,54,58,61,71,53,47,49,86,83,83,83,98,79,74,73,87,82,51,38,35,23,15,12,12,7,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,500,420,393,393,380,340,271,121,245,284,422,429,507,648,1013,405,1431,1330,544,636,437,264,537,1180,648,426,502,955,478,377,552,1043,656,827,1084,1979,1027,1106,831,1115,939,1320,1409,1774,1125,1352,1450,2015,1112,1157,1600,2469,791,1692,1481,2430,1500,1297,1239,2333,1421,1390,1953,2866,1445,1430,1611,1922,1365,903,1112,1826,1281,1395,1367,2159,2002,1840,2516,3074,1882,1787,1768,2465,1221,951,845,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,31.516,34.089,39.7,46.4,47.6,51.779,46.2,58.4,65.8,68.715,66,118,87,95,82,96,116,121,143,149,155,201,176,207,212,260,279,307,272,427,416,450,358,502,569,543,608,2221,854,893,1110,3260,3510,3984,4239,4366,4554,4664,4904,4122,4159,3963,3815,4089,3656,3394,3384,3663,2767,2945,3049,3315,3250,3232,3881,4055,4126,4687,4343,4292,4119,4323,4503,5006,5305,5094,5545,5924,5766,4603,5214,5134,4520,4697,5024,5787,5445,5783,4958,5127,5912,5284,4917,5020,5158,5346,5164,6333,7218,7874,8064,5461,7041,7963,8172,6061,6893,6040,5616,5103,4788,4422,5097,6751,7311,7571,7049,10146,7551,7473,8536,11482,13544,9477,9347,13393,12951,12280,13320,16924,18003,19502,19165,21807,23682,21930,21826,26021,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967,465,339,364,475,597,249,188,180,196,566,457,178,262,137,127,163,254,134,119,93,109,473,828,1075,719,817,741,606,548,480,772,422,336,182,193,138,395,270,132,182,133,60,155,206,234,109,341,437,215,175,274,200,226,289,40,,251,333,272,111,161,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3331,3590,2652,3246,2986,2183,2517,2353,1927,1961,2258,3124,2689,3157,2430,2830,3723,3174,3078,3134,3766,3899,3647,4283,4961,5345,5301,2827,4777,5604,5992,5513,6413,5268,5194,4767,4606,4229,4959,6356,7041,7439,6867,10013,7491,7318,8330,11248,13435,9136,8910,13178,12776,12006,13120,16698,17714,19462,19165,21556,23349,21658,21715,25860,
Total Current Assets,BS_CUR_ASSET_REPORT,679.479,719.89,770.8,877.3,929,1028.5031,1201.2,1351.6,1533,1769.704,1961,2340,2646,2850,3073,3482,3912,4312,4554,4696,5287,5620,6417,7103,7696,7839,8232,10442,10224,10373,10838,11636,13735,15889,18964,21809,24058,21702,21963,22020,25217,30308,31393,35016,37789,39637,44332,47988,47827,48576,50043,52931,54672,58973,60910,62400,65270,70566,72896,44399,46593,48737,49831,46694,46628,49010,45358,45180,42783,40168,35853,37775,41489,43242,37202,37730,40724,49280,52231,52487,54518,55676,59581,59684,66263,74918,75271,72513,76860,85084,84051,89574,93524,101466,99450,106870,109006,114246,112439,116362,118398,122797,121656,127812,128421,142188,160426,147519,148977,162696,161031,167633,156659,169662,164195,156874,159887,175552,165896,167074,170505,181915,177077,173973,165614,184406,174326,174188,153922,169684,160812,157823,163889,184257,207586,147393,147180,159734,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,281.812,325.447,376.8,433.1,479.6,530.191,587.7,695.4,728.8,766.63,786,798,824,867,891,913,918,930,936,977,1027,1192,1265,1297,1281,1326,1304,1322,1371,1465,1484,1478,1416,1505,1466,1495,1445,1611,1657,1739,1835,1903,1973,2098,2159,2309,2261,2240,2182,2268,2189,2257,2208,2223,2193,2178,2258,2326,2317,2336,2321,2346,2351,2452,2543,3044,3193,3686,3923,4350,4615,4965,5516,6242,6552,6996,7112,7535,7512,7402,7372,7630,7771,7799,7969,8162,8033,8010,8225,8269,8329,8698,9204,9991,10774,11567,11771,13011,13229,13607,14375,14731,15046,15789,16831,23554,24440,27750,28676,30289,31653,33053,34788,36146,38164,39523,40769,43856,46299,48961,49669,52904,56974,62035,65618,70803,75347,79568,83214,87546,90384,96379,102011,109987,117937,128706,138746,154552,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,345.119,399.359,461.2,530.5,585.4,648.649,724,853.4,907.7,977.199,1025,1058,1110,1181,,,,1445,,,,1907,,,,2346,,,,2777,2800,2923,3055,3052,3152,3307,3333,3516,3715,3897,4128,4314,4529,,,5275,,,,5891,,,,6078,,,,6489,,,,6375,,,,7223,,,,9366,,,,12544,13174,13955,14348,15082,15365,15572,15765,16259,16713,17078,17533,17991,18242,18556,19177,19231,19730,20471,21451,22504,23812,25253,26212,27804,28602,29799,31214,32337,33055,33797,35716,43354,,,51668,54468,57176,59902,63165,65369,69117,72605,76200,79186,83270,88558,91181,96101,102391,109750,115299,122154,127816,134845,141267,147206,151022,159838,168009,178238,187423,201655,213691,230973,
    - Accumulated Depreciation,BS_ACCUM_DEPR,63.307,73.912,84.4,97.4,105.8,118.458,136.3,158,178.9,210.569,239,260,286,314,,,,515,,,,715,,,,1020,,,,1312,1316,1445,1639,1547,1686,1812,1888,1905,2058,2158,2293,2411,2556,,,2966,,,,3623,,,,3855,,,,4163,,,,4029,,,,4179,,,,5016,,,,6302,6622,6959,7236,7547,7853,8170,8393,8629,8942,9279,9564,9829,10209,10546,10952,10962,11401,11773,12247,12513,13038,13686,14441,14793,15373,16192,16839,17606,18009,18008,18885,19800,,,22992,24179,25523,26849,28377,29223,30953,33082,35431,35330,36971,39597,41512,43197,45417,47715,49681,51351,52469,55277,58053,59660,60638,63459,65998,68251,69486,72949,74945,76421,
  + LT Investments & Receivables,BS_LT_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2733,3476,4122,4703,4905,6262,7474,14372,14910,19801,21322,17726,20525,18281,17463,14141,12035,12212,15694,14191,13580,12647,13052,13692,13962,14901,15155,12210,12185,12160,11772,11004,10062,9095,8888,9232,8762,9631,9624,10117,9707,9413,0,6588,4381,3922,4112,4933,6006,6976,7797,7754,9211,10022,10748,10865,8576,7550,9068,9776,10038,10707,11193,10844,11995,14607,14792,14597,13943,12665,12019,12053,11438,11514,11315,10431,10486,8912,7381,6023,5343,3961,2818,1862,2034,2274,2403,2649,2684,2755,2660,2965,3103,8994,10595,5984,6393,6994,6907,6891,6839,7097,9415,9879,11423,13367,14807,14600,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4381,3922,4112,4933,6006,6976,7797,7754,9211,10022,10748,10865,8576,7550,9068,9776,10038,10707,11193,10844,11995,14607,14792,14597,13943,12665,12019,12053,11438,11514,11315,10431,10486,8912,7381,6023,5343,3961,2818,1862,2034,2274,2403,2649,2684,2755,2660,2965,3103,3794,5395,5984,6393,6994,6907,6891,6839,7097,9415,9879,11423,13367,14807,14600,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,5200,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,54.023,60.012,55.9,55.6,93.8,85.49,81.3,81.4,78.2,103.569,102,88,90,88,84,91,96,121,147,288,278,398,478,706,613,928,1204,1022,1018,2549,311,250,272,260,234,483,584,940,16052,1533,2521,2213,22723,2296,19657,3170,14774,2947,18370,2611,4423,4524,4550,6844,7216,6458,7084,7287,6870,6046,5589,8728,9218,9016,8795,8311,8041,7874,7561,8536,15470,15186,23742,16721,16982,17138,16905,16140,15863,15231,15223,15053,14977,14801,14747,14759,15535,24170,23857,18142,19458,19704,20184,20130,20129,20499,20550,30530,30045,32214,31891,24891,24756,24983,25302,26724,26656,51117,50982,51304,51070,51356,51232,51178,53226,60188,60222,64499,64076,64004,62615,63527,63847,59135,67052,72586,79352,79639,100564,100719,101749,103253,104773,107853,108839,181092,183542,183277,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1905,1855,1710,1669,3497,3364,3357,3512,3506,3455,3709,3684,3649,3599,3579,3808,4006,4019,4070,3892,4873,4934,4916,5638,11869,12026,11985,14081,14190,14305,14310,14262,14235,13714,13745,13552,13548,13494,13394,13325,13563,22251,22454,16622,17889,18068,17922,17738,17649,17625,17652,27108,26774,29154,28691,21774,21887,22055,22407,21605,21429,45525,45215,45228,44987,44389,44126,43736,43434,50059,49964,49776,49621,49374,48919,50389,50813,50774,57825,57511,58249,58383,78719,78822,78267,78259,77819,77252,76685,148827,147991,146817,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1511,1511,1511,1433,1426,2855,2757,2782,3128,3128,3110,3110,3115,3115,3105,3111,3309,3504,3553,3609,3866,4153,4189,4217,4760,10151,10309,10346,12108,12291,12490,12554,12503,12582,12368,12463,12394,12471,12502,12554,12581,12537,19670,19698,13452,14466,14727,14682,14655,14667,14680,14751,20127,20081,21855,21728,16939,17142,17436,17948,17872,17907,34524,34668,35122,35389,35355,35582,35683,35855,41577,41861,42026,42113,42248,42064,43351,43890,44219,49698,49711,50455,50921,67371,67524,67459,67905,67940,67886,67790,118931,119163,119220,
