CAT US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8287,8110,7791,8301,8123,8086,7933,8298,8458,8117,7920,7668,7931,8383,8865,8860,8830,8946,9161,8763,8834,9467,9307,9027,9037,9213,8862,8991,9310,9201,8719,8522,8684,8920,8984,8757,8772,8906,8824,8650,8932,9539,9192,9336,9120,8781,8966,9463,9333,9523,8919,8898,9003,8922,8918,9013,9119,9288,9608,9510,9446,9516,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,2072,2022,1976,2105,2133,2133,2106,1921,1843,1755,1760,1675,1654,1566,1515,1525,1678,1672,1731,1835,2095,2211,2188,1921,2118,2198,2182,2222,2478,2526,2621,2603,3091,3132,3116,2842,2892,2772,2719,2594,2659,2555,2644,2692,2964,2846,2922,2925,3214,3114,3084,2763,3064,2949,3057,3047,3678,4097,4509,4675,5230,5349,5469,5224,5858,6254,6411,6351,7131,7106,7187,7204,8082,8303,9290,8781,7992,7160,6815,6360,6990,7339,9006,9587,10676,11359,14412,14544,16511,17344,17550,15547,15074,13889,13392,12625,12888,13055,13328,12205,12099,11681,11150,9700,9849,9458,9478,8614,9082,9388,10212,10018,10947,11255,11814,11529,12340,12007,12180,11266,11748,11371,11453,11402,12149,12672,13666,14038,15038,15881,16860,16270,17633,17746,17580,16565,16953,17082,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019,1071,1032,,1264,1277,1264,1041,1083,1046,1061,969,971,958,998,951,1130,1115,1161,1028,1373,1223,1481,806,1250,1201,1209,1289,1471,1629,1687,1802,1959,1921,1859,1917,2091,2360,2374,2459,2745,2757,2765,2474,3125,3180,3051,2678,2572,2300,2152,1979,2116,2232,2551,2766,3066,3263,3649,3872,4094,4143,4018,3573,3536,3310,3138,2966,3031,3115,3221,2986,2990,2932,2862,2467,2500,2394,2359,2102,2325,2540,2777,2802,3179,3277,3413,3382,3592,3593,4424,4263,4264,4193,4093,4021,4233,4598,5144,5528,5924,6129,6335,6370,6776,6783,6798,6492,6605,6662,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164,1162,,,256,,,,239,1373,,1298,316,296,336,330,377,552,646,691,664,766,831,925,814,926,981,994,977,1098,1094,1186,1215,1422,1515,1739,1508,1174,959,865,656,795,976,1361,1483,1740,1911,3020,2845,3345,3504,3488,2920,2906,2606,2749,2589,2760,2915,2983,2455,2335,2099,1987,1857,1897,1906,2015,1719,1850,1954,2241,2254,2465,2678,2764,2674,2737,2574,1335,1147,1227,1076,1113,1052,1267,1389,1522,1318,1438,1604,1836,1452,1656,1640,1650,1411,1614,1465,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246,1249,1390,,1617,1660,1648,1605,1603,1521,1452,1430,1497,1410,1452,1485,1637,1549,1572,1658,1841,1697,1786,1454,1518,1412,1518,1381,1655,1822,2131,2209,2505,2597,2685,2493,2841,2913,3043,2915,3288,3255,3236,3230,3535,3608,4205,4316,3981,3641,3534,3465,3840,3899,4854,5098,5628,5937,7474,7570,8807,9429,9775,8767,8345,7697,7221,6785,6801,6734,6832,6504,6514,6397,6042,5122,5205,4916,4866,4576,4698,4690,4990,4761,5114,5092,5425,5241,5785,5604,6177,5598,6010,5839,5984,6054,6371,6405,6707,6907,7390,7850,8387,8138,8868,8979,8788,8308,8372,8593,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,206,199,,210,195,204,196,206,205,206,195,191,187,194,0,197,182,189,0,0,194,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,295,279,265,260,264,260,239,232,240,240,242,248,269,257,265,268,269,287,287,276,284,285,296,291,292,260,260,253,259,254,247,242,238,217,209,204,204,201,189,208,212,232,226,236,244,258,247,263,263,275,278,280,293,285,286,298,302,310,333,344,344,354,362,362,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,636,648,646,721,719,744,763,1536,899,912,860,1553,1614,1630,832,1826,1908,1855,1984,2184,2350,2670,2682,2557,807,821,790,3118,805,837,865,928,947,1010,968,1081,1136,1210,1287,1153,1186,1263,1307,1416,1344,1440,1450,1634,1674,1663,1721,2021.321,2042,2054,2216,2131,2080,1930,1969,1767,1772,1830,1882,2490,2495,2529,2510,1371,1504,1806,1745,1399,1217,1451,1422,1988,2728,2177,2172,2474,2054,2414,2578,2311,2215,2133,2403,2931,2868,3320,3047,2833,2710,2726,2784,2664,2506,2923,2767,2685,2338,2415,2565,1680,2004,2000,1954,1744,1857,1871,1797,1832,1938,1863,1860,1853,1836,1904,1700,1823,1971,1867,1948,2080,1998,2305,2371,3038,3013,2902,2422,2642,2889,3163,5181,4586,3010,2736,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,589,476,396,361,408,600,472,440,485,486,357,335,299,326,298,294,262,255,211,170,153,147,128,132,115,126,18,157,143,62,62,80,95,90,60,82,28,25,88,71,86,93,84,210,75,117,150,196,225,156,250,145,130,127,,,,43,520,500,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,441,448,862,540,965,971,908,880,669,795,994,1032,1336,1088,988,930,924,988,900,935,1307,1250,818,768,859,993,1662,1847,1857,1892,1682,1777,1776,1707,1772,1856,1835,1835,1765,1765,1818,1607,1739,1761,1792,1831,1930,1802,2080,2215,2788,2868,2772,2295,2642,2889,3163,5138,4066,2510,2736,
Total Current Assets,BS_CUR_ASSET_REPORT,5827,5881,5844,5901,5941,6006,5920,5570,5388,5565,5754,5537,5839,5857,6272,6071,6670,6691,7057,7409,7976,8466,8304,7647,7995,8341,9074,8783,9079,9819,10196,9814,10876,11686,11786,11459,11903,12252,11977,11734,11970,12358,12440,12521,13000,13744,13435,13400,13883,14846,14785,14628,15070,15489,16011,16791,17866,18726,19636,19532,20224,20994,21362,22790,23634,24331,24096,23663,23958,24130,24922,25477,26907,27858,30524,31633,29672,27383,26223,27217,26412,27376,28577,31810,34608,40755,36864,38128,40209,44294,44639,42138,42145,40805,40088,38335,37968,41276,39042,38867,38491,38227,35280,33508,33748,33606,31999,31967,35548,36991,37185,36244,37357,38641,38454,38603,39126,39789,39160,39193,37586,37862,38534,39464,42581,42946,41893,43455,42570,41982,42577,43785,45660,47000,48005,46949,43664,43096,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,3548,3670,3762,3986,3959,4007,3995,4049,4019,3964,3917,3954,3875,3835,3767,3827,3769,3718,3697,3776,3708,3640,3549,3644,3609,3569,3546,3767,3765,3786,3819,4058,4376,4444,4517,4866,4852,4913,4936,5201,5181,5253,5273,5951,5993,6158,6311,6603,6622,6779,6810,7046,6998,7034,7083,7290,7153,7140,7303,7682,7551,7593,7817,7988,7884,8281,8424,8851,8892,9127,9436,9997,10050,10394,11817,12524,12342,12226,12250,12386,12057,11763,12065,12539,12219,12430,13397,14395,14571,14928,15509,16461,16276,16352,16588,17075,16716,16690,16431,16577,16277,16136,15955,16090,15935,15916,15680,15322,14727,14420,14187,14155,13912,13752,13607,13574,13948,13828,13474,13528,12488,12357,12232,13004,12132,12014,11904,12715,11932,11744,11643,12592,11973,12124,12287,13236,12538,12582,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,7585,,,,7790,,,,7842,,,,7965,,,,8230,7973,8035,8373,8303,8414,8499,8612,8817,,,,9403,,,,10395,,,,10929,,,,11916,,,,12790,,,,13541,,,,14329,,,,15164,,,,15862,,,,17278,,,,19208,,,,23487,,,,24221,,,,24906,,,,27326,,,,29932,,,,31316,,,,31572,,,,31977,,,,31940,,,,31538,,,,29781,,,,29841,,,,29874,,,,29496,,,,28628,,,,29179,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,3599,,,,3741,,,,3888,,,,4138,,,,4454,4265,4395,4824,4659,4805,4930,5066,5050,,,,5345,,,,5529,,,,5728,,,,5965,,,,6187,,,,6495,,,,7039,,,,7482,,,,7874,,,,8427,,,,9211,,,,10963,,,,11835,,,,12367,,,,12931,,,,13471,,,,14241,,,,14995,,,,15887,,,,16618,,,,17383,,,,16207,,,,16313,,,,16870,,,,16781,,,,16036,,,,15943,,,
  + LT Investments & Receivables,BS_LT_INVEST,1085,1138,1181,1287,1377,1426,1531,1605,1674,1732,1834,1907,1901,2076,0,2284,2331,2569,2674,2794,2803,3407,3327,3192,3370,3674,3273,3508,3750,3719,3948,4015,4343,4911,4879,5143,5236,5688,5543,5683,5781,6168,6055,6171,6103,6161,5942,6322,6321,6722,6376,6780,6933,6990,7319,7904,8081,8106,8594,10667,11080,10777,11229,11338,11515,11771,11920,12391,12504,13417,13701,14147,14699,15500,15709,15743,14632,14305,14107,13250,12879,12735,12922,12057,12060,12964,12728,13078,13331,13758,14578,15345,15491,15470,15914,16323,16490,16666,16164,16008,14965,14988,14817,14821,14686,14869,14937,14585,14370,14137,14161,14532,14363,14402,14373,14447,13823,13615,13605,13844,13217,13727,13358,13407,13081,13796,13878,13911,13869,13569,13137,13278,13054,13183,13017,13902,13731,13978,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14632,14305,14107,13250,12879,12735,12922,12057,12060,12964,12728,13078,13331,13758,14578,15345,15491,15470,15914,16323,16490,16666,16164,16008,14965,14988,14817,14821,14686,14869,14937,14585,14370,14137,14161,14532,14363,14402,14373,14447,13823,13615,13605,13844,13217,13727,13358,13407,13081,13796,13878,13911,13869,13569,13137,13278,13054,13183,13017,13902,13731,13978,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,676,660,688,777,793,803,832,818,837,821,810,2537,2552,2591,4786,2625,2427,2467,2485,2271,2311,2365,2306,2347,2438,2538,2705,2670,2698,2873,2795,2869,3982,4065,3952,3660,3728,3902,4003,4017,4031,4105,4072,3821,4129,4214,4215,4332,4321,4387,4403,4412.531,4537,4707,4654,4480,4758,4746,4861,5214,5492,5459,5457,4953,4924,5522,6043,6544,6894,6832,6740,6511,6548,6701,6179,7882,7794,8178,8258,7185,7488,6919,8078,7614,7500,7462,14778,15845,15797,15858,15815,15026,14831,14748,14682,13163,13223,13195,12851,13229,12757,12891,12917,13923,13938,13909,13786,12830,12904,12962,13027,12031,12382,12192,11775,11885,11829,11955,11754,11888,12603,12620,12617,12449,12935,12941,13109,12712,13905,13812,13550,12288,12962,13120,13482,13389,13808,13680,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,223,224,,1169,1253,1236,1241,1235,1578,1563,1543,1519,1508,1488,1507,1482,1502,1485,1671,1683,1685,1706,1683,1681,1681,1675,1637,1634,1630,1811,1765,1924,1919,1913,1875,1864,2489,2523,2291,2400,2404,2393,2438,2417,2486,2770,2772,2748,2749,2746,2734,2772,2777,3458,3419,3402,3385,12307,11448,11368,11556,11538,10958,10715,10578,10686,10552,10495,10367,10011,9770,9383,9413,9387,9436,9451,9329,9178,8369,8338,8374,8371,8311,8539,8288,8209,8114,7998,7944,7772,7761,7618,7612,7667,7702,7589,7548,7474,7366,7260,7084,6898,6046,6003,5923,5872,5872,5793,5752,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446,,,,1397,1397,1398,1402,1402,1402,1403,1399,1398,1400,1395,1450,1450,1450,1451,1451,1451,1433,1834,1877,1904,1940,1937,1937,1963,1963,1994,2234,2261,2256,2264,2272,2269,2284,2292,2634,2614,2608,2610,7778,7080,7081,7320,7372,6942,6840,6814,6968,6956,6986,6969,6801,6694,6493,6550,6546,6615,6710,6677,6725,6020,6051,6142,6196,6200,6376,6249,6233,6217,6191,6211,6142,6196,6140,6192,6304,6394,6343,6372,6353,6324,6293,6195,6092,5288,5309,5293,5268,5308,5277,5264,
