BYDDY US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,415.274,872.586,1305.302,2290.8979,4063.27,6425.753,6498.33,12938.917,21211.213,27426.785,40440.297,46685.349,46312.282,44380.858,49767.887,55366.384,77611.985,100207.703,102650.614,130054.707,121778.117,153469.184,216142.395,424060.635,602315.354,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,27424.942,40440.059,46685.349,46312.282,44380.858,49767.887,55366.384,77611.985,100207.703,102650.614,123844.78,121778.117,153016.989,208285.029,414781.24,590468.27,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,301.35,603.737,875.221,1336.514,2740.2241,4720.863,5043.785,10200.734,16963.526,22032.299,31479.762,38420.975,39445.257,39254.53,43251.573,47742.926,65752.741,81189.44,84715.54,108725.343,103702.124,126225.593,187997.689,351815.68,480558.35,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,22032.299,31479.762,38420.975,39445.257,39254.53,43251.573,47742.926,65752.741,81189.44,84715.54,100211.907,103702.124,126225.593,175655.953,334027.717,440654.216,
Gross Profit,GROSS_PROFIT,,,,,,,,,,113.924,268.849,430.081,954.3839,1323.0459,1704.89,1454.545,2738.183,4247.687,5394.486,8960.535,8264.374,6867.025,5126.328,6516.314,7623.458,11859.244,19018.263,17935.074,21329.364,18075.993,27243.591,28144.706,72244.955,121757.004,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,0,0,12.558,25.39,47.779,30.578,29.569,136.766,243.397,0,0,858.139,1234.513,923.201,1063.196,1523.572,2517.09,1230.852,1162.492,2328.459,2494.857,4151.933,2270.196,1721.136,5253.459,
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,65.519,125.262,168.051,196.258,420.549,567.968,760.223,1462.326,2114.751,3736.829,4540.067,5650.674,5647.946,4891.105,5576.461,6796.588,8748.747,11656.253,10814.97,16667.374,14736.501,21430.038,23938.849,53250.326,92017.403,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,753.601,1330.374,,3561.22,4261.678,3961.423,3801.938,3365.994,3795.388,4364.744,5519.102,6339.468,6848.008,7604.644,8578.213,9451.243,10055.082,22570.085,35297.16,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,170.089,480.177,,934.231,1487.735,2175.881,1799.757,1511.797,2011.845,2228.758,2867.992,4196.339,4925.288,4729.481,4345.897,5055.613,5798.144,14311.664,23632.799,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,2626.989,2773.943,1785.542,2002.181,1854.197,1783.543,2135.986,2651.11,2143.129,1922.72,2875.163,4232.316,4395.63,4256.938,8258.421,11664.361,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,0,1535.806,1497.316,1351.238,1568.883,2329.309,2776.352,4718.904,4864.505,4989.36,6828.496,10225.969,7990.974,18654.453,39574.945,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,175.609,278.389,185.531,202.436,106.801,160.519,83.72,253.843,559.906,-909.183,2812.18,-1179.864,1104.386,3745.786,8603.065,12172.933,
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,48.405,143.587,274.588,783.516,950.276,1167.5,723.891,1412.623,2376.333,1657.657,4420.468,3471.839,2453.592,1158.424,2003.049,2350.442,5627.587,8592.862,8282.596,6990.449,5834.349,9965.486,6476.053,20715.765,34993.06,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,293.685,-85.982,329.572,726.108,867.699,1170.968,1476.49,1832.601,2024.452,2661.955,2604.809,3403.218,3082.899,1958.05,-363.964,-2275.577,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,115.114,212.965,350.565,396.67,237.749,253.952,687.44,811.921,947.194,1292.153,1416.339,1543.487,2087.63,2931.521,2521.992,2385.321,1275.801,-513.267,-968.59,
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,3.679,1.821,24.8,18.097,19.961,60.991,122.052,226.921,379.048,487.623,255.388,281.383,742.262,862.439,1017.318,1396.828,1469.76,1696.188,2183.413,3118.751,2875.753,2599.934,1907.642,1316.35,1827.605,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,16.431,,6.938,13.956,28.483,90.953,17.639,27.431,54.822,50.518,70.124,104.675,53.421,152.701,95.783,187.23,353.761,214.613,631.841,1829.617,2796.195,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,-13.796,-0.868,,,,,,,,-17.532,-473.136,-22.743,-13.126,-88.161,106.018,-357.686,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,0,,0,0,0,0,,0,0,0,-15.963,-16.368,-25.554,-1.207,24.503,48.408,122.389,242.799,599.824,224.522,224.724,422.776,186.837,145.295,685.885,-1277.455
