RTX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,0,-31,-573,-952,-1123,-1238,211,-785,-1358,-1565,-326,2298,-423,-120,-86
Operating Income (Loss),IS_OPER_INC,1311.6,301,176,815,955,1588,1781,1694,1985,1234,3140,3233,3657,3845,4301,5182,6098,7050,7625,6465,6898,7846,7684,8549,9593,7291,8172,8138,8553,4914,-1889,4958,5504,3561
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,705,650,496,773,895,881,824,1039,375,273,762,464,27,-613,-275
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,197,260,382,426,381,375,363,498,606,666,,705,650,496,773,895,881,824,1039,909,1038,1591,1366,1322,1276,1505
    + Interest Expense,IS_INT_EXPENSE,361.6,339,282,251,275,244,221,191,197,260,382,426,381,375,363,498,606,666,689,705,751,673,893,1032,1099,945,1161,1017,1225,1711,1408,1358,1346,1653
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,0,101,177,120,137,218,121,122,108,187,120,42,36,70,148
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,-534,-765,-829,-902,-1295,-1889,-1780
"Pretax Income (Loss), Adjusted",PRETAX_INC,1291.2,-891,200,909,1076,1344,1560,1736,1810,1257,2758,2807,3276,3470,3938,4684,5492,6384,6936,5760,6248,7350,6911,7654,8712,6467,7133,7763,8280,4152,-2353,4931,6117,3836
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,652,0,126,-15,0,77,55,26,87,357,694,614,134,407,258,103,1870,721,107,33,1496,5744,3184,2010,5327
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,-42,-109,32,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,86,,39,,,,,,48,,3,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,-136,-32,-152,-391,-248,,28,,-500,-799,25,-564,8,2,4
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,20,34,,,,,,,,,147,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,-41,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,159,66,103,25,-168,1567,235,283,302,-30,192,34,,3079
"Pretax Income (Loss), GAAP",PRETAX_INC,1291.2,-891,200,909,1076,1344,1560,1736,1810,1257,2758,2807,3276,3470,3938,4684,5492,6384,6936,5760,6248,7350,6911,7654,8712,6467,7133,7763,8280,4152,-2353,4931,6117,3836
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,479.1,75,77,336,384,464,523,565,568,325,853,755,887,941,1031,1253,1494,1836,1883,1581,1725,2134,1711,1999,2244,2111,1697,2843,2626,421,575,786,790,456
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,812.1,-966,123,573,692,880,1037,1171,1242,932,1905,2052,2389,2529,2907,3431,3998,4548,5053,4179,4523,5216,5200,5655,6468,4356,5436,4920,5654,3731,-2928,4145,5327,3380
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,322,0,0,0,0,0,-98,-690,0,0,0,0,0,95,0,0,,0,-188,-158,-290,-454,-155,-3610,10,0,0,-2217,367,33,19,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,-188,-158,-290,-454,-155,-3610,10,0,0,-2217,367,33,19,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,812.1,-966,-199,573,692,880,1037,1171,1340,1622,1905,2052,2389,2529,2907,3336,3998,4548,5053,4179,4711,5374,5490,6109,6623,7966,5426,4920,5654,5948,-3295,4112,5308,3380
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,61.5,55,88,86,107,130,131,99,85,91,97,114,153,168,234,267,266,324,364,350,338,395,360,388,403,358,371,368,385,411,224,248,111,185
"Net Income, GAAP",NET_INCOME,750.6,-1021,234,487,585,750,906,1072,1255,1531,1808,1938,2236,2361,2673,3069,3732,4224,4689,3829,4373,4979,5130,5721,6220,7608,5055,4552,5269,5537,-3519,3864,5197,3195
