AAPL US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,312.473,291.914,355.473,408.508,620.942,733.347,671.655,643.347,542.538,535.803,580.097,596.613,876.756,1238.658,1506.6379,1338.637,1286.6479,1197.0601,1088.434,1084,984,1367,1775,1947,1466,1061,662,488,509,534,437,404,257,129,78,25,18,7,20,15,10,5,33,21,10,19,11,23,26,34,45,44,41,38,56,89,63,72,101,156,164,193,165,244,204,213,270,303,208,251,346,459,364,545,509,396,312,380,455,576,638,942,1051,885,930,889,776,1236,1102,1122,791,1455,1245,1697,1764,2122,1829,1594,2111,2283,2396,2042,2349,2451,2281,1831,2132,2712,2910,3146,4855,4421,7662,5936,3956,4988,4884,3355,4106,4097,3334,3978,4061,4973,5219,5178,6580,5876,5460,5433,4946,6820,7482,7351,6331,6511,6232,6165,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,220,175,141,99,87,54,32,10,2,1,4,5,2,1,1,2,1,0,1,0,0,4,9,1,1,1,2,3,1,1,1,0,1,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,124,,,,683,523,444,315,471,228,537,474,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,19,23,15,5,6,8,5,3,2,0,3,0,0,0,2,3,0,0,0,0,0,2,0,0,1,,4,1,0,0,,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,270,336,281,300,164,67,41,12,14,6,13,10,8,4,30,16,9,19,10,23,26,28,36,43,39,37,50,85,62,71,100,156,163,185,165,244,0,213,270,,,,346,,,,,,,,,,,,,,,,,,,,667,,,,1081,1599,1385,1279,1640,2055,1859,1568,,,,,,,,,,,,1649,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,4287,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,302.651,297.775,288.894,298.33,359.692,438.148,392.077,466.208,505.231,455.157,455.612,462.106,412.761,559.543,557.468,498.641,685.965,557.552,548.815,448,558,595,566,560,853,742,612,632,525,522,493,440,326,338,365,351,348,289,358,342,353,359,414,399,554,413,330,384,435,477,441,381,409,395,499,563,542,619,716,853,898,830,979,1880,1995,2013,2877,2865,2285,3229,4332,5343,4368,3921,4964,6924,6596,7882,4275,4870,5657,7356,9497,10038,11035,11512,12891,14449,14030,15510,16803,19475,15871,15077,17874,23314,17662,17762,23883,31948,21494,23838,28579,22741,17799,18460,21828,26111,20400,20571,31735,38796,20127,24751,37896,31336,23285,22856,35230,31002,30646,25180,32589,45206,27909,30074,39339,53152,40394,36825,53971,46850,31623,33277,46172,40887,33197,34674,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,306,259,309,232,190,161,157,183,179,701,728,871,653,1300,1200,1300,1000,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,63,37,135,95,206,107,194,32,139,516,443,351,588,150,633,1102,679,214,366,233,275,1635,4263,3460,1936,1945,1609,1190,1366,1399,2743,1124,980,1630,1369,1663,1235,1274,1551,1432,1812,2806,2427,5937,3031,2609,2747,2418,2101,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4966,4651,5829,2794,3323,4230,5773,7597,7937,9141,8780,9633,11198,10773,11313,12870,14647,10527,10105,14207,19206,13415,13603,17930,22639,12893,16892,26634,21132,16609,17094,20429,23368,19276,19591,30105,37427,18464,23516,36622,29785,21853,21044,32424,28575,24709,22149,29980,42459,25491,27973,39339,53152,40394,36825,53971,46850,31623,33277,46172,40887,33197,34674,
Total Current Assets,BS_CUR_ASSET_REPORT,2269.7361,2338.9741,2403.3259,2544.009,2812.8601,2828.334,2863.6101,3071.55,3256.9431,3423.1521,3558.394,3703.323,3654.637,3920.3711,4338.355,4208.0068,4421.7939,4259.9888,4476.4521,4718,5161,5191,5224,5551,4277,4454,4515,4419,3642,3493,3424,3373,3213,3375,3698,3867,4092,4298,4285,4909,4912,5157,5427,4926,5345,5248,5143,5272,5414,5443,5388,5384,5468,5546,5887,6029,5784,6286,7055,8322,9007,9376,10300,12162,11286,12491,14509,16658,15998,18657,21701,26189,25773,26843,30006,35163,33853,35170,31555,33332,32336,36033,41678,43927,46997,46898,44988,54771,50712,51943,57653,72348,63337,68219,73286,80347,70541,67949,68531,83403,67891,70953,89378,76219,87592,93761,106869,103332,101990,112875,128645,143810,130053,115761,131339,140828,123346,134973,162819,163231,143753,140065,143713,154106,121465,114423,134836,153154,118180,112292,135405,128777,112913,122659,143566,143692,128416,125435,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,368.274,378.704,398.165,436.252,435.9,445.136,447.978,456.13,457.908,467.901,462.221,639.333,650.313,659.52,659.546,642.336,676.718,664.982,667.1,661,663,691,711,712,692,615,598,593,556,540,486,429,415,365,348,344,330,313,318,318,314,314,313,325,331,347,564,573,587,589,621,605,619,639,669,684,687,684,707,735,742,764,817,855,1005,1197,1281,1362,1409,1626,1832,1870,1962,2177,2455,2580,2546,2653,2954,3115,3504,3990,4768,5868,6241,6749,7777,7816,8847,10487,15452,15422,15026,16327,16597,15488,15120,17585,20624,20392,20151,21149,22471,22300,23203,25448,27010,26510,27163,29286,33783,33679,35077,38117,41304,39597,38746,37636,37378,44293,43986,43851,45336,37933,37815,38615,49527,39245,39304,40335,52534,42951,43398,43550,54376,43666,43546,44502,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,745.79,793.383,844.871,916.997,949.797,997.883,1036.014,1046.6,1072.718,1110.567,1135.64,1328.819,1374.052,1414.953,1412.657,1373.1219,1418.79,1425.877,1452.188,1462,1454,1500,1492,1504,1504,1406,1348,1327,1295,1286,1195,1069,1031,958,824,825,831,767,729,725,723,721,700,714,721,727,924,934,955,970,1057,1046,1076,1124,1174,1221,1254,1252,1298,1352,1370,1409,1481,1547,1731,1954,2075,2200,2304,2562,2841,2931,3113,3397,3747,3997,4097,4222,4667,4986,5555,6228,7234,8635,9416,10348,11768,12340,13941,16205,21887,23214,24194,26889,28519,29288,30406,34453,39015,40747,42460,45544,49257,51342,54051,57991,61245,62759,65124,68981,75076,77110,80502,85368,90403,91526,93036,93984,95957,105252,106840,109081,112096,105493,107280,108857,119810,107699,109324,111851,124874,110995,113066,114337,125260,116176,115243,117129,
    - Accumulated Depreciation,BS_ACCUM_DEPR,377.516,414.679,446.706,480.745,513.897,552.747,588.036,590.47,614.81,642.666,673.419,689.486,723.739,755.433,753.111,730.786,742.072,760.895,785.088,801,791,809,781,792,812,791,750,734,739,746,709,640,616,593,476,481,501,454,411,407,409,407,387,389,390,380,360,361,368,381,436,441,457,485,505,537,567,568,591,617,628,645,664,692,726,757,794,838,895,936,1009,1061,1151,1220,1292,1417,1551,1569,1713,1871,2051,2238,2466,2767,3175,3599,3991,4524,5094,5718,6435,7792,9168,10562,11922,13800,15286,16868,18391,20355,22309,24395,26786,29042,30848,32543,34235,36249,37961,39695,41293,43431,45425,47251,49099,51929,54290,56348,58579,60959,62854,65230,66760,67560,69465,70242,70283,68454,70020,71516,72340,68044,69668,70787,70884,72510,71697,72627,
  + LT Investments & Receivables,BS_LT_INVEST,,,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,1544,1236,786,447,151,146,128,101,79,48,39,28,28,,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,2379,2498,3865,6899,10528,15024,18549,21551,25391,32730,36533,47761,55618,67445,81638,89567,92122,97292,105550,104014,106215,118131,109239,126685,130162,145492,160443,168145,164065,177665,177645,169764,170430,185638,189740,184757,194714,207944,179286,172773,170799,158608,145319,115996,105341,99899,98793,100592,100887,118745,134539,131948,127877,138683,141219,131077,120805,114095,110461,104061,100544,99475,95187,91240,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,137.66,171.858,174.216,176.997,173.416,181.991,182.009,217.784,226.023,230.103,203.078,151.953,165.138,188.092,173.511,192.097,187.374,198.441,159.194,154,226,230,296,290,265,276,251,260,289,308,323,324,335,301,243,381,513,408,558,219,237,225,277,288,303,330,186,176,184,213,250,252,246,256,259,258,264,253,288,305,362,348,434,1164,1620,1426,1415,1435,1279,1220,1345,1980,1214,1103,1331,2546,2973,3418,2464,2455,2668,3151,3346,4217,5133,5350,7988,8649,9737,10899,10837,11026,10830,11296,10902,11218,11089,10301,12522,12607,12709,12904,14431,17100,16837,16629,17377,15661,15639,18255,18177,21361,23086,22546,22283,34686,34587,33634,32978,33195,33868,32836,33952,43270,43339,44854,38762,50109,51959,52605,44011,60924,65388,64768,54097,66681,70262,70435,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,,,,0,0,0,0,,,0,0,76,75,81,99,119,116,114,119,109,107,106,99,97,96,128,109,96,93,98,75,177,184,278,275,420,349,338,329,559,484,475,466,453,494,743,1032,1083,1263,1248,1910,4432,4368,4745,5461,5359,5843,5536,5875,5756,6127,5983,6141,8758,8999,8772,8823,9009,9126,9092,8767,8620,8271,8090,8105,8015,8038,,,0,,,,0,,,,0,0,,,0,,,,0,,,0,0,0,0,0,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52.3,66,66,66,66,85,85,85,85,85,85,85,80,80,80,80,80,69,69,69,38,38,38,38,38,38,38,38,38,207,207,207,207,206,253,480,714,741,741,741,741,896,896,1141,1132,1135,1381,1400,1522,1577,2022,2055,2374,4616,4629,4711,5044,5116,5202,5249,5261,5414,5423,5473,5661,5717,5889,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-52.3,10,9,15,33,34,31,29,34,24,22,21,19,17,16,48,29,27,24,29,37,139,146,240,237,382,311,300,291,352,277,268,259,247,241,263,318,342,522,507,1169,3536,3472,3604,4329,4224,4462,4136,4353,4179,4105,3928,3767,4142,4370,4061,3779,3893,3924,3843,3506,3206,2848,2617,2444,2298,2149,,,0,,,,0,,,,0,,,,0,,,,0,,,0,0,0,0,0,
