GOOG US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,618,505,648,342,235,426,337,293,279,0,0,0,0,491,0,0,559,268,280,398,765,749,636,698,1212,1107,1053,964,1401,999,889,815,835,728,888,907,1278,1170,1369,1980,3156,2670,2315,2231,2957,0,0,0,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,132,77,140,54,64,115,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,486,428,508,288,171,311,335,292,279,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.826,68.993,142.015,268.798,249.332,279.271,282.005,210.723,278.848,282.551,351.387,398.473,473.593,667.765,705.308,758.556,908.004,769.514,941.267,1008.75,1690.219,1752.764,1788.935,1551.812,1503.712,1534,1794,2451,2335,2419,2848,2899,2705,2380,3235,3220,3976,4450,4766,4179,4861,7771,8087,9442,4878,6293,4990,5587,5001,4873,4092,2952,4670,3162,3272,3142,3352,3463,4162,4177,4591,4517,4452,4891,6578,7075,5973,6013,5944,8139,6960,6782,8020,7811,9687,11997,8105,8532,9421,12398,12650,12829,14183,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151,0.324,0.29,1.208,2,,7,12,2,9,17,4,6,14,2,0,,,,0,,,,0,,,546,0,,,225,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.843,72.263,23.244,,309,228,0,27,347,133,,,,,,358,72,571,408,544,1118,957,591,901,0,287,1903,1804,576,416,95,56,874,282,369,37,201,170,355,111,352,192,2166,1910,394,588,454,493,884,753,0,919,1366,1479,0,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.71,1066.792,815.813,834.854,1133,1419,2078,2064,2070,2339,2534,2486,2323,3075,2988,2832,3075,3546,2454,2927,2188,2143,3525,4287,4545,3674,2542,3098,3069,3516,2311,4575,3106,2398,2860,2983,3426,3961,4007,4236,4406,4100,4699,4412,5165,5579,5425,5490,7646,6076,6029,8020,6892,8321,10518,8105,8532,9421,12398,12650,12829,14183,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.234,703.386,881.889,2360.211,2693.4651,3158.474,3649.21,8382.685,9001.071,9555.957,11058.107,11858.243,13039.847,14080.774,14857.523,15733.761,17289.138,15464.931,16316.837,17962.851,20178.182,22080.802,23834.853,26353.544,29166.958,31132,35161,39447,41562,43310,46442,50042,52758,56859,53857,56821,60454,62808,66861,68858,72886,75314,77905,80115,78656,80313,84164,88103,90114,90955,94238,98546,105408,108794,112386,119345,124308,123761,124157,129702,135676,138207,147437,148358,152578,147018,149069,164369,174296,172137,175697,184110,188143,177853,172371,166109,164795,161985,168788,176310,171530,165471,161995,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.255,253.006,320.718,362.609,378.916,474.829,576.597,803.078,961.749,1209.681,1799.766,2174.314,2395.239,2826.717,3219.28,3588.814,4039.261,4741.724,5137.71,5213.167,5233.843,5122.105,5005.9,4917.491,4844.61,4773,4920,5506,7759,8249,9003,9204,9603,9875,10909,11401,11854,12300,12912,14867,16524,17877,19486,20981,23883,25448,27008,28338,29016,30162,31413,32753,34234,35936,37676,40120,42383,48845,51672,55300,59719,69365,74604,79593,84587,87966,90315,93582,96960,100204,104675,107549,110558,117210,119621,122040,127049,132007,135677,139904,148436,156950,164761,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.837,,,,583.068,,,1173.116,1417.425,1749.568,2452.055,2957.58,3289.594,3876.274,4401.193,4914.422,5519.912,6430.853,7013.003,7325.792,7576.341,7697.487,7905.528,8043.9,8130.134,8219,8525,9383,11771,12509,13495,13815,14400,14963,16137,17038,17697,18260,19255,21722,23837,25719,27574,29292,32746,34843,37112,38908,40146,41995,43904,46094,47527,50321,53341,56358,59647,67801,71876,77128,82507,94095,101143,107746,115148,120903,125859,132233,138673,143556,150053,154822,159972,169169,173656,177552,186091,192882,198594,204654,215894,226954,237577,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.582,,,,204.152,,,370.038,455.676,539.887,652.289,783.266,894.355,1049.557,1181.913,1325.608,1480.651,1689.129,1875.293,2112.625,2342.498,2575.382,2899.628,3126.409,3285.524,3446,3605,3877,4012,4260,4492,4611,4797,5088,5228,5637,5843,5960,6343,6855,7313,7842,8088,8311,8863,9395,10104,10570,11130,11833,12491,13341,13293,14385,15665,16238,17264,18956,20204,21828,22788,24730,26539,28153,30561,32937,35544,38651,41713,43352,45378,47273,49414,51959,54035,55512,59042,60875,62917,64750,67458,70004,72816,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,1018.591,1028.591,1031.85,1030.952,1038.804,1048.138,1059.694,1056.966,1067.52,1100.896,85.16,100.999,93.925,110.372,128.977,154,377,485,523,666,893,891,790,880,1040,1063,1469,1470,1564,1843,1976,2123,2415,2470,3079,4090,4409,4813,5183,5577,5820,5705,5878,6131,6642,7269,7813,10976,11487,12673,13859,14474,12112,12488,13078,12367,12961,14656,20703,25294,25532,26101,29549,30544,30665,30419,30492,31213,31224,30907,31008,33994,34172,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.999,93.925,110.372,128.977,154,377,485,523,666,893,891,790,880,1040,1063,1469,1470,1564,1843,1976,2123,2415,2470,3079,4090,4409,4813,5183,5577,5820,5705,5878,6131,6642,7269,7813,10976,11487,12673,13859,14474,12112,12488,13078,12367,12961,14656,20703,25294,25532,26101,29549,30544,30665,30419,30492,31213,31224,30907,31008,33994,34172,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.969,123.062,125.415,165.698,240.97,231.896,271.911,265.238,308.993,529.232,519.542,632.084,2006.415,2076.995,2308.278,2969.937,2947.713,6341.361,6657.719,6530.06,6270.39,6209.123,6224.082,6321.438,6356.233,6812,7587,7904,8007,7735,8523,8951,9423,9530,20245,20445,20021,20114,19845,19500,19534,21212,21802,22215,23569,23549,23226,23027,23148,23053,22821,22944,21977,21895,21917,22802,22791,23353,24294,23863,23538,23303,22948,22605,25666,26052,26147,26636,27657,29460,29483,29643,31018,31489,32528,39687,42928,44286,47355,49590,51418,50935,53842,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.67,106.197,103.755,145.475,193.887,186.251,216.604,228.603,360.466,479.379,465.198,514.551,2295.126,1947.092,2062.703,2762.649,2646.209,5684.591,7131.787,5268.242,5836.544,5740.659,5693.299,5672.465,5677.503,5912,6692,7092,7300,7324,8058,8463,8924,8866,17982,18239,18010,17919,17954,17716,17558,19494,19820,20205,20206,19953,19823,19698,19716,19523,19293,19395,19775,19684,19537,19614,19439,20671,20557,20343,20108,20006,19902,19816,22603,22574,22521,22390,22620,24164,24032,24172,24373,24323,25326,31026,31044,30962,31176,30979,29198,29183,29185,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.442,87.442,87.442,101.815,122.818,124.485,154.67,171.397,194.9,318.806,318.597,337.145,1545.119,1620.566,1723.124,2277.397,2299.368,4791.399,4853.805,4821.646,4839.854,4830.315,4836.913,4849.217,4902.565,5122,5788,6099,6256,6308,6677,6989,7346,7325,10120,10485,10537,10595,11396,11426,11492,14177,14586,15461,15599,15573,15610,15675,15869,15866,15841,16028,16468,16547,16604,16731,16747,17862,17895,17895,17888,17943,18000,18069,20624,20734,20824,20870,21175,22341,22406,22623,22956,23010,23949,28834,28960,28994,29210,29146,29198,29183,29185,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.228,18.755,16.313,43.66,71.069,61.766,61.934,57.206,165.566,160.573,146.601,177.406,750.007,326.526,339.579,485.252,346.841,893.192,2277.982,446.596,996.69,910.344,856.386,823.248,774.938,790,904,993,1044,1016,1381,1474,1578,1541,7862,7754,7473,7324,6558,6290,6066,5317,5234,4744,4607,4380,4213,4023,3847,3657,3452,3367,3307,3137,2933,2883,2692,2809,2662,2448,2220,2063,1902,1747,1979,1840,1697,1520,1445,1823,1626,1549,1417,1313,1377,2192,2084,1968,1966,1833,0,0,0,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.168,406.136,415.137,416.119,454,452,406,442,390,465,488,499,664,2263,2206,2011,2195,1891,1784,1976,1718,1982,2010,3187,3596,3403,3329,3181,3297,3275,3276,1819,1846,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.296,124.647,233.836,262.611,446,443,406,265,21,0,0,0,,,,,,,,,,,,176,,,,251,233,253,273,383,365,376,505,680,678,685,682,737,750,585,564,721,730,895,972,1084,1129,1153,1195,1284,1388,1490,2991,5261,6885,9357,10983,12169,11687,14958,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,
