GOOG US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,-99.108,-191,-209,-534,-190,-520,182,187,35,-5705,-2964,-5472,-11107,4677,895
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,-6.076,-14.69,10.068,184.915,346.654,650.234,2141.677,4011.04,5673.98,5853.596,8381.189,10796,12326,14469,15899,17259,19651,24150,27193,34913,39625,48082,90734,71328,85717
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,284.492,290.709,-168.23,0,1094.757,-96.738,-185,356,-470,32,-9,381,275,2929,-256,-1165,-6109,-10696,5058,5127
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,1094.757,,,,,,378,,202,156,120,-390,-401,-334,337,628
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,-188,57,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,500,,,,47,,2736,5071,1697,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,-96.738,-185,-254,-282,-166,-390,334,73,37,-2648,152,-2064,-1086,2506,1215
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,1203,326,609,1908,-798,-257
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,-6.076,-14.69,10.068,184.915,346.654,650.234,2141.677,4011.04,5673.98,5853.596,8381.189,10796,12326,14469,15899,17259,19651,24150,27193,34913,39625,48082,90734,71328,85717
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,0,0,3.083,85.259,241.006,251.115,676.28,933.594,1470.26,1626.738,1860.741,2291,2589,2916,2739,3639,3303,4672,14531,4177,5282,7813,14701,11356,11922
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,-6.076,-14.69,6.985,99.656,105.648,399.119,1465.397,3077.446,4203.72,4226.858,6520.448,8505,9737,11553,13160,13620,16348,19478,12662,30736,34343,40269,76033,59972,73795
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,816,427,-516,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,816,427,-516,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,-6.076,-14.69,6.985,99.656,105.648,399.119,1465.397,3077.446,4203.72,4226.858,6520.448,8505,9737,10737,12733,14136,16348,19478,12662,30736,34343,40269,76033,59972,73795
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",NET_INCOME,,,,,,,,,,-6.076,-14.69,6.985,99.656,105.648,399.119,1465.397,3077.446,4203.72,4226.858,6520.448,8505,9737,10737,12733,14136,16348,19478,12662,30736,34343,40269,76033,59972,73795
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,-6.076,-14.69,6.985,99.656,105.648,399.119,1465.397,3077.446,4203.72,4226.858,6520.448,8505,9737,10737,12733,14136,15826,19478,12662,30736,34343,40269,76033,59972,73795
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,-6.076,-14.69,6.985,99.656,105.648,399.119,1465.397,3077.446,4203.72,4226.858,6520.448,8505,9737,10737,12733,14136,15826,19478,12662,30736,34343,40269,76033,59972,73795
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,-62.8797,-120.25,231.4,-305.5,20.8,126.45,247.65,178.75,12761.45,-39,-920.35,-4826.11,-8449.84,3995.82,4050.33
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,816,427,-516,0,0,0,0,0,0,0,0,0
