MLM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,408.321,452.906,501.66,664.406,721.947,900.863,1057.691,1434.119,1517.517,1718.05,1619.877,1711.45,1726.102,1994.149,2191.052,2194.904,2116.421,1573.316,1652.806,1713.616,2031.901,2155.551,2957.951,3539.57,3818.749,3965.594,4244.265,4739.1,4729.9,5414,6160.7,6777.2
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,1419.668,1475.638,1519.754,1832.957,1943.218,2679.095,3268.116,3576.767,3721.428,3980.351,4422.3,4432.1,5084.7,5730.5,6777.2
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,309.938,329.461,362.517,497.242,539.437,665.594,776.043,1123.42,1213.946,1414.3,1330.237,1411.69,1379.458,1569.757,1665.759,1626.025,1645.906,1241.749,1331.155,1411.614,1704.767,1791.594,2435.591,2812.65,2907.011,2993.654,3277.688,3560.1,3477.1,4065.6,4737.4,4754.6
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,1241.749,1331.155,1411.614,1704.767,1791.594,2435.591,2812.65,2907.011,2993.654,3277.688,3560.1,3477.1,4065.6,4737.4,4754.6
Gross Profit,GROSS_PROFIT,,,98.383,123.445,139.143,167.164,182.51,235.269,281.648,310.699,303.571,303.75,289.64,299.76,346.644,424.392,525.293,568.879,470.515,331.567,321.651,302.002,327.134,363.957,522.36,726.92,911.738,971.94,966.577,1179,1252.8,1348.4,1423.3,2022.6
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,,,43.263,44.663,47.256,59.599,61.834,72.499,85.094,95.41,101.094,106.505,114.643,121.985,116.253,115.338,134.744,137.952,147.129,148.655,123.344,140.993,170.964,145.969,207.487,232.753,234.472,271.559,275.84,294.1,247.4,374.6,216.6,426.6
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,127.337,130.704,146.665,,151.348,135.881,130.422,124.138,138.398,150.091,169.245,210.754,241.606,262.128,280.554,302.7,305.9,351,396.7,442.8
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,12.774,-7.078,16.855,32.566,-4.122,38.242,21.999,-7.134,9.431,-4.714,-8.6,-58.5,23.6,-180.1,-16.2
Operating Income (Loss),IS_OPER_INC,,,55.12,78.782,91.887,107.565,120.676,162.77,196.554,215.289,202.477,197.245,174.997,177.775,230.391,309.054,390.549,430.927,323.386,182.912,198.307,161.009,156.17,217.988,314.873,494.167,677.266,700.381,690.737,884.9,1005.4,973.8,1206.7,1596
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,72.29,68.638,60.42,52.04,53.762,65.695,80.366,70.238,81.453,114.656,136.6,116.1,118.3,115.6,103.2
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,39.411,41.895,46.792,44.028,42.587,,,,60.893,,73.455,68.44,57.775,52.929,53.074,65.565,75.935,81.226,90.9,130.042,128.9,118.1,142.7,169,165.3
    + Interest Expense,IS_INT_EXPENSE,,,1.042,3.234,6.865,9.733,10.121,16.899,23.759,39.411,41.895,46.792,44.028,42.587,42.734,42.597,40.359,60.893,74.299,73.455,68.44,58.586,53.339,53.467,66.057,76.287,81.677,91.487,137.069,129.3,118.1,142.7,169,165.3
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,0,0,0.811,0.41,0.393,0.492,0.352,0.451,0.587,7.027,0.4,0,0,0,0
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,-1.165,0.198,2.645,-0.889,0.688,0.13,4.431,-10.988,-9.447,-15.386,7.7,-2,-24.4,-53.4,-62.1
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,56.546,74.058,90.42,103.791,118.953,151.212,174.142,194.313,168.821,158.439,124.384,142.128,188.263,268.394,353.009,376.424,247.129,110.622,129.669,100.589,104.13,164.226,249.178,413.801,607.028,618.928,576.081,748.3,889.3,855.5,1091.1,1492.8
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,0,1.4,,0,0,0,0,0,-5.9,-5.4,,,4.32,-3.272,3.081,34.184,-1.594,1.718,38.497,1.319,-10.728,-25.781,-2.561,74.3,79.6,204.8,10.3
