TSLA US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.727,57.746,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.233,149,,-27,,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,,,,,,,,,-78.047,-82.685,-55.714,-154.155,-253.922,-396.077,-71.426,-284.636,-875.624,-746.348,-2209.032,-1004.745,-665,1154,6343,13719,9973
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,,,,,,,,,0.11,0.097,0.026,0.173,0.489,0.136,2.588,9.404,13.039,26.698,31.546,57.837,110,292,699,1132,-5001
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,,,,,,,,,-78.157,-82.782,-55.74,-154.328,-254.411,-396.213,-74.014,-294.04,-888.663,-773.046,-2240.578,-1062.582,-775,862,5644,12587,14974
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,,,,,,,,,-78.157,-82.782,-55.74,-154.328,-254.411,-396.213,-74.014,-294.04,-888.663,-773.046,-2240.578,-1062.582,-775,862,5644,12587,14974
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-98.132,-279.178,-86.491,87,141,125,31,-23
"Net Income, GAAP",NET_INCOME,,,,,,,,,,,,,,,,,,-78.157,-82.782,-55.74,-154.328,-254.411,-396.213,-74.014,-294.04,-888.663,-674.914,-1961.4,-976.091,-862,721,5519,12556,14997
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,-78.157,-82.782,-55.74,-154.328,-254.411,-396.213,-74.014,-294.04,-888.663,-674.914,-1961.4,-976.091,-862,690,5514,12556,14997
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,-78.157,-82.782,-55.74,-154.328,-254.411,-396.213,-74.014,-294.04,-888.663,-674.914,-1961.4,-976.091,-862,690,5514,12556,14997
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,0,0,0,0,16.386,0,0,-50.4086,126.4965,234.3093,233.05,92.43,-42.66,139.04,-5927
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,99.6958,105.3294,760.7745,1505.8322,1610.2378,1791.3212,1868.0901,1923.03,2163.18,2486.37,2557.875,2655,2799,2958,3130,3174
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,-0.8307,-0.5293,-0.2027,-0.1687,-0.246,-0.0413,-0.1573,-0.462,-0.312,-0.7887,-0.3813,-0.3247,0.2467,1.8667,4.02,4.73
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,-0.8307,-0.5293,-0.2027,-0.1687,-0.246,-0.0413,-0.1573,-0.462,-0.312,-0.7887,-0.3813,-0.3247,0.2467,1.8667,4.02,4.73
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,-0.8307,-0.5293,-0.2027,-0.1687,-0.246,-0.0322,-0.1573,-0.462,-0.3353,-0.738,-0.29,-0.2369,0.2795,1.8497,4.0559,2.8576
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,99.6958,105.3294,760.7745,1505.8322,1610.2378,1791.3212,1868.0901,1923.03,2163.18,2486.37,2557.875,2655,3249,3387,3475,3485
