JPM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6017,6078,,6436,6460,6584,1997,7087,7085,7186,7268,6292,6304,6596,6752,6829,6719,6658,6558,6487,6418,6268,8880,9145,9344,9354,9297,9081,8985,8910,8553,8735,8728,9044,8892,9319,9457,10333,9962,10045,10336,10668,10675,11118,11123,11267,11316,13355,13422,13679,13812,14041,14213,14206,14271,14519,14541,14574,14876,14891,14919,15216,15177,15133,14963,15073,14709,14362,14195,14262,14208,14131,14227,14206,14218,14159,14382,14132,14180,14934,32432,32783,33277,34003,34122,34467,34555,35115,34864,34456,34833,34958,34849,34735,35104,35516,35993,37892,37977,38588,38668,38940,31525
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316,1092,,888,822,719,,589,565,514,495,476,461,451,444,431,359,268,211,176,157,136,121,110,101,92,84,77,72,67,63,58,54,50,47,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47540,71200,72908,141553,201821,217452,341476,343542,363707,366585,441649,430106,425305,412827,408941,388261,369848,334527,323746,299954
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119478,108768,,127362,131250,119562,66885,148782,135784,136067,183246,151508,131966,150034,159110,154955,157973,199307,179980,163671,129443,171828,186213,256860,193585,135518,137718,178583,183079,193821,191819,190295,237956,205729,218956,236274,375896,343227,472350,397824,353965,345299,324829,323237,310672,316250,337727,322461,330622,330588,349652,316704,311945,317138,301695,295715,305016,326077,303746,300333,293120,297832,306005,308279,306598,294700,285132,266802,290462,306503,291888,282730,277932,281163,278250,293414,302246,307519,309487,302784,286680,306551,312528,298173,419149,328822,342451,362908,434770,452048,408136,389952,465134,478387,472852,432030,410748,382963,402233,377485,405316,414503,415516
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6901,7241,,9632,9858,10012,,15833,9289,9282,14683,15347,9759,9828,9756,9672,9621,9593,9523,10210,10496,10423,52947,48929,52657,48856,52046,51728,51974,50867,50432,52492,52026,51948,51721,51369,51650,51652,51601,53608,53550,53370,53196,52978,52742,52498,52718,52893,52713,52561,51576,51395,51237,50944,50819,50410,50149,50008,49917,49699,49554,49449,49244,48839,48581,48567,48441,48340,48250,48220,48189,48150,48139,48127,48117,48362,48331,48294,48264,48219,48211,48209,48659,48642,48600,48589,48578,50152,50118,50106,51215,51197,51191,51921,52666,52886,54335,56009,55801,55859,55769,55678,55702
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8640,,8249,8055,8089,8108,8096,8122,8132,8134,8511,8730,8731,42947,43203,43440,43537,43555,43621,43899,43498,43372,45186,45063,45254,45335,45270,45695,45993,46121,48027,48201,48288,48334,48357,48359,48320,48736,48854,48856,48882,48180,48188,48208,48131,48178,48175,48067,48057,48100,48081,48065,48110,47970,47647,47453,47476,47405,47325,47310,47303,47302,47288,47292,47300,47309,47507,47499,47488,47483,47471,47474,47477,47818,47823,47800,47811,47819,49248,49243,49256,50313,50315,50298,50697,51461,51662,52144,52380,52492,52634,52636,52620,52711
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,,7098,1704,1739,1648,1576,1499,1461,1389,1699,1766,1692,10000,5726,9217,5319,8491,8107,8075,7369,7060,7306,6963,6694,6386,6099,5955,5659,5480,5581,5349,5082,4862,4621,4383,4178,3982,4039,3857,3679,3396,3207,3029,2813,2641,2235,2082,1951,1817,1618,1489,1339,1274,1192,1128,1091,1036,1015,940,917,887,862,847,827,808,855,832,806,781,748,737,732,841,819,800,778,759,904,875,850,902,882,893,1224,1205,1224,2191,3629,3309,3225,3133,3058,2991
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5183,,,,5969,,,,5059,,,,5411,,,,9720,,,,,,,,12611,,,,10891,,,,21742,,,,21956,,,,23634,,,,27632,,,,29323,,,,25757,,,,22627,,,,22846,,,,22014,,,,8111,,,,7966,,,,8203,,,,12752,,,,10424,,,,16427,,,,17910,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112577,101527,,117730,121392,109550,200497,132949,126495,126785,168563,136161,122207,140206,149354,145283,148352,189714,170457,153461,118947,161405,133266,207931,140928,86662,85672,126855,131105,142954,141387,137803,185930,153781,167235,184905,324246,963210,1125187,344216,169168,194438,177568,168093,178514,183537,187716,165453,199165,200644,189223,145200,175698,180651,170913,140999,184258,202318,187041,159118,184294,186005,184308,157838,176443,178682,168023,135939,172003,179837,178120,148488,173730,176530,171873,180418,197001,200715,201161,192386,188136,205464,208292,191562,288901,205387,217247,224560,311533,331231,289013,271250,340307,345149,327652,291837,297139,262737,279362,248852,292926,304152,307253
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630328,626262,,667003,676046,662368,304717,715348,713624,712702,799300,693575,712508,740546,741759,758800,755156,802603,792700,770912,801078,817763,1138469,1157248,1178305,1171283,1254333,1198942,1273282,1328001,1338029,1351520,1460018,1458042,1479575,1562147,1642862,1775670,2251469,2175052,2079188,2026642,2041009,2031989,2135796,2014019,2141595,2117605,2198161,2246764,2289240,2265792,2320164,2290146,2321284,2359141,2389349,2439494,2463309,2415689,2476986,2520336,2527005,2573126,2577148,2449599,2417121,2351698,2423808,2466096,2521029,2490972,2546290,2563174,2563074,2533600,2609785,2590050,2615183,2622532,2737188,2727379,2764661,2687379,3139431,3213115,3246076,3384757,3689336,3684256,3757576,3743567,3954687,3841314,3773884,3665743,3744305,3868240,3898333,3875393,4090727,4143003,4210048
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,1633,,708,1199,378,449,-332,982,1028,40,-387,1400,1827,1628,1864,1930,-548,1418,1666,2264,994,2527,2698,3081,3540,3297,4526,4787,4234,3373,2971,2373,2003,527,702,2141,2721,3588,3278,3326,4795,4418,4831,5555,5431,4262,3728,4924,4501,5708,5692,6529,6496,-380,5278,5269,5980,5565,4931,5914,6290,6804,5434,5520,6200,6286,6727,6448,7029,6732,4232,8712,8316,8380,7066,9179,9652,9080,8520,2865,4687,9443,12136,14300,11948,11687,10399,8282,8649,9737,11008,12622,14472,13151,9307,13419,18149,12898
