MSFT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,47.106,85.873,127,102,88,,,,,,83,673,640,421,491,1478,1127,985,717,740,1372,1137,1938,2660,2902,2251,2181,2662,2063,1895,2636,3742,2500,1246
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,0,,,,,247,150,69,465,435,417,170,172,232,210,328,944,1100,612,797,655,399,700,1190,1144,709,394
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,0,,,,,,,0,0,148,31,45,16,56,96,201,266,202,158,145,54,53,83,79,82,23,7
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,0,,,,,393,271,422,1013,544,537,502,552,1084,831,1409,1450,1600,1481,1239,1953,1611,1112,1367,2516,1768,845
    + Other Inventory,BS_OTHER_INV,,,,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,51.779,68.715,95,121,201,260,427,502,2221,3260,3856,4122,4089,3663,3315,4055,4292,5006,5924,5134,5787,5127,5020,6333,5461,6061,5103,6751,10146,11482,13393,16924,21807,26021
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,465,597,196,262,254,109,719,548,336,395,133,234,215,226,251,161
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,3246,2353,3124,2830,3134,4283,4742,5513,4767,6356,10013,11248,13178,16698,21556,25860
Total Current Assets,BS_CUR_ASSET_REPORT,1028.5031,1769.704,2850,4312,5620,7839,10373,15889,21702,30308,39210,48576,58973,70566,48737,49010,40168,43242,49280,55676,74918,85084,101466,114246,122797,142188,162696,169662,175552,181915,184406,169684,184257,159734
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,530.191,766.63,867,930,1192,1326,1465,1505,1611,1903,2309,2268,2223,2326,2346,3044,4350,6242,7535,7630,8162,8269,9991,13011,14731,23554,30289,36146,43856,52904,70803,87546,109987,154552
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,648.649,977.199,1181,1445,1907,2346,2777,3052,3516,4314,5275,5891,6078,6489,6375,7223,9366,12544,15082,16259,17991,19231,22504,27804,32337,43354,54468,65369,79186,96101,122154,147206,178238,230973
    - Accumulated Depreciation,BS_ACCUM_DEPR,118.458,210.569,314,515,715,1020,1312,1547,1905,2411,2966,3623,3855,4163,4029,4179,5016,6302,7547,8629,9829,10962,12513,14793,17606,19800,24179,29223,35330,43197,51351,59660,68251,76421
  + LT Investments & Receivables,BS_LT_INVEST,0,0,0,0,0,0,0,4703,14372,17726,14361,14191,13692,12210,11004,9232,10117,6588,4933,7754,10865,9776,10844,14597,12053,10431,6023,1862,2649,2965,5984,6891,9879,14600
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,4933,7754,10865,9776,10844,14597,12053,10431,6023,1862,2649,2965,5984,6891,9879,14600
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,85.49,103.569,88,121,398,928,2549,260,940,2213,2950,2611,6844,7287,8728,8311,8536,16721,16140,15053,14759,18142,20130,30530,24891,26724,51304,51178,64499,63527,72586,100719,107853,183277
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,0,0,0,1912,1669,3512,3684,3808,3892,5638,14081,14262,13552,13325,16622,17738,27108,21774,21605,45228,43736,49776,50389,57511,78822,77252,146817
    + Goodwill,BS_GOODWILL,,,,,,,,0,0,,1511,1426,3128,3115,3309,3866,4760,12108,12503,12394,12581,13452,14655,20127,16939,17872,35122,35683,42026,43351,49711,67524,67886,119220
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,0,0,,401,243,384,569,499,26,878,1973,1759,1158,744,3170,3083,6981,4835,3733,10106,8053,7750,7038,7800,11298,9366,27597
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,279,0,0,0,,131,228,219,248,1369,7536,6405,7181,13515,20163,22270
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,25,4,12,43,0,16,19
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,85.49,103.569,88,121,398,928,2549,260,940,2213,1038,942,3332,3603,4920,4419,2898,2640,1599,1501,1434,1520,2392,3291,2889,4900,5822,6048,7183,6721,7851,8382,10422,14171
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,615.681,870.199,955,1051,1590,2254,4014,6468,16923,21842,19620,19070,22759,21823,22078,20587,23003,29551,28608,30437,33786,36187,40965,58138,51675,60709,87616,89186,111004,119396,149373,195156,227719,352429
Total Assets,BS_TOT_ASSET,1644.184,2639.9031,3805,5363,7210,10093,14387,22357,38625,52150,58830,67646,81732,92389,70815,69597,63171,72793,77888,86113,108704,121271,142431,172384,174472,202897,250312,258848,286556,301311,333779,364840,411976,512163
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,462.743,708.06,953,1146,1453,2195,3454,4490,7785,9421,7346,7829,7531,8168,12254,12599,14065,17681,14569,18760,23150,16978,21863,22074,12193,20539,25489,16571,39240,44281,61271,72738,72361,88136
Cash from Operating Activities,CF_CASH_FROM_OPER,557.878,896.381,1074,1593,1990,3719,4689,6880,13137,11426,13422,14509,15797,14626,16605,14404,17796,21612,19037,24073,26994,31626,28833,32502,29668,33325,39507,43884,52185,60675,76740,89035,87582,118548
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-264.395,-316.642,-236,-278,-495,-494,-499,-656,-583,-879,-1103,-770,-891,-1109,-812,-1578,-2264,-3182,-3119,-1977,-2355,-2305,-4257,-5485,-5944,-8343,-8129,-11632,-13925,-15441,-20622,-23886,-28107,-44477
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-264.395,-316.642,-236,-278,-495,-494,-499,-656,-583,-879,-1103,-770,-891,-1109,-812,-1578,-2264,-3182,-3119,-1977,-2355,-2305,-4257,-5485,-5944,-8343,-8129,-11632,-13925,-15441,-20622,-23886,-28107,-44477
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,0,0,0,0,0,0,-1669,-1598,0,0,0,-10075,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,0,0,0,0,0,0,0,0,0,0,0,79311,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,0,0,0,0,0,0,-1669,-1598,0,0,0,-89386,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,-868,-245,-71,-10112,-1584,-5937,-3723,-1393,-25944,-888,-2388,-2521,-8909,-22038,-1670,-69132
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,-868,-245,-71,-10112,-1584,-5937,-3723,-1393,-25944,-888,-2388,-2521,-8909,-22038,-1670,-69132
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,-116.28,-324.938,-740,-924,-881,-2176,-921,-5018,-10608,-8513,-7631,0,-6322,-1636,15839,9581,8353,-1405,-11783,-9092,-12190,-12369,-17970,-7411,-13334,-14214,-12708,6459,540,5739,1954,15613,7097,16639
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-380.675,-641.58,-976,-1202,-1376,-2670,-3089,-7272,-11191,-9392,-8734,-10845,-7213,-2745,15027,8003,6089,-4587,-15770,-11314,-14616,-24786,-23811,-18833,-23001,-23950,-46781,-6061,-15773,-12223,-27577,-30311,-22680,-96970
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,0,0,0,0,0,0,-15,-28,-28,-13,0,0,-857,-1729,-36112,-3545,-3805,-4015,-4468,-4578,-5180,-6385,-7455,-8879,-9882,-11006,-11845,-12699,-13811,-15137,-16521,-18135,-19800,-21771
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,12.913,-11.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5746,190,5960,0,3537,6962,13661,18283,31459,-10201,-4000,-5518,-3750,-9023,-2750,575
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,-102.567,0.222,-21,-68,-317,-757,-1282,-971,-834,-2179,-4454,-4572,-4366,-635,-4948,-17017,-20716,-8919,-8722,-8913,-9116,-3023,-4220,-6709,-13809,-15301,-11016,-9719,-18401,-21625,-25692,-30855,-20379,-15252
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,94.406,135.201,229,280,332,504,1819,1497,2116,2717,1620,1497,2120,2748,3109,2190,6859,3614,631,2356,2439,2006,1140,607,634,668,772,1002,1142,1343,1693,1841,1866,2002
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-196.973,-134.979,-250,-348,-649,-1261,-3101,-2468,-2950,-4896,-6074,-6069,-6486,-3383,-8057,-19207,-27575,-12533,-9353,-11269,-11555,-5029,-5360,-7316,-14443,-15969,-11788,-10721,-19543,-22968,-27385,-32696,-22245,-17254
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,83.306,129.911,145,141,188,347,802,1524,52,29,-1158,2,61,27,-25,18,33,137,-19,10,-40,0,-10,-39,362,-369,-190,-971,-675,-3751,-2523,-863,-1006,-1309
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,-6.348,119.001,124,73,-129,-410,-495,525,-810,-2163,-5612,-4570,-5162,-2337,-41085,-20544,-24488,-12797,-7463,-13291,-8376,-9408,-8148,-8665,-9668,-8393,8408,-33590,-36887,-46031,-48486,-58876,-43935,-37757
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,-67,-39,103,-104,-8,-139,-73,-67,19,50,-115,-201,-29,-141,-194,-210
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,170.855,373.802,222,464,485,639,1105,133,1136,-129,-924,-906,3422,9544,-9453,1863,-603,4228,-4263,-571,4105,-2672,-3134,4865,-3074,915,1153,4283,-590,2220,648,-293,20773,-16389
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,758,1100,1100,874,800,1300,,2800,2500,4300,4800,5240,5400,6600,4100,5300,3.5,3900,5500,4400,,,5500,8400,12500,13400,16000,23100,23400
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,1063,4,207,649,1150,8053,868,245,71,10112,1584,5937,3723,1393,25944,888,2388,2521,8909,22038,1670,69132
Free Cash Flow,CF_FREE_CASH_FLOW,293.483,579.739,838,1315,1495,3225,4190,6224,12554,10547,12319,13739,14906,13517,15793,12826,15532,18430,15918,22096,24639,29321,24576,27017,23724,24982,31378,32252,38260,45234,56118,65149,59475,74071
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,296.5983,581.0908,,1316.331,1496.341,3225,4190,6224,12554,10547,12319,13739,14906,13517,,13029.5212,15692.9348,18508.701,15945.9311,22209.2515,24882.2849,29610.74,24922.711,27490.6944,24238.5476,25977.7478,33272.1359,33493.6665,40672.5307,47397.2867,58139.6276,66941.4709,61069.5007,76470.9106
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,306.396,568.607,838,1315,1495,3225,5155,6196,12526,9567,,,14906,13517,15793,12826,15532,18430,21664,22286,30599,29321,28113,33979,37385,43265,62837,22051,34260,39716,52368,56126,56725,74646
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,0.0326,0.0616,0.0864,0.1347,0.149,0.3149,0.4381,0.3199,2.4968,1.0163,1.1532,1.2707,1.3901,1.2512,1.4571,1.2288,1.5943,1.9758,1.7795,2.5072,2.9021,3.4923,2.9344,3.2555,2.9013,3.1523,4.0509,4.1886,4.9863,5.944,7.4358,8.6912,7.9875,9.9678
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,32.0776,37.6396,30.8695,18.7001,25.6357,17.414,23.5747,50.5039,13.8864,57.4396,18.8056,26.0679,18.5958,21.8745,18.3384,21.2813,18.7288,18.0183,10.9242,12.157,9.6171,7.4336,9.1021,11.4915,16.01,17.5998,15.3399,20.4222,20.3697,26.5309,29.912,38.6968,30.0244,37.7253
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.2056,1.266,1.127,1.3901,1.3696,1.6943,1.3576,1.5323,1.6875,1.2128,1.8271,1.8532,2.0976,1.7906,1.3551,1.1433,1.2653,1.2223,1.3067,1.2832,1.166,1.8628,1.3188,1.4724,2.4332,1.6225,1.55,2.6482,1.3299,1.3702,1.2525,1.2241,1.2103,1.3451
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,1843.432,2758.7251,3753,4649,5937,8671,11358,15262,19747,22956,25296,28365,32187,36835,39788,44282,51122,60420,58437,62484,69943,73723,77849,86833,93580,91154,96571,110360,125843,143015,168088,198270,211915,245122
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,58437,62484,69943,73723,77849,86833,93580,91154,96571,110360,125843,143015,168088,198270,211915,245122
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,362.589,466.424,633,763,877,1188,1085,2460,2814,3002,3455,5191,6059,6716,6200,7650,10693,11598,12155,12395,15577,17530,20385,27078,33038,32780,34261,38353,42910,46078,52232,62650,65863,74114
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,12155,12395,15577,17530,20385,27078,33038,32780,34261,38353,42910,46078,52232,62650,65863,74114
Gross Profit,GROSS_PROFIT,1480.843,2292.3011,3120,3886,5060,7483,10273,12802,16933,19954,21841,23174,26128,30119,33588,36632,40429,48822,46282,50089,54366,56193,57464,59755,60542,58374,62310,72007,82933,96937,115856,135620,146052,171008
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,831.001,1296.322,1794,2160,3022,4405,5402,6388,7005,8948,10121,11264,16583,21085,19027,20160,21905,26551,25919,25991,27205,34430,30700,31996,42381,32296,33285,36949,39974,43978,45940,52237,57529,61575
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,5176,5742,,9988,13306,12843,13576,14784,18387,16909,17277,18162,18426,20289,20488,20324,19198,19942,22223,23098,24709,25224,27725,30334,32065
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,4126,4885,,7562,8309,8677,9818,11455,13260,12879,13214,13940,13857,15276,15811,15713,14635,15461,17469,18213,19598,20117,21825,22759,24456
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,4030,4063,4222,4569,5013,4677,4611,4563,4481,4754,4885,5111,5107,5900,7575,7609
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,9010,8714,9043,9811,10411,11381,12046,11988,13037,14726,16876,19269,20716,24512,27195,29510
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,0,0,0,6193,0,127,10011,1110,306,0,0,0,0,0,0,0
Operating Income (Loss),IS_OPER_INC,649.842,995.979,1326,1726,2038,3078,4871,6414,9928,11006,11720,11910,9545,9034,14561,16472,18524,22271,20363,24098,27161,21763,26764,27759,18161,26078,29025,35058,42959,52959,69916,83383,88523,109433
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,542,-915,-910,-504,-288,-61,-346,439,-876,-1416,-729,-77,-1186,-333,-788,1646
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,-1231,0,-1762,-1957,-1892,,,230,,,,,,,,,1243,2222,2733,2686,2591,2346,2063,1968,2935
    + Interest Expense,IS_INT_EXPENSE,4.515,1.988,,2,2,0,0,0,0,0,0,0,0,0,,295,230,106,38,151,295,380,429,597,781,1243,2222,2733,2686,2591,2346,2063,1968,2935
    - Interest Income,IS_INT_INC,,,,,,,,,,1231,1808,1762,1957,1892,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,-744,-843,-900,-800,-677,-883,-766,-903,-1387,-2214,-2762,-2680,-2131,-2094,-2994,-3157
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,57,159,,68,25,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,739,-222,-331,-201,-114,60,-26,-30,-1822,-2153,-735,-179,-1347,-377,419,1624
"Pretax Income (Loss), Adjusted",PRETAX_INC,670.644,1041.265,1401,1722,2167,3379,5314,7117,11891,14275,11525,11513,11054,12196,16628,18262,20101,23814,19821,25013,28071,22267,27052,27820,18507,25639,29901,36474,43688,53036,71102,83716,89311,107787
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,0,-160,,3920,2554,3808,8046,3526.46,1001,659,400,1600,-289,-439,5629,617,-692,9284,442,-2277,-2399,-648,384,-1232,-461,901,118
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,283,,,,733,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,125,-417,-519,-862,-324,-543,-899,-990,-2638,-2446,-195,-96,-188,-53,13,58
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,862,69,80,298,208,-276,183,1432,14,6,16,-17,2,81,1161,-23
"Pretax Income (Loss), GAAP",PRETAX_INC,670.644,1041.265,1401,1722,2167,3379,5314,7117,11891,14275,11525,11513,11054,12196,16628,18262,20101,23814,19821,25013,28071,22267,27052,27820,18507,25639,29901,36474,43688,53036,71102,83716,89311,107787
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,207.901,333.205,448,576,714,1184,1860,2627,4106,4854,3804,3684,3523,4028,4374,5663,6036,6133,5252,6253,4921,5289,5189,5746,6314,5100,4412,19903,4448,8755,9831,10978,16950,19651
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,462.743,708.06,953,1146,1453,2195,3454,4490,7785,9421,7721,7829,7531,8168,12254,12599,14065,17681,14569,18760,23150,16978,21863,22074,12193,20539,25489,16571,39240,44281,61271,72738,72361,88136
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,462.743,708.06,953,1146,1453,2195,3454,4490,7785,9421,7346,7829,7531,8168,12254,12599,14065,17681,14569,18760,23150,16978,21863,22074,12193,20539,25489,16571,39240,44281,61271,72738,72361,88136
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
