PCCYF US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
    + Interest Expense,IS_INT_EXPENSE,,,,,,,9839,10928,12276,8896,6048,4408,3516,2346,2896,2762,3220,2402,3044,5272,6321,10886,18164,23081,23319,24328,23348,22408,22718,30409,26528,19739,21554,24063,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,677,1373,1924,2066,2099,2277,1459,1983,2674,2063,2222,1596,2019,2491,2901,3779,3631,3023,2984,4738,8265,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,-177,-165,-213,-339,-358,-275,-288,-24863,-766,-52,-638,-25,-17,-15,-18,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,-42,-331,-88,-128,,-584,-341,-268,-985,-1621,-2401,-2277,-6442,-4290,-1184,-7038,-10902,-8262,-10228,-10962,-1504,-4105,-5968,-11647,-8229,-3533,-13267,-15251,-18538
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2799,5733,0,13346,0,0,0,0,
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,41376,42209,22755,36531,82051,68131,69240,98322,151244,193822,199173,204957,162013,140032,189305,184215,166811,178063,156759,57815,45192,53083,116770,103213,56073,158203,213277,237462,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,0,0,,,,,,,2844,2003,1785,,2602,3661,7194,11544,4861,-17444,6181,3759,-12546,27749,46217,25557,18411,42788,43570,33967,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,1652,2816,3114,3441,3515,2632,2905,8067,4856,16260,9546,4256,19546,20726,11591,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,2066,4356,8415,1443,3857,3685,25022,8615,18022,30002,13441,15367,26471,22395,22278,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,-55,26,23,-3,-24833,-41,-1258,-24634,-619,-45,-287,-1242,-3575,185,-102,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,167,259,,168,30,346,264,200,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,-4,-8,-8,-25,10,-100,-177,-184,-11,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,-4577,1533,,2689,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,41376,42209,22755,36531,82051,68131,69240,98322,151244,193822,199173,204957,162013,140032,189305,184215,166811,178063,156759,57815,45192,53083,116770,103213,56073,158203,213277,237462,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,9833,12200,7537,9403,26985,23066,22231,28072,43598,54180,49776,49781,35211,33473,38513,38256,36191,35789,37731,15726,15778,16295,42790,36203,22588,43507,49929,57169,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,31543,30009,15218,27128,55066,45065,47009,70250,107646,139642,149397,155176,126802,106559,150792,145959,130620,142274,119028,42089,29414,36788,73980,67010,33485,114696,163348,180293,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,31543,30009,15218,27128,,55066,45065,47009,70250,107646,139642,149397,155176,126802,106559,150792,145959,130620,142274,119028,42089,29414,36788,73980,67010,33485,114696,163348,180293
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,87,161,-57,127,-165,-404,99,636,3803,6280,7173,8426,12349,3172,10800,12998,15294,12675,11856,6572,21514,13995,20944,21333,14479,22526,14605,19147,
"Net Income, GAAP",NET_INCOME,,,,,,,31456,29848,15275,27001,55231,45469,46910,69614,103843,133362,142224,146750,114453,103387,139992,132961,115326,129599,107172,35517,7900,22793,53036,45677,19006,92170,148743,161146,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,31456,29848,15275,27001,55231,45469,46910,69614,103843,133362,142224,146750,114453,103387,139992,132961,115326,129599,107172,35517,7900,22793,53036,45677,19006,92170,148743,161146,
