V US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3039,4126,4180,,4909,4364,4813,4065,3964,3968,4059,4207,4943,5359,5145,5232,6608,6683,7803,8246,3801,3393,2814,2806,2835,4181,4137,4790,4384,4603,4454,4030,3206,3462,4556,4334,4048,6502,4422,4453,4455,5558,5370,5299,6952,5562,5597,7354,7988,6240,6921,5986,6493,6558,6950,7127,7817,8427,9594,9663,9627,9941,10632,11113,11630,12800,11874,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,5,,,,30,,,,13,,,,23,,,,40,,,,76,,,,50,88,52,43,18,26,12,76,78,113,166,74,437,274,768,672,512,381,424,389,410,408,465,764,1131,245,158,197,293,154,210,278,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,102,,135,,,,140,,,,112,,,,179,1341,1163,600,142,20,33,26,91,,,,77,,,,232,,,,148,,,,82,,,,130,,,,93,,,,83,,,,190,,,,206,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4105,3612,4329,3209,3369,3498,3611,3439,4398,4862,4638,4601,6147,6253,6158,6027,2071,1809,1785,2160,2349,3298,3281,3631,3457,3765,3620,3006,3206,3462,4556,4052,3960,6450,4379,4287,4429,5546,5294,5139,6839,5396,5523,6787,7714,5472,6249,5381,6112,6134,6561,6634,7409,7962,8830,8342,9382,9783,10435,10614,11476,12590,11596,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5813,10086,10761,,8089,8225,9562,9241,8753,9115,9850,8734,9355,9606,9516,9190,9978,10295,10899,11786,7387,6914,6941,7822,7765,8507,9025,9562,9864,10105,10068,10892,25473,24303,14374,14313,14689,15505,15718,19023,17287,18536,18491,18216,20107,18490,18305,20970,22319,19907,25011,27645,26280,26901,28042,27607,25906,24091,28971,30205,27859,28657,31670,33532,32732,32775,31039,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,1018,1048,,1117,1155,1170,1204,1203,1183,1185,1357,1380,1453,1510,1541,1542,1540,1581,1634,1641,1674,1689,1732,1746,1760,1772,1892,1861,1843,1847,1888,1884,1883,2136,2150,2201,2133,2202,2253,2238,2366,2387,2472,2437,2456,2549,2695,2739,2776,2746,2737,2713,2684,2707,3230,2908,3120,3146,3703,3236,3359,3370,3913,3472,3630,3766,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,1619,1704,,,,,2029,,,,2389,,,,2749,,,,3081,,,,3439,,,,3915,,,,4283,,,,4798,,,,5143,,,,5697,,,,6570,,,,7161,,,,8189,,,,9361,,,,9268,,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,601,656,,,,,825,,,,1032,,,,1208,,,,1447,,,,1707,,,,2023,,,,2395,,,,2648,,,,2890,,,,3225,,,,3875,,,,4424,,,,4959,,,,5658,,,,5355,,,,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,194,188,,205,200,181,168,159,154,128,24,13,7,7,711,899,1696,2923,3283,3401,2974,3189,2760,3040,3066,2798,3015,3028,2779,3300,3384,3487,3577,3762,3931,3802,2882,2117,1926,2674,2602,2835,4082,4132,3506,2918,2157,1719,1064,547,231,161,110,1111,1705,2087,2296,2240,2136,2735,2840,2122,1921,2809,3092,3037,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20637,22571,22445,,22411,22384,21711,21668,21600,21616,21533,23293,23241,23356,23414,23318,23349,23315,23338,23310,23430,23497,23466,23642,23697,23930,24080,24100,24131,24108,24214,24072,24133,24563,43595,43641,42678,42707,43963,44775,44955,45538,44462,44455,44979,45413,46477,46752,48004,49073,49580,50306,51272,50500,50811,50354,51028,52301,51053,49457,51557,51899,52072,51133,52396,52902,53198,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19938,21099,21022,,21096,21096,21096,21091,21091,21091,21091,22925,22910,23052,23121,23104,23122,23105,23118,23101,23084,23066,23049,23032,23015,22998,23168,23164,23148,23132,23200,23186,23173,23171,42122,42300,41273,41241,42331,42958,43271,43909,42832,42752,42450,42054,42585,42436,42904,42766,42979,43718,44714,43803,44044,43622,43827,45149,44070,42852,44331,44652,44658,44101,44859,45212,45059,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9055,10216,10139,,10213,10213,10213,10208,10208,10208,10208,11447,11447,11588,11668,11668,11668,11668,11681,11681,11681,11681,11681,11681,11681,11681,11741,11753,11753,11753,11825,11825,11825,11836,15044,15066,14892,14825,15009,15110,15162,15372,15204,15194,15149,15088,15313,15656,15767,15755,15791,15910,16121,15980,16021,15958,16555,18143,17977,17787,18024,18078,18082,17997,18120,18837,18816,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10883,10883,10883,,10883,10883,10883,10883,10883,10883,10883,11478,11463,11464,11453,11436,11454,11437,11437,11420,11403,11385,11368,11351,11334,11317,11427,11411,11395,11379,11375,11361,11348,11335,27078,27234,26381,26416,27322,27848,28109,28537,27628,27558,27301,26966,27272,26780,27137,27011,27188,27808,28593,27823,28023,27664,27272,27006,26093,25065,26307,26574,26576,26104,26739,26375,26243,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,23,,,,30,,,,29,,,,42,,,,46,,,,51,,,,57,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,22,,,,1307,,,,941,,,,698,,,,798,,,,1046,,,,1167,,,,1553,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,1472,1423,,1315,1288,602,554,509,525,442,338,331,304,293,185,227,210,220,167,346,431,417,564,682,932,912,885,983,976,1014,818,960,1392,1473,1247,1405,1466,1632,510,1684,1629,1630,762,2529,3359,3892,3618,5100,6307,6601,5790,6558,6697,6767,5686,7201,7152,6983,5438,7226,7247,7414,5479,7537,7690,8139,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21929,23783,23681,,23733,23739,23062,23040,22962,22953,22846,24674,24634,24816,24931,25570,25790,26551,27842,28227,28472,28145,28344,28134,28483,28756,28650,29007,29020,28730,29361,29344,29504,30023,49493,49722,48681,47722,48282,48954,49867,50506,49684,51009,51548,51375,51944,51604,52462,52913,52873,53274,54146,53294,54629,55289,56023,57717,56439,55296,57528,58098,57564,56967,58677,59624,60001,
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27742,33869,34442,,31822,31964,32624,32281,31715,32068,32696,33408,33989,34422,34447,34760,35768,36846,38741,40013,35859,35059,35285,35956,36248,37263,37675,38569,38884,38835,39429,40236,54977,54326,63867,64035,63370,63227,64000,67977,67154,69042,68175,69225,71655,69865,70249,72574,74781,72820,77884,80919,80426,80195,82671,82896,81929,81808,85410,85501,85387,86755,89234,90499,91409,92399,91040,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,314,422,-356,574,536,729,514,763,713,716,774,884,881,1005,880,1029,1292,-1839,1662,1293,1270,1225,1192,1407,1598,1360,1073,1569,1550,1697,1512,1941,1707,412,1931,2070,430,2059,2140,2522,2605,2329,2845,2977,2977,3101,3025,3272,3084,2373,2137,3126,3026,2575,3584,3959,3647,3411,3940,4179,4257,4156,4681,4890,4663,4872,
