V US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,,,,,,,272.949,470.478,-1071.425,804,2352,2964,3646,2142,4980,5438,6328,5991,6699,10301,12080,10866,12311,14957,17273
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,-95.744,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,,,,,,,368.693,470.478,-1071.425,804,2352,2964,3646,2142,4980,5438,6328,5991,6699,10301,12080,10866,12311,14957,17273
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,,,,,,,8.248,15.917,4.67,0,-1,-2,-4,-2,0,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",NET_INCOME,,,,,,,,,,,,,,,,360.445,454.561,-1076.095,804,2353,2966,3650,2144,4980,5438,6328,5991,6699,10301,12080,10866,12311,14957,17273
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,,,,,,,360.445,454.561,-1076.095,804,2353,2966,3650,2144,4980,5438,6328,5991,6699,10301,12080,10866,12311,14957,17273
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,,,,,,,360.445,454.561,-1076.095,804,2353,2966,3650,2144,4980,5438,6328,5991,6699,10301,12080,10866,12311,14957,17273
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,-190.85,-29.25,-39.45,2267,1.95,19,-119.9,963.3,1527.35,390,189,300.69,585.37,983,869
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,-95.744,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,3100,3076,3376,3356,3296,3240,2353,2264,2221,2170,2104,2049,1999,1953,1946,1651,1618
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,-0.6946,0.2614,0.697,0.8838,1.1074,0.6617,2.1164,2.4019,2.8492,2.7608,3.1839,5.0273,6.043,5.5637,6.3263,9.0594,10.6755
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,-1.0421,0.2614,0.697,0.8838,1.1074,0.6617,2.1164,2.4019,2.8492,2.7608,3.1839,5.0273,6.043,5.5637,6.3263,9.0594,10.6755
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,0.2075,0.6064,0.6404,0.8751,1.0954,1.3614,2.1173,2.4103,2.7952,3.2047,3.9099,5.2177,6.1376,5.7177,6.6271,9.6548,11.2126
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,3100,3076,4608,4384,4088,3856,2897,2794,2724,2678,2654,2586,2529,2479,2443,2136,2085
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,-1.0421,0.2614,0.5106,0.6766,0.8929,0.556,1.719,1.9463,2.3231,2.2371,2.5241,3.9834,4.7766,4.3832,5.0393,7.0023,8.2844
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,-1.3896,0.2614,0.5106,0.6766,0.8929,0.556,1.719,1.9463,2.3231,2.2371,2.5241,3.9834,4.7766,4.3832,5.0393,7.0023,8.2844
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,0.2075,0.6064,0.4692,0.6699,0.8832,1.1439,1.7197,1.9531,2.279,2.5968,3.0996,4.1342,4.8513,4.5045,5.2789,7.4625,8.7012
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,,,,,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
