NSC US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    - Interest Income,IS_INT_INC,,,,,,,,,,,,15,12,10,13,41,76,45,20,13,12,9,8,8,9,8,,0,0,0,0,0,0,0
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,-117,-194,-49,,,,,50,71,,,,,,,,42,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,-114,-141,-151,-121,-267,-95,-95,-71,-156,-67,-106,-153,-77,-13,-191
"Pretax Income (Loss), Adjusted",PRETAX_INC,875.4,143.6,875.3,898.6,1049,1114.7001,1166,998,845,-180,250,553,706,586,1302,1697,2230,2237,2750,1622,2367,2918,2758,2965,3134,2442,2582,3128,3469,3491,2530,3878,4130,2320
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,0,49,38,-12,0,191,-53,-110,0,19,7.678,18,-41,26,-5,-101,-26,-85,-55,-105,-171,-42,445,-86,-82,-49
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,18,-41,-32,-5,-101,-26,-85,-55,-105,-171,-42,346,-86,-82,-49
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,875.4,143.6,875.3,898.6,1049,1114.7001,1166,998,845,-180,250,553,706,586,1302,1697,2230,2237,2750,1622,2367,2918,2758,2965,3134,2442,2582,3128,3469,3491,2530,3878,4130,2320
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,319.3,113.9,317.6,349.9,381.2,402,413,299,215,112,78,191,246,175,379,416,749,773,1034,588,871,1002,1009,1055,1134,886,914,-2276,803,769,517,873,860,493
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,556.1,29.7,557.7,548.7,667.8,712.7,753,699,630,239,172,362,460,411,923,1281,1481,1464,1716,1034,1496,1916,1749,1910,2000,1556,1668,5404,2666,2722,2013,3005,3270,1827
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,-223.3,0,0,-17,-22,-104,0,0,-13,0,-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,556.1,29.7,557.7,772,667.8,712.7,770,721,734,-292,172,375,460,535,923,1281,1481,1464,1716,1034,1496,1916,1749,1910,2000,1556,1668,5404,2666,2722,2013,3005,3270,1827
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",NET_INCOME,556.1,29.7,557.7,772,667.8,712.7,770,721,734,239,172,375,460,535,923,1281,1481,1464,1716,1034,1496,1916,1749,1910,2000,1556,1668,5404,2666,2722,2013,3005,3270,1827
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,2,4,4,4,5,4,2,1,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,556.1,29.7,557.7,772,667.8,712.7,770,721,734,239,172,375,460,535,923,1281,1481,1464,1716,1026,1488,1914,1745,1906,1996,1551,1664,5402,2665,2722,2013,3005,3270,1827
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,556.1,29.7,557.7,772,667.8,712.7,770,721,734,239,172,375,460,535,923,1281,1481,1464,1716,1026,1488,1914,1745,1906,1996,1551,1664,5402,2665,2722,2013,3005,3270,1827
