SO US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,985.375,1011.252,893.629,915,972.737,979.309,889.04,896,962.906,902.321,791.809,925,990.624,999.431,813.07,788.748,803.788,862.231,837.379,907,940.305,901.424,822.563,879,841.616,856.648,796.407,779.349,800.858,826.915,731.438,707,778.453,760.528,699.215,767,832.654,918.513,849.369,767,907.858,892.269,932.241,703,836.511,896.1,859.391,944,938.13,911.795,868.595,859,840.292,880.766,869.865,887,865.422,904.113,872.916,,968.026,,,1069,1157.934,1233.133,1272.926,1323,1390.704,1468.309,1433.588,1435,1502.665,1582.7,1581.52,1775,1944.465,2161.459,2168.659,2241,2111.74,2188.425,2031.136,2135,2178,2067,1930,2270,2483,2591,2530,2819,2723,2573,2308,2298,1861,1901,1835,1969,1905,1838,1737,1929,1922,2008,2559,2782,2510,2562,2701,2627,2230,2151,2294,2394,2093,2143,2324,2388,2215,2381,2476,2488,2195,2122,2258,2355,2103,2281,2681,2677,2750,2963,3148,3352,3268,3287,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,330.671,303.997,253.236,257,282.279,286.079,260.338,292,349.369,322.79,283.597,290,313.226,270.494,278.439,220.989,236.445,260.331,243.303,264,305.687,302.455,315.026,340,390.147,405.901,362.239,670.886,416.348,392.341,369.891,178,360.794,406.363,263.811,183,216.921,206.177,214.04,376,271.408,315.196,1729.687,605,605.208,652.716,634.091,503,462.712,452.744,528.899,290,542.161,328.957,360.242,251,349.029,988.376,332.19,,429.591,,,620,628.494,1209.295,551.953,491,540.466,1359.77,473.318,692,818.546,1048.609,830.864,768,912.465,890.833,752.276,869,863.206,841.051,963.256,1204,837,742,760,830,1006,1012,889,1059,1034,1031,735,823,883,773,751,1238,1483,1698,1149,1290,1151,1165,1745,2342,2247,2162,1724,1874,1745,4253,2013,2535,2095,1814,1613,2473,2419,2183,2031,2245,2890,3121,2433,1850,2468,2252,2404,2106,2352,2147,2255,2369,2616,2278,
    + Prepaid Expenses,BS_PREPAY,266.077,239.615,188.854,193,216.429,216.715,190.974,222,272.651,245.225,207.099,220,236.556,192.864,190.765,147.915,152.181,187.757,171.646,194,227.635,229.26,241.636,266,311.529,327.616,284.583,252.977,340.949,316.796,294.201,99,143.51,137.534,103.024,102,137.213,126.348,134.091,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,124,177.886,154.996,137.95,,171.533,,,130,309.059,305.855,309.934,128,349.856,350.136,291.479,281,216.911,297.999,392.644,442,337.898,499.421,372.951,653,585.172,625.3,674.43,935,585,510,469,545,680,738,680,822,859,866,582,660,696,593,557,842,477,741,425,495,667,744,637,364,401,361,365,452,432,398,354,432,786,543,279,314,667,502,299,276,657,538,329,330,739,528,373,347,626,504,321,406,474,422,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,64.594,64.382,64.382,64,65.85,69.364,69.364,70,76.718,77.565,76.498,70,76.67,77.63,87.674,73.074,84.264,72.574,71.657,70,78.052,73.195,73.39,74,78.618,78.285,77.656,417.909,75.399,75.545,75.69,79,217.284,268.829,160.787,81,79.708,79.829,79.949,443,271.408,621.005,1729.687,605,605.208,652.716,634.091,503,462.712,452.744,528.899,524,542.161,328.957,360.242,127,171.143,571.958,194.24,,258.058,,,490,319.435,903.44,242.019,363,190.61,1009.634,181.839,411,601.635,750.61,438.22,326,574.567,391.412,379.325,216,278.034,215.751,288.826,269,252,232,291,285,326,274,209,237,175,165,153,163,187,180,194,396,1006,957,724,795,484,421,1108,1978,1846,1801,1359,1422,1313,3855,1659,2103,1309,1271,1334,2159,1752,1681,1732,1969,2233,2583,2104,1520,1729,1724,2031,1759,1726,1643,1934,1963,2142,1856,
Total Current Assets,BS_CUR_ASSET_REPORT,2189.7219,2372.334,2338.031,2302,2178.47,2307.3799,2364.6479,2183,2273.5391,2326.2229,2496.259,2236,2479.4939,2848.6909,2580.447,2334.8569,2220.929,2646.4829,2520.481,2368,2261.6289,2526.0991,3103.155,3510,2788.394,3366.0139,3036.0049,3056.8989,3546.5549,3847.844,3955.646,3603,3139.4351,3853.6221,4011.708,3706,3188.735,3631.56,3968.047,3529,3313.986,4135.121,7467.076,2825,2651.121,3039.577,3273.252,2956,2750.176,3344.629,3132.781,2967,2921.616,2958.295,3420.958,2917,2894.862,3168.487,3372.16,,3600.148,,,4205,4212.016,4320.382,4782.538,4019,4024.338,4754.108,5435.854,4732,4826,5368.616,5824.701,5358,5948.748,6389.37,5881.933,5873,5220.131,5524.262,6609.452,5883,5240,5502,6495,6272,6041,6373,6696,6162,5932,6001,5785,5599,5140,5376,6258,5864,6372,6605,6270,6526,5461,15149,9658,9722,8427,8837,9202,10072,9524,11619,9384,9583,8709,8352,9917,9817,9430,9069,10574,8617,9469,9551,9674,8965,9297,9781,10363,10416,9555,10979,11088,10432,10543,10993,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,19845.9512,19898.1504,19713.8496,19807,19858.5664,19899.6836,19676.3438,19940,19964.3164,19957.1016,19966.3711,19750,19775.0273,19768.0684,20363.1699,20102.7793,20167.4941,20197.7734,20306.5918,21170,21394.9609,21237.0977,23060.1543,23103,23332.5977,23428.4902,23426.5684,23570.5313,23422.0762,23472.6602,23292.2129,24394,23698.9609,24411.3965,24325.0156,24768,24396.81,25622.34,25964.52,20539,24693.34,24890.91,25119.37,21622,22040.1,22451.16,22774.29,23084,23484.54,23955,24285.51,26566,25691.338,25962.82,26028.49,27534,27742.96,27905.5,28058.39,,28539.238,,,29480,29641.964,29961.456,30575.653,31092,31522.683,32022.094,32585.051,33327,34003.364,34562.57,35112.097,35878,36767.728,37497.946,38141.779,39230,39998.396,40630.494,41199.709,42002,42701,43279,43797,45010,45855,46566,47274,48390,48687,49317,50200,51208,51573,52764,53167,54868,55475,57007,58243,61114,62552,63893,75554,78446,79811,78686,79741,79872,80947,77192,78432,80797,83518,83036,83531,84880,85735,86805,88188,89436,90858,91398,92583,92809,93483,94445,95089,96101,97135,98248,99721,101276,101870,103318,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,26510.3965,26719.543,26675.834,26894,27139.0117,27339.7266,27249.8906,27624,27818.9414,27951.5625,28128.5781,28030,28234.3184,28432.5781,29199.5371,29036.4961,29268.1523,29437.8594,29666.1035,30747,31151.9531,31185.0566,33214.1367,33170,33633.2773,33952.5898,34163.5859,34491.7734,34596.2148,34892.7578,35019.668,36328,35943.5078,37047.7891,37252.0742,38007,37843.93,39325.89,39821.62,34194,39038.85,39478.31,39922.94,35972,36565.57,37172.22,37602.29,38104,38714.99,39330.88,39740.04,40071,40735.765,41217.28,41437.14,41838,42238.63,42532.4,42878.69,,43667.074,,,45207,45629.771,46146.049,46982.366,47674,48331.376,49024.909,49798.575,50740,51694.049,52449.942,53217.757,54164,55285.411,56237.745,57127.777,58351,59369.747,60278.202,61147.59,62176,63085,63936,64688,66164,67182,68182,69180,70354,70906,71850,73021,74267,74902,76256,77013,78927,79782,80925,82433,85367,87118,88671,105144,108298,110141,109353,110905,111329,112867,107447,,,,,,,,,,,,,,,,,,,,,,,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,6664.4448,6821.3931,6961.9839,7087,7280.4438,7440.042,7573.5459,7684,7854.625,7994.4609,8162.208,8280,8459.29,8664.5098,8836.3691,8933.7168,9100.6582,9240.085,9359.5127,9577,9756.9932,9947.958,10153.9824,10067,10300.6777,10524.0986,10737.0176,10921.2422,11174.1377,11420.0977,11727.4551,11934,12244.5449,12636.3945,12927.0596,13239,13447.11,13703.55,13857.1,13655,14345.51,14587.39,14803.57,14350,14525.47,14721.06,14828,15020,15230.45,15375.87,15454.53,13505,,15254.46,15408.65,14304,14495.67,14626.9,14820.3,,15127.836,,,15727,15987.807,16184.593,16406.713,16582,16808.693,17002.815,17213.524,17413,17690.685,17887.372,18105.66,18286,18517.683,,18985.998,19121,19371.351,19647.708,19947.881,20174,20384,20657,,21154,21327,21616,21906,21964,22219,22533,22821,,23329,23492,23846,24059,24307,23918,24190,24253,24566,24778,29590,29852,30330,30667,31164,31457,31920,30255,30739,31038,30834,30693,30469,30765,31180,31477,32099,32397,32887,33240,33723,34079,34645,35203,34922,35297,35990,36500,37199,37725,38347,38995,
  + LT Investments & Receivables,BS_LT_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,,,,582.53,0,,,,0,,,702.413,556,,565.98,580.973,0,0,870.809,0,848,889.18,879.516,916.942,1034,1014.873,1032.107,1052.186,1076,1171.46,1281.775,1303.714,,1356.694,,,1419,1413.197,1426.449,1447.213,1435,1246.941,1226.202,1236.075,1222,1217.948,1135.578,1154.114,1124,1129.874,826.765,834.759,893,901.378,900.972,899.689,901,897,911,897,911,914,920,878,886,865,872,878,883,894,905,925,946,953,983,1241,915,1249,993,1018,1044,1073,1012,1024,1024,1031,1035,1052,1067,1169,1318,1193,1179,1202,1026,1056,954,1025,1063,1161,653,633,576,590,602,616,618,651,665,673,684,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
