BRK/B US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,3022,2914,2638,0,0,0,0,0,0,-1102,-1085,28587,20092,22266,20480
Operating Income (Loss),IS_OPER_INC,625.584,710.655,669.848,1262.415,990.808,949.6,1321.5,1833.2,2008,1219,1671,959,5807,12063,11420,12412,17952,21483,8898,13544,21609,17978,24980,31597,31384,38583,36299,25210,10021,105481,59119,114972,-28011,123196
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,1992,2558,2664,2744,2801,3279,3637,2632,1372,6020,2785,3426,3286,2489,3030
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,111.9,,,-2647,968,725,,721,,,,,1992,2558,2664,,,3253,3515,3741,4386,3853,3961,4083,4172,4352,5003
    + Interest Expense,IS_INT_EXPENSE,112.692,121.847,124.496,80.749,60.111,59.3,99.7,111.9,109,134,144,968,725,472,721,144,1174,1322,1324,1992,2558,2664,2744,2801,3253,3515,3741,4386,3853,3961,4083,4172,4352,5003
    - Interest Income,IS_INT_INC,,,,,,,,,,,2791,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,-4474,-4735,-4370,-4562,-4522,-4865,-5518,-6615,-5960,-5662,-7734,-11619
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,105,,,-429,,-523,,,,,,,,,26,122,-1109,-3014,2167,-1176,-657,-886,-1863,-1973
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,0,0,0,4474,4735,4370,4562,4522,4865,5518,6615,5960,5662,7734,11619
"Pretax Income (Loss), Adjusted",PRETAX_INC,516.466,592.986,550.617,1189.718,662.197,1084.4,3705.9001,2827.6,4314,2450,5587,1469,6359,12020,10936,12791,16778,20161,7574,11552,19051,15314,22236,28796,28105,34946,33667,23838,4001,102696,55693,111686,-30500,120166
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-787,-2346,830,-3425,-6673,-4081,-10347,-8304,-2128,25455,-71992,-30075,-78214.1519,68097.7342,-74695.5063
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,-1963,-2608,-506,-974,-751,-718,300,-1484,159,-966,276,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,525,638,327.8481,198.7342,159.4937
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,-787,-2346,830,-1462,-4065,-3575,-9373,-7553,-1410,22155,-71123,-40905,-77576,67623,-74855
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,516.466,592.986,550.617,1189.718,662.197,1084.4,3705.9001,2827.6,4314,2450,5587,1469,6359,12020,10936,12791,16778,20161,7574,11552,19051,15314,22236,28796,28105,34946,33667,23838,4001,102696,55693,111686,-30500,120166
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,112.047,142.058,138.089,420.65,158.666,276.2,1196.8,897.7,1457,852,2018,620,2059,3805,3569,4159,5505,6594,1978,3538,5607,4568,6924,8951,7935,10532,9240,-21515,-321,20904,12440,20879,-8502,23019
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,404.419,450.928,412.528,769.068,503.531,808.2,2509.1001,1929.9,2857,1598,3569,849,4300,8215,7367,8632,11273,13567,5596,8441,13494,10746,15312,19845,20170,24414,24427,45353,4322,81792,43253,90807,-21998,97147
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,70.984,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,404.419,450.928,412.528,698.084,503.531,808.2,2509.1001,1929.9,2857,1598,3569,849,4300,8215,7367,8632,11273,13567,5596,8441,13494,10746,15312,19845,20170,24414,24427,45353,4322,81792,43253,90807,-21998,97147
