VMC US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,0.6751,1.035,1.1046,0.8748,0.9829,1.459,1.8582,1.8188,1.512,0.8754,0.7695,2.2941,2.0575,3.1922,3.6781,2.5205,1.1962,2.3169,0.7469,2.8876,0.9089,0.5421,1.1185,0.6227,0.275,1.7287,2.2104,1.3969,2.747,4.5351,5.3409,4.2214,4.0271,4.994
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,16.7873,11.5942,14.5607,17.8605,17.1683,13.1651,10.9199,18.7169,29.0049,45.6243,62.2157,20.8968,18.2261,14.9019,14.8472,26.88,75.13,34.1362,93.1598,18.2403,48.8074,72.5947,46.5361,95.4248,238.9969,54.9382,56.618,91.8941,35.966,31.7498,27.7689,49.1734,43.4833,45.4567
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.6506,3.4672,2.1321,2.1877,2.1256,1.6028,1.8321,1.6535,1.3901,1.6812,1.9016,2.3333,2.6963,2.6624,2.0203,1.2172,1.1738,1.5705,,14.9447,,,,14.6214,1.2737,2.349,1.5366,1.0723,1.6145,1.5932,1.8313,1.5085,1.9948,1.6468
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,1105.3101,1007.478,1078.035,1133.489,1253.36,1460.974,1568.9449,1678.5811,1776.434,2607.771,2744.594,3019.99,2648.051,2892.186,2454.335,2895.327,3342.475,3327.787,3651.438,2690.49,2558.862,2564.55,2567.31,2770.709,2994.169,3422.181,3592.667,3890.296,4382.869,4929.1,4856.8,5552.2,7315.2,7781.9
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,2690.49,2558.862,2564.55,2567.31,2770.709,2994.169,3422.181,3592.667,3890.296,4382.869,4929.1,4856.8,5552.2,7315.2,7781.9
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,813.889,795.346,828.951,886.764,985.198,1044.71,1115.442,1199.453,1226.764,2021.3199,2160.907,2370.5359,2131.5801,2308.712,1871.662,2186.851,2410.571,2376.884,2901.726,2244.528,2258.136,2280.681,2233.284,2343.829,2406.587,2564.648,2591.85,2896.783,3281.924,3673.2,3575.3,4178.8,5757.5,5833.4
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,2244.528,2258.136,2280.681,2233.284,2343.829,2406.587,2564.648,2591.85,2896.783,3281.924,3673.2,3575.3,4178.8,5757.5,5833.4
Gross Profit,GROSS_PROFIT,291.4211,212.132,249.084,246.725,268.162,416.264,453.5029,479.1281,549.6699,586.451,583.687,649.4541,516.4709,583.474,582.673,708.476,931.904,950.903,749.712,445.962,300.726,283.869,334.026,426.88,587.582,857.533,1000.817,993.513,1100.945,1255.9,1281.5,1373.4,1557.7,1948.5
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,101.317,98.859,105.749,116.072,130.562,166.176,179.015,195.558,206.807,228.357,243.198,279.032,210.399,242.549,204.541,239.696,242.372,294.994,500.61,297.51,315.266,220.425,249.245,236.476,49.444,307.755,321.235,354.469,353.232,378.4,385.8,362.6,606.3,521.1
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,217.096,,232.531,264.276,289.604,342.584,321.608,327.537,289.993,259.14,259.427,272.288,286.844,314.986,324.972,333.371,370.5,359.8,417.6,515.1,542.8
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,,0,0,0,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,-24.098,-12.271,-69.568,-9.895,-22.951,-222.844,20.911,6.249,29.497,19.861,7.9,26,-55,91.2,-21.7
Operating Income (Loss),IS_OPER_INC,190.104,113.273,143.335,130.653,137.6,250.088,274.488,283.57,342.863,358.094,340.489,370.422,306.072,340.925,378.132,468.78,689.532,655.909,249.102,148.452,-14.54,63.444,84.781,190.404,538.138,549.778,679.582,639.044,747.713,877.5,895.7,1010.8,951.4,1427.4
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,167.673,177.666,217.182,205.199,194.107,239.3,221.921,132.325,277.728,124.423,119.8,151.9,137,163.3,182.3
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,49.592,,20.519,20.139,41.593,169.687,172.98,180.74,217.184,211.926,201.645,242.407,220.243,133.269,291.085,137.423,129,134.4,147.7,168.4,179.6
    + Interest Expense,IS_INT_EXPENSE,7.758,11.205,9.768,9.171,9.821,11.099,8.636,6.914,6.782,48.576,48.087,61.28,54.841,54.12,40.28,37.146,26.31,48.218,172.813,175.262,181.603,220.628,213.067,202.588,243.367,220.588,134.076,295.522,137.977,130.2,136,149.3,169.2,196.1
