VMC US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,102.872,106.674,115.639,113.016,126.568,123.84,113.713,112.636,117.972,112.49,105.245,107.948,121.139,120.041,108.923,105.017,114.494,110.137,109.643,112.481,127.235,130.386,119.73,126.801,133.701,133.383,124.301,128.578,137.668,134.531,123.451,132.359,144.542,147.62,139.032,143.68,183.527,188.912,174.234,178.734,197.102,194.127,192.389,199.044,230.184,229.865,226.41,228.415,243.331,243.351,237.084,239.586,250.171,231.19,210.325,219.376,230.948,216.266,206.267,177.184,195.343,191.335,185.879,197.752,232.438,234.663,238.097,243.537,266.416,286.112,266.522,356.318,384.836,383.5,372.081,364.311,361.82,363.583,331.695,325.033,307.601,311.34,316.244,319.845,329.187,329.265,317.777,327.657,341.333,334.606,336.978,335.022,340.574,340.487,328.179,344.606,305.833,309.714,306.584,321.804,333.692,341.828,326.706,347.073,337.758,347.866,338.042,345.616,363.399,374.929,365.826,384.338,399.754,403.764,408.652,429.33,429.397,441.423,429.66,458.308,470.747,451.48,455.461,448.6,441.4,450.643,512.23,521.3,524.5,524.2,542,579.3,585.6,594.6,570.6,615.6,647.2,650.3,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.961,43.709,42.683,50.892,52.291,46.714,46.769,49.282,45.294,44.07,42.766,43.322,47.99,52.898,50.911,51.42,49.719,49.623,49.722,51.862,47.327,47.974,44.122,45.562,40.24,43.129,17.897,20.406,22.306,25.501,25.624,28.476,28.59,27.005,27.41,29.481,32.132,32.525,28.33,31.872,29.009,33.147,28.568,29.023,32.035,24.565,21.807,22.43,23.114,22.924,22.222,26.57,26.3,26.284,23.819,23.819,24.457,28.221,27.758,27.148,29.863,29.48,29.996,19.431,20.458,22.987,19.741,21.203,21.61,21.68,21.765,22.16,25.366,25.411,22.648,26.213,27.106,27.852,27.152,29.393,29.684,29.078,27.942,27.951,31.137,31.25,31.318,33.676,33.178,34.562,33.8,36.1,37.967,58.223,59.9,63.2,63.5,64.9,63.4,70.6,69.1,50.5,51.2,58.7,58.8,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.199,1.25,1.183,1.127,0.858,0.868,0.933,1.409,1.195,1.111,1.02,0.688,0.782,0.643,0.564,0.824,0.583,0.525,0.486,0.648,0.532,0.271,0.476,0.908,0.832,0.781,0.937,1.312,1.409,1.525,1.589,2.058,1.959,1.876,1.619,1.628,2.494,1.747,4.115,4.356,3.113,4.832,4.475,4.857,5.133,5.085,3.907,4.663,3.784,5.905,6.036,4.83,4.93,3.473,4.198,5.077,3.974,6.209,5.963,6.168,5.415,6.385,6.613,0.875,1.104,1.331,1.25,1.189,1.461,1.161,1.008,1.221,2.223,2.753,1.48,1.314,1.21,1.652,1.827,1.303,1.882,2.668,3.064,4.976,6.332,6.062,5.604,5.01,5.116,5.098,4.5,4.6,5.099,3.815,4.2,4.4,4.8,5.6,6,6.2,7.2,8.6,6.5,6.8,8.8,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.46,94.073,99.814,131.805,135.763,126.652,131.032,146.411,147.638,147.208,155.258,186.174,181.093,172.869,176.94,191.087,193.049,186.936,189.378,197.661,183.331,162.08,174.778,184.478,175.194,162.357,158.35,173.625,167.62,158.853,170.539,201.904,204.114,209.216,214.508,235.307,251.486,232.25,286.591,310.316,309.868,294.746,295.525,292.776,290.451,265.422,261.752,246.632,246.956,251.457,254.84,257.522,259.109,249.265,260.732,271.634,266.265,263.893,262.886,267.783,266.489,255.047,270.603,258.007,260.111,254.931,275.172,285.313,292.932,275.717,297.925,288.891,295.405,283.266,293.619,306.012,318.465,307.046,327.711,340.666,343.948,346.94,372.604,369.743,377.578,364.164,391.666,403.612,383.483,384.575,378.4,368.8,373.677,411.872,418,412.2,405.2,403.3,439.3,437.8,455.3,448.1,494.4,512.7,514.2,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.282,38.292,41.51,39.356,35.743,35.164,35.964,36.623,37.567,33.876,37.486,35.958,36.747,40.265,38.926,38.755,38.908,40.803,39.91,38.655,38.415,39.475,38.72,37.267,37.394,27.52,28.041,27.335,25.641,25.987,25.825,28.148,26.375,25.486,24.872,26.612,27.869,29.86,28.148,29.276,27.648,28.392,28.25,29.966,25.72,26.727,26.376,28.184,29.72,28.449,29.703,31.226,31.9,31.9,33.9,38.32,39.2,44.7,50.7,68.2,70.6,71,63,63.4,63.5,69,68.5,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,16.308,14.59,12.563,25.871,12.872,14.61,15.192,23.079,19.63,26.878,22.568,38.758,34.861,42.87,39.763,41.994,36.42,45.355,37.344,45.646,34.562,43.659,36.183,42.694,47.956,38.552,35.918,37.787,28.903,27,28.364,36.818,28.14,26.465,29.19,41.443,48.378,49.02,53.175,78.799,63.752,56.877,54.775,97.274,66.201,57.637,66.127,67.096,59.946,58.278,55.464,72.793,50.982,51.322,55.438,64.163,51.83,53.578,59.871,521.396,526.342,49.734,63.089,187.393,37.486,33.271,45.805,88.313,37.181,33.242,69.766,382.994,286.786,81.466,143.3,193.181,131.282,134.26,108.236,130.838,116.61,124.467,124.56,145.551,94.773,66.562,103.516,80.438,67.968,68.197,71.737,96.933,76.535,79.501,81.739,89.783,130.799,130.254,76.418,102.457,98.364,115.225,95.318,56.171,34.096,50.844,71.37,134.092,38.573,109.998,100.781,220.028,83.868,86.265,83.519,97.499,63.086,90.23,79.231,117.417,88.327,66.005,81.565,118.6,236.2,205.375,132.314,157.1,97.1,143,456.4,116,92.3,122.7,606.1,88.5,67.6,139.7,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.84,58.425,33.466,42.367,43.088,42.422,42.729,20.109,24.3,21.659,27.809,21.598,24.574,24.84,26.384,21.713,24.762,27.3,31.854,22.549,28.184,27.309,34.673,28.64,58.483,75.663,56.017,34.284,34.096,50.844,71.37,31.726,38.573,109.998,100.781,60.78,75.495,80.209,78.476,64.633,62.816,89.739,78.54,76.396,88.095,65.571,80.935,74.3,,94.524,131.567,95.1,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,0,,,0.1,3.9,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.755,6.803,17.382,3.643,7.656,0.531,57.531,0.109,0.109,0.081,15.808,0,0,0,19.441,0,0,0,16.252,63.024,62.087,0,18.907,0,0,0,21.887,0,0,0,102.366,0,0,0,159.248,8.373,6.056,5.043,32.866,0.27,0.491,0.691,41.021,0.232,0.434,0.63,44.3,236.2,110.851,0.747,62,97.1,143,165.3,116,92.3,122.7,110.9,84.6,67.6,139.7,
Total Current Assets,BS_CUR_ASSET_REPORT,286.144,310.441,327.204,295.312,271.293,313.073,313.398,285.147,299.411,336.634,348.531,304.829,299.941,358.603,361.575,302.613,299.944,373.833,367.107,336.798,350.023,393.758,401.04,362.121,377.305,405.216,412.871,394.045,380.78,429.368,469.103,487.132,474.139,509.648,558.596,576.381,597.228,674.22,703.538,624.724,605.332,694.376,732.851,694.504,685.912,768.348,794.385,729.952,703.91,757.2627,771.769,789.688,812.849,893.082,1037.484,1050.2419,1072.361,929.352,1069.7419,1417.959,1410.444,1202.206,1231.825,1164.722,921.251,947.371,831.337,731.194,765.573,814.866,821.39,1157.229,1159.92,1139.479,1125.545,893.89,882.141,927.055,885.491,732.889,755.672,867.303,932.144,773.751,765.25,892.353,1003.711,863.1,918.649,951.235,1049.255,984.972,927.362,911.649,1100.961,951.496,1053.742,1101.984,954.618,920.469,1194.665,1022.2,1143.69,1084.591,1007.503,1023.407,1076.759,1137.182,1157.762,2184.812,1746.972,1180.101,1011.199,1183.202,1175.912,1079.145,1083.851,1255.015,1324.242,1379.326,1276.78,2030.11,2265.333,2277.2,1993,2200.425,1718.416,1696.6,1662.6,1899.5,2333.4,1902,1792.5,2043.7,2701.2,2524.9,1907.6,1976.5,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,620.24,636.369,720.676,720.691,715.081,703.932,700.337,675.44,659.708,662.907,656.67,663.721,662.64,661.681,656.599,657.785,658.633,660.063,717.019,701.757,698.817,710.862,706.022,698.033,710.717,742.66,754.409,764.49,777.214,801.476,793.401,808.419,827.307,842.313,850.531,895.785,1424.8101,1431.698,1444.72,1639.715,1692.4709,1738.0601,1725.248,1848.634,1998.899,2010.141,2028.786,2000.03,2007.274,2012.1025,2007.421,1976.053,2002.7321,1972.126,1933.347,1892.6479,1886.943,1888.234,1870.8571,1536.493,1568.866,1575.885,1590.826,1603.967,1665.053,1715.252,1765.916,1869.114,1956.12,2005.623,2052.77,3620.094,3688.82,3721.884,3720.085,4155.812,4089.668,4028.248,3965.26,3874.671,3793.041,3717.015,3668.965,3632.914,3592.83,3542.745,3443.468,3418.179,3349.694,3278.511,3212.952,3159.185,3161.236,3210.643,3214.46,3312.017,2893.29,2901.762,3068.57,3071.63,3084.093,3115.524,3119.627,3156.29,3197.827,3217.371,3228.293,3261.438,3451.821,3538.808,3537.701,3918.931,4025.865,4106.414,4188.723,4237.307,4701.719,4709.578,4698.178,4724.227,4822.018,4809.628,4775.026,4849.1,4784.9,4829.998,6203.83,6238.2,6405.3,6435.8,6559.5,6623.9,6614.4,6664.2,6633.5,6729.4,6721.7,6927.6,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,1366.17,1399.48,1506.598,1524.793,1541.5291,1552.74,1571.55,1553.708,1559.431,1583.344,1599.731,1624.433,1644.077,1664.375,1679.297,1698.005,1718.802,1740.1,1816.947,1808.8879,1820.6801,1852.887,1870.756,1859.436,1894.385,1946.863,1973.79,2002.1639,2038.808,2082.0439,2086.2451,2120.2,2162.6311,2181.99,2208.675,2280.7561,3158.4929,3191.6079,3233.697,3149.897,3233.6499,3319.167,3334.9529,3496.2041,3808.3091,3869.0549,3927.085,3943.9541,4005.583,4056.2578,4095.6069,4098.543,4195.2402,4175.6318,4149.6841,4115.646,4155.1011,4201.564,4227.2051,3264.193,3330.134,3373.095,3429.186,3481.708,3582.868,3668.316,3758.48,3897.618,4026.96,4119.748,4203.952,5805.789,5956.433,6047.065,6121.159,6635.873,6649.867,6672.394,6678.317,6653.261,6627.203,6632.58,6656.252,6692.814,6729.22,6739.908,6665.937,6705.546,6698.952,6697.685,6690.448,6666.617,6668.63,6730.505,6792.47,6933.602,6340.034,6396.658,6608.342,6608.842,6671.537,6752.916,6803.588,6891.287,6984.417,7052.051,7105.036,7185.818,7432.388,7531.536,7539.928,7969.312,8116.439,8241.164,8386.315,8457.619,8994.519,9049.172,9093.717,9190.874,9369.5,9393.993,9442.001,9584.6,9598.9,9625.449,11091.625,11215.5,11492.2,11611.1,11797.4,11971.8,12083.1,12231,12245.3,12471.6,12591.1,12887.7,
