CSX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,97,-109,23,,,,22,-16,121,-177,0,0,0,30,0,-161,-85,55,-90,-13,165,-154,-129,-35,-454,-238,-34
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,30,,-161,-85,,-90,-128,-18,-154,-151,-35,-454,-238,-34
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,-142,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,552,-88,8,647,1006,974,1358,1224,808,104,277,448,723,195,637,1036,1841,1932,2349,1746,2546,2940,2964,2922,3044,3138,2741,3142,4304,4316,3627,4951,5414,4891
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,172,-37,-27,274,354,356,461,384,236,72,91,155,256,58,219,316,531,706,854,618,983,1086,1105,1058,1117,1170,1027,-2329,995,985,862,1170,1248,1176
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,380,-51,35,373,652,618,897,840,572,32,186,293,467,137,418,720,1310,1226,1495,1128,1563,1854,1859,1864,1927,1968,1714,5471,3309,3331,2765,3781,4166,3715
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,-51,196,0,0,0,0,0,0,0,30,-379,0,43,-109,79,-425,0,-110,130,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,431,-247,35,373,652,618,897,840,572,2,565,293,424,246,339,1145,1310,1336,1365,1143,1563,1854,1859,1864,1927,1968,1714,5471,3309,3331,2765,3781,4166,3715
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,15,25,15,14,0,0,42,41,35,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
"Net Income, GAAP",NET_INCOME,416,-272,20,359,652,618,855,799,537,2,565,293,424,246,339,1145,1310,1336,1365,1143,1563,1854,1859,1864,1927,1968,1714,5471,3309,3331,2765,3781,4166,3715
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,1,1,1,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,407,-272,20,359,652,618,855,799,537,2,565,293,424,246,339,1145,1310,1336,1365,1143,1563,1855,1859,1863,1926,1967,1713,5470,3308,3331,2765,3781,4166,3715
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,407,-272,20,359,652,618,855,799,537,2,565,293,424,246,339,1145,1310,1336,1365,1143,1563,1855,1859,1863,1926,1967,1713,5470,3308,3331,2765,3781,4166,3715
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,23,,,,22,,,,-18,,0,35.5,0,-104.65,-55.25,35.75,-58.5,-8.45,-3422.7,-107.66,-132.91,-27.65,-402.66,-258.02,-45.86
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,-51,196,0,0,0,0,0,0,0,30,-379,0,43,-109,79,-425,0,-110,130,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,3537.072,3617.6039,3704.6519,3740.94,3767.472,3784.8601,3845.3939,3779.5861,3795.48,3791.088,3796.956,3810.024,3829.122,3851.352,3866.328,3895.65,3960.756,3872.43,3606.66,3529.143,3429,3249,3114,3057,3003,2949,2841,2733,2571,2389,6900,2250,2136,2008
"Basic EPS, GAAP",IS_EPS,0.1153,-0.075,0.0053,0.0961,0.1731,0.1633,0.2222,0.2039,0.1417,0.0006,0.1489,0.0772,0.1111,0.0633,0.0878,0.2939,0.3311,0.3456,0.3789,0.3244,0.4567,0.57,0.5967,0.61,0.6433,0.6667,0.6033,2.0033,1.2867,1.39,0.4,1.68,1.95,1.85
