CAT US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,8301,8298,7668,8860,8763,9027,8991,8522,8757,8650,9336,9463,8898,9013,9510
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,2105,1921,1675,1525,1835,1921,2222,2603,2842,2594,2692,2925,2763,3047,4675,5224,6351,7204,8781,6360,9587,14544,15547,12625,12205,9700,8614,10018,11529,11266,11402,14038,16270,16565
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,1033,1041,969,766,1028,806,1289,1592,1689,2182,2474,2678,1979,2766,3872,3573,2966,2986,2467,2102,2802,3382,4263,4021,5528,6370,6492
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,1099,,,,256,239,316,377,664,814,977,1215,1508,656,1483,2845,2920,2589,2455,1857,1719,2254,2674,1147,1052,1318,1452,1411
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,1123,1364,1605,1430,1485,1658,1454,1381,2209,2493,2915,3230,4316,3465,5098,7570,8767,6785,6504,5122,4576,4761,5241,5598,6054,6907,8138,8308
    + Other Inventory,BS_OTHER_INV,,,,,,,,206,196,195,185,0,187,0,210,228,277,285,279,260,240,257,287,285,260,254,217,201,232,258,275,285,310,354
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,721,1536,1553,1826,2184,2557,852,928,1081,1229,1416,1634,1970,2131,1767,2490,1371,1399,1988,2474,2311,2931,2833,2664,2685,1680,1744,1832,1853,1823,2080,3038,2642,4586
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,396,472,357,298,211,128,18,62,60,88,84,150,250,,520
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,862,908,994,988,900,818,1662,1682,1772,1765,1739,1930,2788,2642,4066
Total Current Assets,BS_CUR_ASSET_REPORT,5901,5570,5537,6071,7409,7647,8783,9814,11459,11810,12521,13400,14628,16791,19532,22790,23663,25477,31633,27217,31810,38128,42138,38335,38867,33508,31967,36244,38603,39193,39464,43455,43785,46949
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,3986,4049,3954,3827,3776,3644,3767,4058,4866,5201,5588,6603,7046,7290,7682,7988,8851,9997,12524,12386,12539,14395,16461,17075,16577,16090,15322,14155,13574,13528,13004,12715,12592,13236
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,7585,7790,7842,7965,8230,8303,8817,9403,10395,10929,11438,12790,13541,14329,15164,15862,17278,19208,23487,24221,24906,27326,29932,31316,31572,31977,31940,31538,29781,29841,29874,29496,28628,29179
    - Accumulated Depreciation,BS_ACCUM_DEPR,3599,3741,3888,4138,4454,4659,5050,5345,5529,5728,5850,6187,6495,7039,7482,7874,8427,9211,10963,11835,12367,12931,13471,14241,14995,15887,16618,17383,16207,16313,16870,16781,16036,15943
  + LT Investments & Receivables,BS_LT_INVEST,1287,1605,1907,2284,2794,3192,3508,4015,5143,5683,6171,6322,6780,7904,10667,11338,12391,14147,15743,13250,12057,13078,15345,16323,16008,14821,14585,14532,14447,13844,13407,13911,13278,13902
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,13250,12057,13078,15345,16323,16008,14821,14585,14532,14447,13844,13407,13911,13278,13902
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,777,818,2537,2625,2271,2347,2670,2869,3660,4017,4184,4332,4397,4480,5214,4953,6544,6511,7882,7185,7614,15845,15026,13163,13229,13923,12830,12031,11885,11888,12449,12712,12288,13389
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,228,1241,1543,1507,1671,1683,1637,1765,1875,2291,2438,2772,2734,3419,11448,10958,10552,9770,9436,8369,8311,8114,7761,7702,7366,6046,5872
    + Goodwill,BS_GOODWILL,,,,,,,,,,,1446,1397,1402,1398,1450,1451,1904,1963,2261,2269,2614,7080,6942,6956,6694,6615,6020,6200,6217,6196,6394,6324,5288,5308
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,61,274,281,239,315,424,387,475,511,465,805,4368,4016,3596,3076,2821,2349,2111,1897,1565,1308,1042,758,564
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,2714,2493,2157,2011,594,1404,2489,2790,1693,1439,1411,1523,1840,2213,2816
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,87,33,14,43,32,131,124,,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,751,773,553,551,787,747,800,517,565,562,598,94,105,164,133,272,272,257,246,249,243,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,777,818,2537,2625,2271,2347,2670,1890,1646,1921,2126,1874,1967,2043,2932,2513,3691,3475,5016,1632,1538,2107,1785,1745,1798,1665,1389,1770,2289,2684,3093,3382,4029,4701
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,6050,6472,8398,8736,8841,9183,9945,10942,13669,14901,15943,17257,18223,19674,23563,24279,27786,30655,36149,32821,32210,43318,46832,46561,45814,44834,42737,40718,39906,39260,38860,39338,38158,40527
Total Assets,BS_TOT_ASSET,11951,12042,13935,14807,16250,16830,18728,20756,25128,26711,28464,30657,32851,36465,43095,47069,51449,56132,67782,60038,64020,81446,88970,84896,84681,78342,74704,76962,78509,78453,78324,82793,81943,87476
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,210,-404,-2435,652,955,1136,1361,1665,1513,946,1053,805,798,1099,2035,2854,3537,3541,3557,895,2700,4928,5681,3789,2452,2512,-67,754,6147,6093,2998,6489,6705,10335
Cash from Operating Activities,CF_CASH_FROM_OPER,820,641,503,1405,1757,2190,1782,2096,1778,2590,2059,1987,-3962,-5611,-3751,3113,5799,7935,4797,6499,5009,7010,5184,10191,8057,6699,5639,5706,6558,6912,6327,7198,7766,12885
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-899,-598,-458,-327,-413,-345,-371,-968,-1128,-1065,-1125,-1612,-1212,-1004,-1628,-1778,-2103,-2632,-3029,-1230,-1117,-2570,-3959,-3602,-2475,-2501,-2029,266,-1980,-1516,-1343,-1207,-1769,-2311
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,27,55,57,90,88,119,135,138,141,215,263,356,561,761,486,637,572,408,982,1242,1469,1354,1117,844,904,760,899,1164,936,1153,772,1265,830,781
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-926,-653,-515,-417,-501,-464,-506,-1106,-1269,-1280,-1388,-1968,-1773,-1765,-2114,-2415,-2675,-3040,-4011,-2472,-2586,-3924,-5076,-4446,-3379,-3261,-2928,-898,-2916,-2669,-2115,-2472,-2599,-3092
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,0,-270,-403,-815,-843,-820,-970,-1206,-2197,-1526,-1197,-838,5166,6173,-2014,-2377,-1361,-2095,-3365,2281,505,-920,-2883,-1635,-1260,-546,157,192,-805,-359,303,-521,-5,-15161
    + Dec in LT Investment,CF_DECR_INVEST,0,999,1198,1389,2091,4049,4832,5438,6340,7000,13682,15446,11099,13041,6916,7957,9161,11851,10666,9388,9003,9081,9127,9787,10018,9383,9496,12145,11378,12418,12688,12481,13234,
    + Inc in LT Investment,CF_INCR_INVEST,0,-1269,-1601,-2204,-2934,-4869,-5802,-6644,-8537,-8526,-14879,-16284,-5933,-6868,-8930,-10334,-10522,-13946,-14031,-7107,-8498,-10001,-12010,-11422,-11278,-9929,-9339,-11953,-12183,-12777,-12385,-13002,-13239,-15161
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,-19,-1126,-7808,581,170,169,-222,-191,41,-376,-6,-86,-454,-87,-79
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,0,0,376,1199,365,199,178,0,100,16,41,25,36,1,-4
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-19,-1126,-8184,-618,-195,-30,-400,-191,-59,-392,-47,-111,-490,-88,-75
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,-557,-208,-62,-76,-256,-584,-1043,-367,-1255,-449,-431,-477,-334,-285,5719,630,-332,319,98,-186,143,-129,71,21,-61,-248,283,-1465,-51,-47,-359,-902,-680,11680
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-1456,-1076,-923,-1218,-1512,-1749,-2384,-2541,-4580,-3040,-2753,-2927,3620,4884,2077,-3525,-3796,-4408,-6296,846,-1595,-11427,-6190,-5046,-3627,-3517,-1780,-966,-3212,-1928,-1485,-3084,-2541,-5871
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-122,-121,-60,-61,-91,-239,-289,-338,-400,-445,-462,-474,-481,-491,-534,-618,-726,-845,-953,-1029,-1084,-1159,-1617,-1111,-1620,-1757,-1799,-1831,-1951,-2132,-2243,-2332,-2440,-2563
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,775,532,489,-169,411,447,1015,1305,3825,1355,1413,1529,696,1484,2630,2973,758,-146,5565,-4280,-3846,4824,5434,-1611,2444,-138,-1313,-2383,1840,1406,-610,681,-652,594
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,-30,0,1,36,-228,-416,-293,-695,-561,-249,-408,-37,10,-248,-222,-1202,-2625,-1922,-1609,110,449,312,244,-1776,-3817,-1992,-23,566,-3485,-3809,-901,-2533,-4179,-4963
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,2,0,1,36,12,11,10,11,6,11,4,6,10,157,317,482,583,483,191,110,449,312,244,224,421,33,0,566,313,238,229,135,51,12
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-32,0,0,0,-240,-427,-303,-706,-567,-260,-412,-43,0,-405,-539,-1684,-3208,-2405,-1800,0,0,0,0,-2000,-4238,-2025,-23,0,-3798,-4047,-1130,-2668,-4230,-4975
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,-25,18,5,-29,-1,-14,18,-22,6,-23,-63,-12,26,15,143,-78,12,-22,110,-16,-132,-11,-455,-13,-3,-7,-8,-9,-54,-3,-1,-4,-10,0
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,598,429,435,-223,91,-222,451,250,2870,638,480,1006,251,760,2017,1075,-2581,-2935,3113,-5215,-4613,3966,3606,-4511,-2996,-3894,-3143,-3657,-3650,-4538,-3755,-4188,-7281,-6932
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,1,-76,-84,-167,-43,-174,-169,-28,38,-126,-44,-13,-29,-194,-110
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,-38,-6,15,-36,336,219,-151,-195,68,188,-214,66,-91,33,343,663,-578,592,1614,2131,-1275,-535,2433,591,1260,-881,688,1121,-430,402,1074,-103,-2250,-28
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,709,714,306,359,379,124,55,326,731,1465,821,1318,-136,264,1369,2396,1544,1595,1143,522,1404,1429,1847,1311,1759,3076,2949
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,59,1428,302,115,405,294,36,290,13,513,229,117,19,1126,8184,618,195,30,400,191,59,392,47,111,490,88,75
Free Cash Flow,CF_FREE_CASH_FLOW,-106,-12,-12,988,1256,1726,1276,990,509,1310,671,19,-5735,-7376,-5865,698,3124,4895,786,4027,2423,3086,108,5745,4678,3438,2711,4808,3642,4243,4212,4726,5167,9793
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,82.125,,,1240.4315,1401.9129,1858.5449,1409.7558,1138.1654,692.3939,1491.6374,875.984,214.7551,-5534.4216,-7195.4028,-5695.7845,884.7237,3318.8044,5096.6523,1001.6226,,2677.4603,3380.7182,431.6566,6090.3949,5055.7411,3809.9573,2518.446,4904.6519,3958.2997,4569.9055,4596.5672,5110.3803,5505.3747,10195.1041
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,696,575,534,909,1755,2292,2426,,,,,,,,-2749,4308,4454,5157,7333,989,46,9264,6659,4978,8026,4060,2297,3589,6418,6802,4374,6672,5345,11168
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,-0.1309,-0.0149,-0.0149,1.2188,1.5468,2.1749,1.6573,1.32,0.7007,1.843,0.9674,0.0277,-8.3362,-10.6829,-8.5683,1.0289,4.7427,7.67,1.2875,6.5458,3.8369,4.7845,0.1655,8.9042,7.5794,5.785,4.6397,8.1244,6.1583,7.5552,7.7412,8.6875,9.8064,19.1794
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,9.1278,8.9095,6.7532,11.3512,18.3712,32.8226,12.7677,24.4543,944.141,821.6285,,,56.1478,12.9315,9.4602,34.696,8.7063,24.4104,18.9362,541.4677,10.1985,12.0762,11.7477,19.9882,19.396,20.634,19.5468,23.5131,23.7974,24.4289,15.416
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,3.9048,,,2.1549,1.8398,1.9278,1.3093,1.2589,1.1751,2.7378,1.9554,2.4683,-4.9649,-5.1056,-1.8432,1.0907,1.6395,2.2409,1.3486,7.2615,1.8552,1.4225,0.9125,2.6896,3.2859,2.6668,,7.5676,1.0669,1.1344,2.1104,1.1093,1.1582,1.2467
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,11436,10182,10194,11615,14328,16072,16522,18925,20977,19702,20175,20450,20152,22763,30306,36339,41517,44958,51324,32396,42588,60138,65875,55656,55184,47011,38537,45462,54722,53800,41748,50971,59427,67060
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,29540,39867,57392,63068,52694,52142,44147,35773,42676,51822,50755,39022,48188,56574,63869
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,9366,8626,8617,9247,11044,12293,12148,13735,15520,15041,15185,15409,15667,17415,23021,27326,30572,33758,39568,24931,31281,44404,47852,41454,41342,34133,28640,31906,37719,37384,29671,35968,41915,43797
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,23886,30367,43578,47055,40727,40718,33546,28044,31260,36997,36630,29082,35513,41350,42767
Gross Profit,GROSS_PROFIT,2070,1556,1577,2368,3284,3779,4374,5190,5457,4661,4990,5041,4485,5348,7285,9013,10945,11200,11756,7465,11307,15734,18023,14202,13842,12878,9897,13556,17003,16416,12077,15003,17512,23263
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,1676,1649,1666,1742,1850,2098,2403,2760,3204,3167,3253,3730,3161,3660,4601,5229,6024,6279,7308,6888,7344,8581,9450,8574,10528,9093,8735,9096,8710,8126,7524,8125,9608,10297
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,2232,2561,2541,2604,2567,2531,,2926,3190,3706,3821,4399,3645,4248,5203,5919,5547,6529,4951,4383,4999,5478,5162,4642,5365,5651,6371
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,1421,1905,2297,2466,2046,2380,2119,1853,1842,1850,1693,1415,1686,1814,2108
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,1822,1191,1081,1065,981,1619,2023,2499,2255,1382,1271,1467,1074,2143,1818
Operating Income (Loss),IS_OPER_INC,394,-93,-89,626,1434,1681,1971,2430,2253,1494,1737,1311,1324,1688,2684,3784,4921,4921,4448,577,3963,7153,8573,5628,3314,3785,1162,4460,8293,8290,4553,6878,7904,12966
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,8,213,428,337,500,162,346,1023,378,471,478,558,-1326,-848,-84
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,269,,,,246,,,274,288,274,291,257,311,385,381,418,442,431,409,209,219,402,408,276,17
    + Interest Expense,IS_INT_EXPENSE,258,294,324,268,200,191,194,219,264,269,292,285,279,246,230,260,274,288,274,389,343,396,467,465,484,507,505,531,404,421,514,488,443,511
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,0,0,0,98,86,85,82,84,66,65,74,122,195,202,112,80,167,494
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,-48,-4,20,28,-3,4,,-59,-73,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,-467,-99,138,-164,-135,-119,-269,535,-244,463,192,349,-1844,-1020,-5
"Pretax Income (Loss), Adjusted",PRETAX_INC,288,-556,-332,723,1309,1637,1974,2461,2178,1401,1500,1172,1110,1497,2766,3974,4861,4953,4473,569,3750,6725,8236,5128,3152,3439,139,4082,7822,7812,3995,8204,8752,13050
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,0,0,0,153,0,55,0,0,0,0,0,807,56,764,231,34,3119,1122,2514,1474.02,881,704,737,-743,618,683
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,89,20,119,-72,-18,,,,,,,,,-606,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,52,37,,,,,65,38,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,-18,-141,43,4,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,-203,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,-82.98,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,12,3,5,-279,1,2620,179,985,301,495,468,383,-833,,-97
"Pretax Income (Loss), GAAP",PRETAX_INC,288,-556,-332,723,1309,1637,1974,2461,2178,1401,1500,1172,1110,1497,2766,3974,4861,4953,4473,569,3750,6725,8236,5128,3152,3439,139,4082,7822,7812,3995,8204,8752,13050
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,78,-152,-114,42,354,501,613,796,665,455,447,367,312,398,731,1120,1405,1485,953,-270,968,1720,2528,1319,692,916,192,3339,1698,1746,1006,1742,2067,2781
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,210,-404,-218,681,955,1136,1361,1665,1513,946,1053,805,798,1099,2035,2854,3537,3541,3557,827,2758,4981,5722,3803,2468,2523,-59,759,6148,6094,3003,6493,6704,10332
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,2217,29,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,210,-404,-2435,652,955,1136,1361,1665,1513,946,1053,805,798,1099,2035,2854,3537,3541,3557,827,2758,4981,5722,3803,2468,2523,-59,759,6148,6094,3003,6493,6704,10332
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,-68,58,53,41,14,16,11,8,5,1,1,5,4,-1,-3
"Net Income, GAAP",NET_INCOME,210,-404,-2435,652,955,1136,1361,1665,1513,946,1053,805,798,1099,2035,2854,3537,3541,3557,895,2700,4928,5681,3789,2452,2512,-67,754,6147,6093,2998,6489,6705,10335
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
