EQIX US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.534,65.392,27.608,51.991
  + Inventories,BS_INVENTORIES,,,,,,,,,,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,25.841,8.588,13.127,3.139,4.726,3.103,8.003,12.738,51.163,68.556,71.657,182.156,57.206,72.118,88.061,725.603,319.396,232.027,274.857,303.543,309.482,673.542,515.846,416.202
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,21.349,26.578,29.501,48.322,79.258,64.832,70.433,55.954,61.424,65.224,79.191,99.79
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,17.732,60.165,54.072,4.175,62.17,25.426,8.906,117.432,105.693,43.995
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,8.829,21.584,17.071,33.979,102.002,110.961,98.245,122.823,125.614,128.123,122.166,167.14
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,21.734,32.961,182.156,27.028,23.956,17.178,549.88,84.064,52.059,44.009,99.34,113.538,86.568,124.48,105.277
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,237.976,103.218,63.495,86.288,107.082,191.712,166.261,426.761,379.511,727.887,778.048,1235.757,639.751,888.66,1490.943,3259.28,1467.526,2249.128,1515.682,2872.616,2609.155,2957.101,3305.255,3567.697
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,410.274,428.917,390.048,343.554,343.361,438.79,546.395,1162.72,1492.83,1808.115,2650.953,3225.912,3918.999,4591.65,4998.27,5606.436,7199.21,9394.602,11026.02,13627.964,15978.141,16728.193,18077.484,20049.723
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,425.689,485.518,499.874,509.008,563.769,718.817,895.871,1614.379,2095.936,2586.332,3666.491,4553.668,5550.277,6614.13,7388.605,8395.616,10650.897,13738.839,15996.65,19562.614,23154.41,24985.282,27410.441,30650.649
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,15.415,56.601,109.826,165.454,220.408,280.027,349.476,451.659,603.106,778.217,1015.538,1327.756,1631.278,2022.48,2390.335,2789.18,3451.687,4344.237,4970.63,5934.65,7176.269,8257.089,9332.957,10600.926
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,0,,0,0,17.655,17.483,25.087,29.966,45.626,9.803,2.806,161.801,127.819,398.39,0.439,4.584,10.042,9.243,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,9.803,2.806,161.801,127.819,398.39,0.439,4.584,10.042,9.243,0,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,35.235,42.919,38.46,34.69,33.7,33.012,34.089,562.421,516.769,492.345,1016.202,1161.854,1446.395,1613.659,1292.326,1486.395,3931.593,7038.484,7702.936,7465.035,8419.545,8233.404,8928.003,9033.304
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,24.981,21.228,22.253,21.829,17.441,510.133,393.747,432.065,925.31,1015.13,1244.126,1226.335,1149.656,1287.765,3705.295,6796.734,7169.684,6884.247,7643.498,7307.338,7551.866,7441.992
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,21.228,22.018,21.654,16.919,442.926,342.829,381.05,774.365,866.495,1042.564,1042.153,1002.129,1063.2,2986.064,4411.762,4836.388,4781.858,5472.553,5372.071,5654.217,5737.122
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,0,0.235,0.175,0.522,67.207,50.918,51.015,150.945,148.635,201.562,184.182,147.527,224.565,719.231,2384.972,2333.296,2102.389,2170.945,1935.267,1897.649,1704.87
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,34.478,61.039,37.006,54.372,80.888,89.784,125.158,61.69,82.443,87.758,150.617,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,5.171,16.955,,,229.975,45.134,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,4.118,5.007,8.735,15.907,2.379,38.606,24.853,2.793,59.917,298.899,213.024
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,35.235,42.919,13.479,13.462,11.447,11.183,16.648,52.288,123.022,55.109,73.937,146.724,167.791,92.192,55.523,57.041,36.524,52.764,279.601,393.911,581.035,669.591,817.113,1270.294
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,445.509,471.836,428.508,378.244,394.716,489.285,605.571,1755.107,2055.225,2310.263,3669.961,4549.567,5493.213,6603.699,6291.035,7097.415,11140.845,16442.329,18728.956,21092.999,24397.686,24961.597,27005.487,29083.027
Total Assets,BS_TOT_ASSET,,,,,,,,,,,683.485,575.054,492.003,464.532,501.798,680.997,771.832,2181.868,2434.736,3038.15,4448.009,5785.324,6132.964,7492.359,7781.978,10356.695,12608.371,18691.457,20244.638,23965.615,27006.841,27918.698,30310.742,32650.724
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,-119.79,-188.415,-21.618,-84.171,-68.631,-42.612,-6.397,-5.188,131.538,69.431,36.881,94.004,144.666,94.685,-259.547,187.774,126.8,232.982,365.359,507.45,369.777,500.191,704.345,969.178
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,-68.073,-68.854,-27.509,-17.266,36.912,67.595,75.412,120.02,267.558,355.492,392.872,587.609,632.026,604.608,689.42,894.823,1019.353,1439.233,1815.426,1992.728,2309.826,2547.206,2963.182,3216.595
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,-296.32,-57.791,-6.508,-7.75,-22.934,-120.923,-154.729,-415.934,-447.032,-369.542,-579.397,-685.675,-1014.412,-696.83,-676.994,-906.402,-289.901,-1426.041,-2266.438,-1889.901,-2148.289,-2744.764,-2276.374,-3088.483
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,0,0,0,0,0,0.125,0.008,0.877,0,0,0,0,0,0,0,0,851.582,47.767,12.154,358.773,334.397,208.585,249.906,76.936
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,-296.32,-57.791,-6.508,-7.75,-22.934,-121.048,-154.737,-416.811,-447.032,-369.542,-579.397,-685.675,-1014.412,-696.83,-676.994,-906.402,-1141.483,-1473.808,-2278.592,-2248.674,-2482.686,-2953.349,-2526.28,-3165.419
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,-28.176,-113.289,-41.954,-84.236,0.755,0,-245.503,-1766.606,-3963.28,-829.687,-34.143,-1180.272,-158.498,-964.01,0
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.755,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-28.176,-113.289,-41.954,-84.236,0,0,-245.503,-1766.606,-3963.28,-829.687,-34.143,-1180.272,-158.498,-964.01,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,-5.838,-95.223,-1.02,-7.87,-33.931,12.201,-3.741,-638.791,-31.008,-160.46,91.717,-771.815,579.317,-473.238,241.155,514.108,10.839,-11.505,20.597,-20.523,-98.411,-103.476,-122.569,-135.881
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,0,0,76.458,,0,0,,,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,-302.158,-153.014,-7.528,-15.62,-56.865,-108.722,-158.47,-1054.725,-478.04,-558.178,-600.969,-1499.444,-442.873,-1169.313,-435.839,-637.797,-2045.668,-5400.826,-3075.528,-1944.567,-3426.972,-3006.738,-3362.953,-3224.364
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.266,-521.461,-499.463,-621.497,-738.6,-836.164,-947.933,-1042.909,-1151.459,-1374.168
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,-3.071,107.445,-10.899,-53.303,17.862,84.477,-32.61,791.036,119.245,346.827,297.441,812.081,-328.905,685.405,807.81,1553.175,-408.969,2814.309,803.253,391.904,-126.098,1005.463,1148.395,747.047
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,348.885,1.9,0.537,106.564,7.289,12.989,39.528,376.264,26.23,37.006,39.817,-47.773,115.404,10.423,-249.056,859.536,34.179,2523.117,438.308,1712.994,2043.493,575.498,877.561,820.499
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,348.913,1.918,0.537,106.564,7.289,12.989,39.528,376.264,26.23,37.006,39.817,38.893,128.768,59.222,48.902,859.536,34.179,2523.117,438.308,1712.994,2043.493,575.498,877.561,820.499
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,-0.028,-0.018,0,0,0,0,0,0,0,0,0,-86.666,-13.364,-48.799,-297.958,0,0,0,0,0,0,0,0,0
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,-3.975,-3.419,27.784,-1.163,-6.129,36.99,39.436,-24.525,-5.419,-60.235,-27.572,-15.58,-9.22,-120.921,-368.087,-18.098,-22.812,-108.069,-32.049,-66.652,-153.936,-124.287,-17.731,18.068
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,341.839,105.926,17.422,52.098,19.022,134.456,46.354,1142.775,140.056,323.598,309.686,748.728,-222.721,574.907,107.401,1873.152,-897.065,4607.86,470.912,1202.082,815.526,413.765,856.766,211.446
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,4.937,-4.804,-0.911,6.958,-0.521,-11.959,-39.784,-21.8,31.187,-33.907,8.766,40.702,-30.474,-98.201,-15.616
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,-28.392,-115.942,-17.615,19.212,-0.931,93.329,-36.704,208.07,-70.426,125.849,96.785,-164.018,-26.61,9.681,349.023,2090.394,-1945.18,677.454,-823.097,1259.009,-260.918,-76.241,358.794,188.061
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,0,0.018,0.039,0.02,0,0,0.545,0.242,0.098,9.29,11.043,9.157,36.711,123.69,117.197,132.302,39.32,72.641,93.375,136.583,143.934,134.411,140.312,152.988
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,0,,0,0,0,0,9.766,662.322,23.241,28.176,113.289,41.954,84.236,,0,245.503,1766.606,3963.28,829.687,34.143,1180.272,158.498,964.01,0
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,-364.393,-126.645,-34.017,-25.016,13.978,-53.453,-79.325,-296.791,-179.474,-14.05,-186.525,-98.066,-382.386,-92.222,12.426,-11.579,-122.13,-34.575,-463.166,-255.946,-172.86,-406.143,436.902,51.176
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,33.2223,-82.6586,30.1437,-245.0513,120.7709,-820.0738,254.5598,158.5285,354.252,-23.1757,95.3655,118.5294,-130.342,739.6223,397.681
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,-78.319,31.84,31.147,-111.927,495.122,-60.229,332.777,110.916,714.015,-711.291,593.183,820.236,1541.596,320.483,2827.501,352.241,494.731,35.439,807.905,1835.203,875.159
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,-10.5741,-1.6096,-11.3769,-2.6047,0.7889,-2.2313,-2.7784,-9.2355,-4.8805,-0.365,-4.2642,-2.0885,-7.9657,-1.8654,0.2373,-0.2004,-1.7418,-0.4499,-5.8056,-3.0419,-1.971,-4.5242,4.7713,0.5467
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,54.1787,51.6688,,,,,,,,,955.3642,1275.4342,,,,,,,137.2858,1473.2801
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,,,,2.0334,5.1201,10.6524,6.2509,4.3689,6.3855,,4.7654,8.0391,6.1774,4.9689,3.9269,6.2465,5.0925,4.207,3.3189
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,13.016,63.414,77.188,117.942,163.671,221.057,286.915,419.442,704.68,882.509,1220.334,1606.842,1895.744,2152.766,2443.776,2725.867,3611.989,4368.428,5071.654,5562.14,5998.545,6635.537,7263.105,8188.136
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,882.509,1220.334,1606.842,1895.744,2152.766,2443.776,2725.867,3611.989,4368.428,5071.654,5562.14,5998.545,6635.537,7263.105,8188.136
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,43.401,94.889,104.073,128.121,136.95,158.354,188.379,263.745,414.659,483.42,674.667,867.641,943.995,1064.403,1197.885,1291.506,1820.87,2193.149,2605.475,2810.184,3074.34,3472.422,3751.501,4227.658
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,483.42,674.667,867.641,943.995,1064.403,1197.885,1291.506,1820.87,2193.149,2605.475,2810.184,3074.34,3472.422,3751.501,4227.658
Gross Profit,GROSS_PROFIT,,,,,,,,,,,-30.385,-31.475,-26.885,-10.179,26.721,62.703,98.536,155.697,290.021,399.089,545.667,739.201,951.749,1088.363,1245.891,1434.361,1791.119,2175.279,2466.179,2751.956,2924.205,3163.115,3511.604,3960.478
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,,76.724,75.221,45.906,53.776,51.098,65.662,96.622,146.513,213.477,218.01,350.956,432.038,550.996,627.431,736.625,867.019,1172.38,1366.265,1488.796,1582.325,1871.277,2054.953,2311.076,2517.204
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,47.597,75.221,45.906,53.776,,65.662,104.742,146.513,213.477,218.908,331.885,425.023,532.313,621.413,734.119,825.296,1133.303,1327.63,1460.396,1586.064,1809.337,2043.029,2285.261,2509.838
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,13.821,16.935,15.247,19.483,,20.552,32.619,40.719,66.913,63.584,111.104,159.091,202.914,246.623,296.103,332.012,438.742,581.724,633.702,651.046,718.356,741.232,786.56,855.796
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,155.324,220.781,265.932,329.399,374.79,438.016,493.284,694.561,745.906,826.694,935.018,1090.981,1301.797,1498.701,1654.042
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,-0.898,19.071,7.015,18.683,6.018,2.506,41.723,39.077,38.635,28.4,-3.739,61.94,11.924,25.815,7.366
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,,-107.109,-106.696,-72.791,-63.955,-24.377,-2.959,1.914,9.184,76.544,181.079,194.711,307.163,400.753,460.932,509.266,567.342,618.739,809.014,977.383,1169.631,1052.928,1108.162,1200.528,1443.274
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,72.051,144.831,176.202,204.274,348.653,424.533,356.344,458.88,522.182,544.345,477.034,536.703,499.21,371.159,319.044
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,12.681,33.154,34.1,20.216,10.205,5.296,8.248,11.928,47.587,71.848,138.96,179.023,196.862,245.405,267.662,295.474,388.68,465.623,507.012,451.987,397.812,333.438,320.069,307.795
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,29.111,43.81,35.098,20.512,11.496,8.88,14.875,27.334,55,74.232,140.475,181.303,200.328,248.792,270.553,299.055,392.156,478.698,521.494,479.684,406.466,336.082,356.337,402.022
    - Interest Income,IS_INT_INC,,,,,,,,,,,16.43,10.656,0.998,0.296,1.291,3.584,6.627,15.406,7.413,2.384,1.515,2.28,3.466,3.387,2.891,3.581,3.476,13.075,14.482,27.697,8.654,2.644,36.268,94.227
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,0.203,5.871,-2.821,7.412,103.248,156.871,60.87,70.2,56.559,37.333,25.047,138.891,165.772,51.09,11.249
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,,-119.79,-188.415,-21.618,-84.171,-68.478,-42.069,-6.334,-4.715,27.122,109.028,49.88,130.961,196.479,112.279,84.733,210.998,159.859,286.832,433.038,692.597,516.225,608.952,829.369,1124.23
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,48.565,-85.273,,33.896,42.09,-8.12,5.018,3.142,1.692,32.884,7.015,23.887,114.519,159.496,42.012,51.353,104.407,79.777,49.086,207.744,127.049,25.488,8.919
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.816,,-6.013,-44.31,-1.301,-10.845,3.976,-5.046
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,9.861,,,,7.698,,,15.79,7.306,,,1.518
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,2.59,3.626,,,,,,,,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,,-119.79,-188.415,-21.618,-84.171,-68.478,-42.069,-6.334,-4.715,27.122,109.028,49.88,130.961,196.479,112.279,84.733,210.998,159.859,286.832,433.038,692.597,516.225,608.952,829.369,1124.23
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,,0,,0,0,0.153,0.543,0.439,0.473,-104.457,39.597,12.999,38.351,61.783,16.156,345.459,23.224,45.451,53.85,67.679,185.352,146.151,109.224,124.792,155.25
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,,-119.79,-188.415,-21.618,-84.171,-68.631,-42.612,-6.773,-5.188,131.579,69.431,36.881,92.61,134.696,96.123,-260.726,187.774,114.408,232.982,365.359,507.245,370.074,499.728,704.577,968.98
