TM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918718,,1022718,960431,986311,1042173,1072947,1054208,1059824,1070562,1083326,,1191041,1181228,1306709,1386647,1443333,1549685,1620975,1642730,1702959,1820605,1803956,1932847,1917129,2014097,1825716,2065832,1961300,1858850,1459394,1483992,1460746,1416601,1422373,1412370,1379433,1373625,1304242,1383782,1429363,1465876,1622282,1625803,1566995,1623827,1715786,1863046,1885416,1889127,1894704,1972856,2062906,2133775,2137618,2201802,2195186,2104725,2061511,1958499,2058076,2212269,2388617,2456712,2491575,2542307,2539789,2536944,2583535,2555133,2656396,2802012,2584934,2454077,2533892,2449244,2709366,2619909,2888028,3098874,2924857,3466674,3821356,4022898,4266455,4034114,4255614,4671910,4749878,4294143,4605368,4787791,,,,,,,,,,,,,,,,,,,,,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200528,,,,,,,,284322,,,,,,,,,,,,331794,,,,338101,,,,370635,,,,419634,,,,472651,,,,476809,,,,501687,,,,472464,,,,526407,,,,551166,,,,585316,,,,603066,,,,788305,,,,1261303,,,,1407556,,,,1312066,,,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165597,,,,,,,,239450,,,,,,,,,,,,251670,,,,199267,,,,218335,,,,221036,,,,235476,,,,258133,,,,270113,,,,265570,,,,309387,,,,304929,,,,324921,,,,316756,,,,350308,,,,547810,,,,530915,,,,496471,,,,,,,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717201,,,,,,,,1097203,,,,,,,,,,,,875930,,,,885005,,,,715272,,,,981612,,,,1007659,,,,1159762,,,,1365818,,,,1323477,,,,1552823,,,,1683694,,,,1746159,,,,1614070,,,,1749415,,,,2012243,,,,2317143,,,,2796831,,,,,,,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3694776,,,5671782,5492973,5980410,6015934,,6228089,3824746,3680059,1488253,,1363831,,1434052,1366481,,1416434,1479154,1496887,1513063,1381633,1540572,1457653,1488889,1557435,1665433,1685086,1801172,,1613606,1725186,1736952,1763515,,1570596,1774797,1455120,1418944,,1503827,1639631,1312337,1439819,,1429539,1539961,1598318,1567959,1643612,1528697,1451113,1566760,,,1709125,1700647,1729730,1704254,,1908362,1825110,1847838,1910841,,2245129,2665095,3075538,2791153,,2752358,1433108,1181204,1436935,1233164,1334049,1322420,1496489,,1323126,1352318,1341862,1403757,,1374120,741925,658716,1432916,,1477295,895654,819958,1023270,,1545879,999142,903774,872665,,1672430,1189839,1133132,1333869,1105590,1254810,1179088,1081378,,1147985,1331820,,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610013,595631,813583,632543,812460,577284,551438,511284,741110,430468,586611,517454,641414,677970,648463,516378,506842,455203,546363,527034,578187,628214,661962,672014,600979,625475,687632,805393,1307807,1713842,1463054,1333345,1010077,756009,966220,796297,867313,889278,1018119,833788,924534,909624,937868,805964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,154179,90904,83190,74303,78280,56976,57771,0,86596,99713,106174,85691,,,,131040,,,,46340,,,,85490,,,,205746,,,,197663,,,,,,,,,,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86840,81201,167670,237609,245720,244064,294464,112458,108946,115164,129174,163925,242291,132921,326762,218704,245936,182247,133032,116886,163593,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505750,484496,387558,332722,367214,374952,357084,360379,305642,316241,312861,306201,303200,317583,331074,408547,314627,330491,338587,432693,338216,340790,331382,369962,373278,380029,395941,461557,393989,421158,419990,451406,268852,334291,387525,362564,388456,376166,420599,489338,341188,332525,359715,482465,655085,577515,1265246,1108646,649934,575894,728806,1387081,890196,788610,743491,1423015,947548,1000211,1007107,681140,1008874,996841,948346,833436,1168227,,,,,,,,,,,,,,,,,,,,,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9401394,,10410970,10129362,10611370,10584880,11019607,8322812,8104583,8291815.5,8848453,,9137709,8796320,9440105,9611568,9786178,10121906,10735222,10539098,10902579,10916129,11784123,12453663,12424350,12720799,12086227,12939545,12422185,11326787,11298929,11705931,11600862,12371090,13073604,12801229,12193448,11802693,11829755,11610044,11245980,11403591,12321189,12107624,11961374,12253559,13784890,14370075,14582349,14796226,15717706,15574274,16258236,17016614,17936397,18172357,18825107,18179547,18209553,16592413,15653139,17038147,17833695,18062537,18125724,18504632,18152656,18026945,18525993,17791194,18879237,19627600,19252028,19777762,18963320,20442661,21063746,21676792,22776800,21424490,20687929,21669893,23722290,25304067,25808263,24759957,26459781,28943999,31052438,31854717,34714279,35723850,,,,,,,,,,,,,,,,,,,,,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050695,,5437777,5251765,5407249,5366227,5506982,5511006,5400560,5302239,5354647,,5595811,5500055,5795594,6024648,6437438,6739121,7066628,7266019,7627789,7896815,8060519,8408728,8224139,8388103,7812002,8026406,7932701,7275969,7401681,7232910,6868761,6768797,6710901,6443871,6340008,6192931,6309160,6162530,5903223,5873055,6235380,6065995,6034111,6401216,6851239,7056806,7152369,7539817,7641298,7765576,8310987,9009691,9295719,9699657,9611870,9849256,9740417,9300653,9288831,10197167,10197109,10237743,10384159,10463324,10267673,10485317,10680919,10556459,10685494,10903856,10921716,10960412,10871351,11065416,11078390,11155490,11801297,11942239,12152027,12248311,12775052,13370396,13631585,12889342,13125342,13807993,14134377,13922725,14790623,15593659,,,,,,,,,,,,,,,,,,,,,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12534098,,13209084,,13178188,,13438496,13414790,13313779,13231157,13362249,,13826269,13655700,14059029,14339164,14887798,15411489,15857844,16140515,16742685,17229640,17521454,18231159,17988330,18293879,17396236,17916825,17805655,16755727,17192939,17221114,16877016,17029248,17093748,16658654,16548190,16381145,16611349,16492441,16101058,16186556,16849282,16583823,16591306,17426190,18223620,18635313,18812632,19589201,19764791,19919661,20860766,22104795,22364429,22984753,22762627,23144582,22776641,21922883,21910744,23621709,23649094,23833954,24211655,24500014,24043989,24399890,24858964,24670167,24836784,24939447,24930046,25133527,24823492,25165695,25181347,25285377,26367935,26576818,26885977,27263357,28423942,29894660,30567569,29347019,29800461,31290642,31911979,31417966,32892528,34449014,,,,,,,,,,,,,,,,,,,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7483403,,7771307,,7770939,,7931514,7903779,7913219,7928918,8007602,,8230458,8155645,8263435,8314516,8450360,8672368,8791216,8874496,9114896,9332825,9460935,9822431,9764191,9905776,9584234,9890419,9872954,9479758,9791258,9988204,10008255,10260451,10382847,10214783,10208182,10188214,10302189,10329911,10197835,10313501,10613902,10517828,10557195,11024974,11372381,11578507,11660263,12049384,12123493,12154085,12549779,13095104,13068710,13285096,13150757,13295326,13036224,12622230,12621913,13424542,13451985,13596211,13827496,14036690,13776316,13914573,14178045,14113708,14151290,14035591,14008330,14173115,13952141,14100279,14102957,14129887,14566638,14634579,14733950,15015046,15648890,16524264,16935984,16457677,16675119,17482649,17777602,17495241,18101905,18855355,,,,,,,,,,,,,,,,,,,,,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2333608,,,3363874,3453861,,5296443,3074883,5470944,,6255144,,6681083,4211376,7499398,4809418,8232739,4903260,8685341,5535437,9524585,6173076,9931400,6347782,9403994,10084930,9499971,7986073,7758419,7787182,7584588,7845371,7886959,8005080,8340689,8612063,9127933,8955917,8739814,8979072,9656034,9409075,9660367,10989690,12120348,12937739,13684493,15192255,14867337,14944139,15948183,17237494,16834657,17362542,16509745,17173970,16082746,15078294,15299442,17126429,16692150,17154303,17628684,18000742,17480941,18140622,18773271,18192464,17761044,10267712,10395221,10893186,17946528,10782410,11068933,11527467,21297416,12739826,12968672,13475070,23766714,16163485,16893138,16191681,16491045,29673803,19118129,19124065,20637090,34164914,,,,,,,,,,,,,,,,,,,,,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3460754,3053879,2445566,2102874,2176243,2065646,2216098,2256279,2563312,2964341,3235685,3571187,3495534,3638222,3773902,4053572,3977024,4120626,4673940,5176582,5635615,6134958,6975378,6765043,6800260,7206755,7758794,7632126,7921152,7415383,8013812,7439799,7140431,7355033,7991307,7679928,7942459,8064827,8163840,7999323,8342697,8513926,8057717,7479926,,,,7528731,,,,8847891,,,,9183584,,,,,11460296,,,,11696448,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6624176,6446092,5540507,5655545,5610939,5518942,5629273,5630680,5441768,5376348,5376378,5556746,5460383,5101592,5205170,5602462,5432051,5539741,6315750,6943766,7302124,7549535,8216877,8102294,8143879,8741428,9478700,9202531,9441390,9094362,9160158,8642947,7937863,7944409,9135122,9012222,9211844,9563857,9836902,9481618,9797925,10259345,10134747,10281118,10267712,10395221,10893186,10417797,10782410,11068933,11527467,12449525,12739826,12968672,13475070,14583130,16163485,16893138,16191681,16491045,18213507,19118129,19124065,20637090,22468466,,,,,,,,,,,,,,,,,,,,,
