JPM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,0,0,0,0,25,0,0,,-229,-795,0,-1906,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,5173,4745,7501,5727,1694,1663,6719,4466,8483,14444,15365,5605,11728,17370,18976,21284,17886,21745,24442,24733,24441,32474,36431,29131,48334,37676,49552
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",NET_INCOME,,,,,,,,5173,4745,7501,5727,1694,1663,6719,4466,8483,14444,15365,5605,11728,17370,18976,21284,17886,21745,24442,24733,24441,32474,36431,29131,48334,37676,49552
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,218,133,106,96,66,51,51,52,13,4,0,674,1327,642,629,653,805,1125,1515,1647,1663,1551,1587,1583,1600,1595,1501
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,0,0,0,0,,0,0,0,0,1627,964,779,754,524,543,276,252,211,214,202,138,231,189,291
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,4955,4612,7395,5631,1628,1612,6668,4414,8470,14440,15365,4931,8774,15764,17568,19877,16557,20077,22651,22834,22567,30709,34642,27410,46503,35892,47760
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,4955,4612,7395,5631,1628,1612,6668,4414,8470,14440,15365,4931,8774,15764,17568,19877,16557,20077,22651,22834,22567,30709,34642,27410,46503,35892,47760
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,195,1715,1721.76,100,,,,,,1019.85,4741.1,2750.8,2703.842,7397.75,2185.8,1615.9,-336.05,1877.25,56.88,188.81,880.85,336.54,870.58,1327.2
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,0,0,0,0,25,0,0,,-229,-795,0,-1906,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,1959,1182,1912.9005,1884.1,1972.4,1984.3,2008.6,2780,3492,3470,3404,3501,3863,3956.3,3900.4,3809.4,3782.4,3763.5,3741.2,3658.8,3551.6,3396.4,3221.5,3082.4,3021.5,2965.8,2938.6
"Basic EPS, GAAP",IS_EPS,,,,,,,,2.53,3.9,3.87,2.99,0.83,0.81,3.32,1.59,2.43,4.16,4.51,1.41,2.27,3.98,4.5,5.22,4.38,5.33,6.05,6.24,6.35,9.04,10.75,8.89,15.39,12.1,16.25
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,2.53,3.9,3.87,2.99,0.84,0.81,3.32,1.59,2.36,3.93,4.51,0.86,2.25,3.98,4.5,5.22,4.38,5.33,6.05,6.24,6.35,9.04,10.75,8.89,15.39,12.1,16.25
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,2.59,4.3867,3.8267,3.09,1.71,1.67,3.35,2.94,2.94,3.88,4.44,1.06,2.5156,5.1829,5.2094,5.9277,6.3332,5.9155,6.4864,6.149,6.8826,9.0584,10.812,9.1782,15.5021,12.3955,16.7043
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,2055,1236,2004.7994,1969,2023.6,2009.1,2055.1,2851,3557,3574,3508,3605,3880,3976.9,3920.3,3822.2,3814.9,3797.5,3773.6,3690,3576.8,3414,3230.4,3087.4,3026.6,2970,2943.1
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,2.41,3.7333,3.69,2.86,0.8,0.8,3.24,1.55,2.38,4.04,4.38,1.37,2.26,3.96,4.48,5.2,4.34,5.29,6,6.19,6.31,9,10.72,8.88,15.36,12.09,16.23
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,2.41,3.7333,3.69,2.86,0.81,0.8,3.24,1.55,2.32,3.82,4.38,0.84,2.24,3.96,4.48,5.2,4.34,5.29,6,6.19,6.31,9,10.72,8.88,15.36,12.09,16.23
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,2.47,4.2,3.6467,2.96,1.65,1.66,3.27,2.86,2.89,3.77,4.31,1.04,2.5028,5.1522,5.1817,5.9074,6.2792,5.8656,6.4282,6.0989,6.8348,9.0167,10.7784,9.1653,15.4712,12.3831,16.681
