Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,A,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
  Rental and Management,,503.496,0.988188744568353,696.213,0.990499238146455,976.03,0.987828625098173,1096.732,0.986998494391993,1198.264,0.983875549921094,1298.64,0.982367701023262,1502.956,0.98557012277691,1811.232,0.984836761514617,2131.86,0.982650380271952,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,262.842,0.172359817726486,420.43,0.228604021816968,548.726,0.252927402627333,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,1240.114,0.813210305050424,1390.802,0.756232739697649,1583.134,0.729722977644619,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,6.018,0.0118112554316466,6.678,0.00950076185354486,12.026,0.0121713749018274,14.447,0.0130015056080074,19.638,0.0161244500789062,23.309,0.0176322989767381,22.005,0.0144298772230896,27.887,0.0151632384853835,37.64,0.0173496197280479,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Gross Profit Growth,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,—,,—,,—,,—,,—,,—,,—,,21,,18,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,—,,60,,31,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,—,,12,,14,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,—,,—,,—,,—,,—,,—,,—,,27,,35,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Operating Income,,-179.582,,-53.0730000000001,,70.83,1.0,151.737,1.0,364.359,1.0,441.623,1.0,784.378,1.0,920.132,1.0,1119.719,1.0,1214.305,1.0,1486.922,1.0,1612.8,1.0,1853,1.0,1998.4,1.0,1905,1.0,2688.4,1.0,2887.5,1.0,3132,1.0,2352.3,1.0,3024.9,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1214.305,1.0,1486.922,1.0,1612.8,1.0,1853,1.0,1998.4,1.0,1905,1.0,2688.4,1.0,2887.5,1.0,3132,1.0,2352.3,1.0,3024.9,1.0
  Adjustment,,134.555,-0.74926774398325,74.401,-1.40186158687091,-851.138,-12.016631370888,-889.796,-5.86406743246538,-781.088,-2.14373186884364,-788.324,-1.78506101357946,-537.571,-0.685346860824755,-751.976,-0.817247960075294,-861.795,-0.769652921849143,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Other,,-779,4.33785123230613,-768.363,14.4774744220225,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,461.426,-2.56944459912463,637.846,-12.0182767132063,914.917,12.9170831568544,1030.812,6.79341228573123,1130.16,3.10177599565264,1212.454,2.74545030489807,1298.64,1.65563032109519,1652.085,1.79548695187212,1950.618,1.74206028476788,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,202.29,0.257898615208484,338.324,0.367690722635448,453.147,0.404697071318786,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,1096.35,1.3977317058867,1313.761,1.42779622923667,1497.471,1.33736321344909,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,3.437,-0.0191388891982493,3.043,-0.0573361219452451,7.051,0.0995482140336016,10.721,0.0706551467341518,15.287,0.0419558731910012,17.493,0.0396107086813866,23.309,0.0297165397295692,20.023,0.0217610082031709,30.896,0.0275926370812677,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Interest Expense,,—,,—,,—,,—,,—,,—,,—,,—,,—,,458.296,1.0,580.234,1.0,595.9,1.0,717.1,1.0,749.6,1.0,825.6,1.0,814.2,1.0,793.5,1.0,870.9,1.0,1136.5,1.0,1398.2,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,458.296,1.0,580.234,1.0,595.9,1.0,717.1,1.0,749.6,1.0,825.6,1.0,814.2,1.0,793.5,1.0,870.9,1.0,1136.5,1.0,1398.2,1.0
Interest Income,,0,,0,,0,,0,,0,,0,,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Reconciliation,,-14.316,,-14.232,,-14.208,,-14.207,,-14.253,,-14.21,,-14.212,,-14.214,,-14.258,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,14.316,1.0,14.232,1.0,14.208,1.0,14.207,1.0,14.253,1.0,14.21,1.0,14.212,1.0,14.214,1.0,14.258,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,14.212,1.0,14.214,1.0,14.258,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,—,,—,,—,,—,,—,,—,,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Operating Margin,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,—,,—,,—,,—,,—,,—,,—,,69,,70,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,—,,50,,53,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,—,,78,,77,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,—,,—,,—,,—,,—,,—,,—,,45,,43,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Operating Income Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,—,,—,,—,,—,,—,,—,,—,,18,,18,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,—,,56,,34,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,—,,12,,14,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,—,,—,,—,,—,,—,,—,,—,,28,,54,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Pretax Income,,-325.112,,-135.554,,70.864,1.0,152.84,1.0,371.92,1.0,421.487,1.0,556.025,1.0,506.895,1.0,701.294,1.0,541.749,1.0,865.704,1.0,830,1.0,1125.9,1.0,1256.1,1.0,1154.6,1.0,1916.4,1.0,1821.1,1.0,2829.4,1.0,1720.7,1.0,1521.3,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,541.749,1.0,865.704,1.0,830,1.0,1125.9,1.0,1256.1,1.0,1154.6,1.0,1916.4,1.0,1821.1,1.0,2829.4,1.0,1720.7,1.0,1521.3,1.0
  Other,,-471.229,1.44943588670981,-375.7,2.77158918217094,-331.71,-4.68093813501919,-372.039,-2.43417299136352,-375.042,-1.00839427833943,-401.277,-0.952050715680436,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,144.839,-0.445504933684392,239.131,-1.76410139132744,397.06,5.60312711673064,516.326,3.37821250981418,734.186,1.97404280490428,807.915,1.91682068486098,556.025,1.0,506.895,1.0,701.294,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,19.837,0.0356764533968796,-102.041,-0.201305990392488,-86.666,-0.123580124740836,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,536.188,0.96432354660312,608.936,1.20130599039249,787.96,1.12358012474084,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,1.278,-0.00393095302541893,1.015,-0.00748779084350148,5.514,0.0778110182885527,8.553,0.0559604815493326,12.776,0.0343514734351473,14.849,0.0352300308194559,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Income Taxes,,—,,—,,—,,—,,—,,—,,—,,—,,—,,59.541,1.0,62.505,1.0,158,1.0,155.5,1.0,30.7,1.0,-110.1,,-0.2,,129.6,1.0,261.8,1.0,24,1.0,154.2,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,59.541,1.0,62.505,1.0,158,1.0,155.5,1.0,30.7,1.0,-110.1,1.0,-0.2,1.0,129.6,1.0,261.8,1.0,24,1.0,154.2,1.0
Net Income,,—,,—,,—,,—,,—,,—,,—,,—,,—,,551.333,1.0,824.91,1.0,685.1,1.0,956.4,1.0,1238.9,1.0,1236.4,1.0,1887.8,1.0,1690.6,1.0,2567.7,1.0,1765.8,1.0,1483.3,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,551.333,1.0,824.91,1.0,685.1,1.0,956.4,1.0,1238.9,1.0,1236.4,1.0,1887.8,1.0,1690.6,1.0,2567.7,1.0,1765.8,1.0,1483.3,1.0
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,10,,36,,39,,10,,8,,8,,26,,23,,17,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,50,,73,,34,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,12,,11,,11,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,74,,-32,,55,,31,,52,,20,,9,,17,,26,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Total Operating Expense,,211.462,1.0,256.127,1.0,343.537,1.0,359.622,1.0,389.855,1.0,416.375,1.0,474.586,1.0,618.627,1.0,720.718,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,195.242,0.923295911322129,247.781,0.967414602911837,332.246,0.967133089012246,343.45,0.955030559865637,363.024,0.9311769760552,383.99,0.922221555088562,447.629,0.943198914422254,589.167,0.952378412193454,685.888,0.951673192566302,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,122.269,0.257632968524145,235.709,0.381019580458014,328.333,0.455563757253184,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,325.36,0.685565945898109,353.458,0.57135883173544,357.555,0.496109435313118,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,16.22,0.0767040886778712,8.346,0.0325853970881633,11.291,0.0328669109877539,16.172,0.0449694401343633,26.831,0.0688230239448,32.385,0.077778444911438,26.957,0.0568010855777457,29.46,0.0476215878065458,34.83,0.0483268074336981,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Property/Plant/Equipment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7262.175,1.0,7590.112,1.0,9866.424,1.0,10517.3,1.0,11101,1.0,11247.1,1.0,19441.8,1.0,20597.9,1.0,29009.1,1.0,28917.2,1.0,28667.6,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7262.175,1.0,7590.112,1.0,9866.424,1.0,10517.3,1.0,11101,1.0,11247.1,1.0,19441.8,1.0,20597.9,1.0,29009.1,1.0,28917.2,1.0,28667.6,1.0
Goodwill,,—,,—,,—,,—,,—,,—,,—,,2676.29,1.0,2842.643,1.0,3729.901,1.0,4032.174,1.0,4091.805,1.0,5070.7,1.0,5638.4,1.0,5501.9,1.0,6178.3,1.0,7282.7,1.0,13350.1,1.0,12956.7,1.0,12639,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3729.901,1.0,4032.174,1.0,4091.805,1.0,5070.7,1.0,5638.4,1.0,5501.9,1.0,6178.3,1.0,7282.7,1.0,13350.1,1.0,12956.7,1.0,12639,1.0
  Rental and Management,,—,,—,,—,,—,,—,,—,,—,,2674.29,0.999252696830314,2840.643,0.999296429414457,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,—,,424.846,0.158744381214293,520.072,0.182953680782286,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,—,,2249.444,0.840508315616021,2320.571,0.816342748632171,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,—,,—,,—,,—,,—,,—,,—,,2,0.000747303169686394,2,0.000703570585543102,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Assets,,5085.972,1.0,8786.854,1.0,8613.219,1.0,8130.457,1.0,8211.665,1.0,8512.668,1.0,10368.014,1.0,12242.395,1.0,14089.429,1.0,20272.571,1.0,21263.565,1.0,26904.272,1.0,30879.2,1.0,33214.3,1.0,33010.4,1.0,42801.6,1.0,47233.5,1.0,69887.9,1.0,67194.5,1.0,66027.6,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,20272.571,1.0,21263.565,1.0,26904.272,1.0,30879.2,1.0,33214.3,1.0,33010.4,1.0,42801.6,1.0,47233.5,1.0,69887.9,1.0,67194.5,1.0,66027.6,1.0
  Other,,979.975,0.192681949487728,860.576,0.0979390348354485,936.848,0.108768626456613,701.613,0.0862944112489618,777.17,0.0946421949750751,538.283,0.0632331720208048,1155.807,0.111478148081204,476.618,0.0389317613097764,363.317,0.0257864956770072,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,4050.703,0.796446185704522,7899.562,0.899020514054291,7655.701,0.888831573886604,7398.581,0.909983411756559,7398.877,0.901020316829778,7934.65,0.932099078690723,9175.444,0.884976042663523,11731.836,0.958295823652153,13662.156,0.969674214618634,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,2092.716,0.201843477449008,3942.258,0.32201689293639,5190.987,0.368431325357472,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,7082.728,0.683132565214514,7789.578,0.636278930715763,8471.169,0.601242889261162,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,55.294,0.0108718648077496,26.716,0.00304045111026085,20.67,0.00239979965678337,30.263,0.00372217699447891,35.618,0.00433748819514678,39.735,0.00466774928847219,36.763,0.003545809255273,33.941,0.00277241503807057,63.956,0.0045392897043592,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Operating Income Change Amount,,—,,—,,—,,—,,—,,—,,—,,261.631,1.0,309.406,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,—,,—,,—,,—,,—,,—,,—,,257.301,0.98344997343587,298.533,0.964858470747174,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,—,,121.359,0.463855582862887,114.823,0.37110786474729,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,—,,135.942,0.519594390572983,183.71,0.593750605999884,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,—,,—,,—,,—,,—,,—,,—,,4.33,0.0165500265641304,10.873,0.0351415292528264,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Liabilities,,—,,—,,—,,—,,—,,—,,—,,—,,—,,16682.531,1.0,17210.213,1.0,20191.454,1.0,22811.7,1.0,25260,1.0,26106,1.0,36214.7,1.0,42453,1.0,60818.3,1.0,54786,1.0,55162.2,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,16682.531,1.0,17210.213,1.0,20191.454,1.0,22811.7,1.0,25260,1.0,26106,1.0,36214.7,1.0,42453,1.0,60818.3,1.0,54786,1.0,55162.2,1.0
Depreciation and Amortization,,329.449,1.0,411.254,1.0,528.051,1.0,522.928,1.0,405.332,1.0,414.619,1.0,460.726,1.0,—,,644.276,1.0,800.145,1.0,1003.802,1.0,1285.3,1.0,1525.6,1.0,1715.9,1.0,2110.8,1.0,1778.4,1.0,1882.3,1.0,2332.6,1.0,3355.1,1.0,3086.5,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,800.145,1.0,1003.802,1.0,1285.3,1.0,1525.6,1.0,1715.9,1.0,2110.8,1.0,1778.4,1.0,1882.3,1.0,2332.6,1.0,3355.1,1.0,3086.5,1.0
  Reconciliation,,—,,—,,—,,—,,—,,—,,-94.791,,—,,88.759,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Other,,10.703,0.0324875777434444,10.511,0.025558414021505,8.657,0.0163942497978415,6.274,0.0119978276168038,6.847,0.0168923253037017,7.436,0.017934537491046,555.517,1.0,—,,555.517,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,316.587,0.960959055878148,398.715,0.969510326951227,517.857,0.98069504650119,514.486,0.983856286142643,395.974,0.976912753002477,404.539,0.975688523680777,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,2.159,0.00655336637840759,2.028,0.00493125902726782,1.537,0.00291070370096828,2.168,0.00414588624055319,2.511,0.00619492169382136,2.644,0.00637693882817719,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Depreciation,,—,,—,,—,,—,,—,,—,,—,,—,,—,,800.145,1.0,1003.802,1.0,1285.3,1.0,1525.6,1.0,1715.9,1.0,2110.8,1.0,1778.4,1.0,1882.3,1.0,2332.6,1.0,3355.1,1.0,3086.5,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,800.145,1.0,1003.802,1.0,1285.3,1.0,1525.6,1.0,1715.9,1.0,2110.8,1.0,1778.4,1.0,1882.3,1.0,2332.6,1.0,3355.1,1.0,3086.5,1.0
Capital Expenditures,,-41.511,,-88.637,,-127.098,,-154.381,,-243.484,,-250.262,,-346.664,,-523.015,,-568.048,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
  Other,,-3.768,0.0907711209077112,-4.174,0.0470909439624536,-5,0.039339722104203,-12.697,0.0822445767290016,-5.572,0.022884460580572,-7.522,0.030056500787175,-11.602,0.0334675651351164,-18.925,0.0361844306568645,-20.047,0.0352910317437963,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,-37.453,0.902242779022428,-82.155,0.926870268623712,-120.537,0.948378416654865,-139.569,0.904055550877375,-235.625,0.967722725107194,-235.468,0.940885951522804,-329.566,0.950678466757437,-504.09,0.963815569343136,-548.001,0.964708968256204,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,-68.827,0.198540950315002,-178.826,0.341913711843829,-279.004,0.491162718643495,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,-260.739,0.752137516442434,-325.264,0.621901857499307,-268.997,0.473546249612709,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,-0.29,0.006986100069861,-2.308,0.026038787413834,-1.561,0.0122818612409322,-2.115,0.0136998723936236,-2.287,0.00939281431223407,-7.272,0.0290575476900209,-5.496,0.015853968107447,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Rental Income,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3287.09,1.0,4006.854,1.0,4680.4,1.0,5713.1,1.0,6565.9,1.0,7314.7,1.0,7464.9,1.0,7953.6,1.0,9109.6,1.0,10470,1.0,11001.2,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3287.09,1.0,4006.854,1.0,4680.4,1.0,5713.1,1.0,6565.9,1.0,7314.7,1.0,7464.9,1.0,7953.6,1.0,9109.6,1.0,10470,1.0,11001.2,1.0
SG&A,,83.094,1.0,108.059,1.0,159.324,1.0,185.734,1.0,72.455,1.0,201.694,1.0,229.769,1.0,291.153,1.0,327.301,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Other,,38.443,0.46264471562327,46.057,0.42622086082603,93.236,0.585197459265396,116.088,0.625022882186352,—,,109.692,0.543853560343887,115.285,0.501743054981307,124.142,0.426380631489286,139.315,0.42564795096868,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rental and Management,,42.07,0.506294076587961,58.367,0.540140108644352,61.113,0.383576862242977,65.92,0.354916170437292,68.104,0.939948933820992,86.186,0.427310678552659,108.172,0.470785876249625,159.147,0.546609514585115,181.242,0.553747162397915,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,45.877,0.199665751254521,82.106,0.282002933165724,95.579,0.29202171701278,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,62.295,0.271120124995104,77.041,0.264606581419391,85.663,0.261725445385135,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Network Development Systems,,2.581,0.0310612077887693,3.635,0.0336390305296181,4.975,0.0312256784916271,3.726,0.0200609473763554,4.351,0.0600510661790077,5.816,0.0288357611034537,6.312,0.0274710687690681,7.864,0.0270098539255993,6.744,0.0206048866334047,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Real Estate - Number of Properties,,—,,—,,—,,—,,—,,—,,—,,—,,—,,67069,1.0,75164,1.0,100615,1.0,144884,1.0,150181,1.0,170686,1.0,179520,1.0,185641,1.0,220000,1.0,225000,1.0,224000,1.0
  REIT,,—,,—,,—,,—,,—,,—,,—,,—,,—,,67069,1.0,75164,1.0,100615,1.0,144884,1.0,150181,1.0,170686,1.0,179520,1.0,185641,1.0,220000,1.0,225000,1.0,224000,1.0
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
