WMT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,5808.416,7384.2988,9268.3086,11013.7061,14064,15989,15897,16497,17076,19793,21442,22614,24401,26612,29762,31910,33685,35159,34511,32713,36437,40714,43803,44858,45141,44469,43046,43783,44269,44435,44949,56511,56576,54892
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,15897,16497,17076,20171,21442,22614,24401,26612,29762,31910,33685,35159,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,0,-378,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,288.275,741.608,392.363,390.794,529,406,368,432,1059,1366,1291,1471,2016,1356,1889,3147,2690,3727,3258,3268,3091,1774,1588,2369,2224,1441,1941,3511,3623,1622,20861,1519,2521,3322
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,0,0,0,2,29,5,0,0,0,0,0,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,1770,1594,1324,957,1002,1082,1496,1441,1941,3511,3623,1622,20861,1519,2521,3322
Total Current Assets,BS_CUR_ASSET_REPORT,6414.7749,8575.4229,10197.5898,12114.6016,15338,17331,17993,19352,21132,24356,26555,28246,30722,34421,38854,43825,46982,48020,48949,48032,52012,54975,59940,61185,63278,60239,57689,59664,61897,61806,90067,81070,75655,76877
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,4712.0391,6433.8008,9792.8809,13175.3662,15874,17098,20324,23606,25973,35969,40934,45750,51374,58530,68118,77865,88440,96867,95653,102307,107878,112324,116681,117907,116655,116516,114178,114818,111395,127049,109848,112624,119234,130338
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,5996.6641,8140.8478,11848.0039,15858.1611,19237,20850,25964,30416,34464,45348,52433,58618,66100,75887,88593,100929,115190,127992,131161,143517,154489,160938,171724,178678,182634,188054,191129,197857,192888,216869,198218,207433,220844,239387
    - Accumulated Depreciation,BS_ACCUM_DEPR,1284.625,1707.047,2055.123,2682.7949,3363,3752,5640,6810,8491,9379,11499,12868,14726,17357,20475,23064,26750,31125,35508,41210,46611,48614,55043,60771,65979,71538,76951,83039,81493,89820,88370,94809,101610,109049
  + LT Investments & Receivables,BS_LT_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,262.101,434.165,574.616,1150.796,1607,3112,1287,2426,2891,10024,10641,9455,12712,11961,13182,16497,16165,18627,18827,20068,20892,26107,26484,25659,23557,22826,26958,30040,46003,47640,52581,51166,48308,45184
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,1887,2538,9392,9059,8595,9389,9882,10803,12097,13759,15879,15260,16126,16763,20651,20497,19510,18102,16695,17037,18242,31181,31073,33883,33814,32474,32213
    + Goodwill,BS_GOODWILL,,,,,,,,,,9392,9059,8595,9389,9882,10803,12097,13759,15879,15260,16126,16763,20651,20497,19510,18102,16695,17037,18242,31181,31073,28983,29014,28174,28113
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,4800,4300,4100
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,202,331,327,738,757,1151,1033,1504,1565,1879,1796,1914,1836,1473,1503,1663
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,847,735,738,588,581,716,512,621,479,508,412,11817,9573,15876,13921,11308
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,262.101,434.165,574.616,1150.796,1607,3112,1287,539,353,632,1582,860,3323,2079,2379,4400,2406,2748,2518,2876,3064,4130,4649,4282,3910,4006,7877,9411,12614,2836,7289,3,410,0
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,4974.1401,6867.9658,10367.4969,14326.1622,17481,20210,21611,26032,28864,45993,51575,55205,64086,70491,81300,94362,104605,115494,114480,122375,128770,138431,143165,143566,140212,139342,141136,144858,157398,174689,162429,163790,167542,175522
Total Assets,BS_TOT_ASSET,11388.915,15443.3887,20565.0879,26440.7637,32819,37541,39604,45384,49996,70349,78130,83451,94808,104912,120154,138187,151587,163514,163429,170407,180782,193406,203105,204751,203490,199581,198825,204522,219295,236495,252496,244860,243197,252399
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,1291.024,1608.476,1994.7939,2333.2771,2681,2740,3056,3526,4430,5377,6295,6671,7955,9054,10267,11231,11284,12731,13381,14370,16389,15699,16999,16022,16363,14694,13643,9862,6670,14881,13510,13673,11680,15511
Cash from Operating Activities,CF_CASH_FROM_OPER,1295.885,1356.713,1278.277,2195.4509,2906,2383,5930,7123,7580,8194,9604,10260,13005,15996,15044,17635,19952,20642,23147,26249,23643,24255,25591,23257,28564,27552,31673,28337,27753,25255,36074,24181,28841,35726
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-1388.298,-1805.303,-3756.364,-3643.7329,-3734,-3566,-2179,-2636,-3734,-6183,-8042,-8383,-8934,-9827,-11940,-13488,-15272,-13980,-10785,-11182,-12210,-12930,-12366,-12388,-11604,-10842,-10163,-9673,-9825,-10384,-10049,-12712,-16687,-20356
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,0,0,0,0,0,0,464,0,0,0,0,0,311,481,953,1042,394,957,714,1002,489,580,532,727,570,635,456,378,519,321,215,394,170,250
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-1388.298,-1805.303,-3756.364,-3643.7329,-3734,-3566,-2643,-2636,-3734,-6183,-8042,-8383,-9245,-10308,-12893,-14530,-15666,-14937,-11499,-12184,-12699,-13510,-12898,-13115,-12174,-11477,-10619,-10051,-10344,-10705,-10264,-13106,-16857,-20606
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,-738,0,-202,-3548,0,0,671,246,-1801,671,-13780,777,-124,7576,-740,126
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,671,246,662,1046,876,833,56,7935,0,135
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,-738,0,-202,-3548,0,0,0,0,-2463,-375,-14656,-56,-180,-359,-740,-9
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,-137.8361,-344.5781,250.04,-842.2749,-58,234,111,-1785,-684,-10663,-672,1237,-905,1515,-411,-698,809,-1690,781,-438,219,-131,-271,-138,-192,-79,-1932,-77,-431,479,102,-879,-295,-1057
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-1526.134,-2149.8811,-3506.324,-4486.0078,-3792,-3332,-2068,-4421,-4418,-16846,-8714,-7146,-9839,-8312,-12351,-14186,-14463,-15670,-10742,-11620,-12193,-16609,-12637,-12526,-11125,-10675,-13896,-9079,-24036,-9128,-10071,-6015,-17722,-21287
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-158.889,-195.048,-241.363,-298.829,-391,-458,-481,-611,-693,-890,-1070,-1249,-1328,-1569,-2214,-2511,-2802,-3586,-3746,-4217,-4437,-5048,-5361,-6139,-6185,-6294,-6216,-6124,-6102,-6048,-6116,-6152,-6114,-6140
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,410.23,993.295,2435.085,2638.3279,1363,1457,-3073,-101,-640,9320,64,-628,2403,941,4041,4018,-92,4477,-2918,-1866,7819,3485,1487,3015,-5018,-3158,-3591,-1437,12035,-1071,-5706,-5872,2318,1262
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,-20.868,12.556,16.039,9.688,0,0,-208,-1569,-1202,-101,388,-1214,-3383,-5046,-4549,-3580,-1718,-7691,-3521,-7276,-14776,-6298,-7600,-6683,-1015,-4112,-8298,-8296,-7410,-5717,-2625,-9787,-9920,-2779
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,4.958,12.556,16.039,9.688,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-25.826,0,0,0,0,0,-208,-1569,-1202,-101,-193,-1214,-3383,-5046,-4549,-3580,-1718,-7691,-3521,-7276,-14776,-6298,-7600,-6683,-1015,-4112,-8298,-8296,-7410,-5717,-2625,-9787,-9920,-2779
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,0,0,0,-50.878,-61,-12,700,143,-195,300,-74,84,-261,431,318,-450,-130,-370,267,-832,-634,-597,-472,-982,-2853,-2721,-967,-4018,-1060,-1463,-1670,-1017,-3323,-5757
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,230.473,810.803,2209.761,2298.3089,911,987,-3062,-2138,-2730,8629,-692,-3007,-2569,-5243,-2404,-2523,-4742,-7170,-9918,-14191,-12028,-8458,-11946,-10789,-15071,-16285,-19072,-19875,-2537,-14299,-16117,-22828,-17039,-13414
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,-781,194,66,-33,223,-442,-514,-1022,-452,487,-438,-69,235,-140,-73,69
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,0.224,17.635,-18.286,7.752,25,38,800,564,432,-23,198,107,597,2441,289,926,747,-2198,1706,632,-512,-845,1231,-500,1854,-430,-1747,-130,742,1759,10121,-4802,-5993,1094
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,1791,1971,3458,849,1319,3196,4539,4358,5593,5962,6665,6299,6596,7389,6984,5899,7304,8641,8169,8111,4507,6179,3982,3616,5271,5918,3310,5879
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,0,0,0,0,,68,1595,738,0,202,3548,0,0,0,0,2463,375,14656,56,180,359,740,9
Free Cash Flow,CF_FREE_CASH_FLOW,-92.413,-448.59,-2478.087,-1448.282,-828,-1183,3287,4487,3846,2011,1562,1877,3760,5688,2151,3105,4286,5705,11648,14065,10944,10745,12693,10142,16390,16075,21054,18286,17409,14550,25810,11075,11984,15120
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,14.165,-281.0963,-2274.7873,-1121.5069,-383.8925,-623.1473,3819.4371,4977.0521,4338.4282,2657.4153,,2722.3543,4445.9354,6324.8421,2926.0694,4055.0679,5487.9626,7089.2994,13085.4398,15461.8953,12439.0121,12309.4649,14056.9158,11532.8855,17855.1822,17487.6611,22479.3253,19662.3469,18646.2186,16259.319,27127.013,12323.1579,13169.8724,16802.256
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,317.8171,544.7051,-43.0021,1190.046,535,274,678,4386,3206,11331,1626,1249,6474,7110,7145,8165,4588,11139,9444,13201,19252,14810,14712,13884,11942,13552,17919,17227,29963,13800,20319,5597,14472,16632
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,-0.0068,-0.0324,-0.1801,-0.105,-0.06,-0.0859,0.239,0.3312,0.2872,0.1506,0.1166,0.1401,0.2829,0.4346,0.1683,0.2474,0.3431,0.4677,0.9857,1.2127,0.9978,1.0352,1.254,1.0342,1.6914,1.6708,2.2631,2.0352,1.9812,1.7018,3.039,1.3222,1.4665,1.872
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,15.8634,19.8462,47.2617,152.9962,151.8586,136.8997,59.5105,40.6922,104.5841,63.0481,44.8655,33.875,18.9578,14.6916,18.0161,19.2433,18.1366,25.3636,16.9245,12.2295,10.1805,16.1739,15.6721,23.2779,15.8113,36.4763,32.2293,28.0718
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.0038,0.8435,0.6408,0.9409,1.0839,0.8697,1.9404,2.0201,1.7111,1.5239,1.5257,1.538,1.6348,1.7667,1.4653,1.5702,1.7682,1.6214,1.7298,1.8267,1.4426,1.545,1.5054,1.4516,1.7456,1.8751,2.3216,2.8734,4.1609,1.6971,2.6702,1.7685,2.4693,2.3033
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,32601.5938,43886.9023,55483.7695,67344.5703,82494,93627,104859,117958,137634,165013,191329,217799,229616,256329,287989,312101,348650,378476,404254,408085,421849,446509,468651,476294,485651,482130,485873,500343,514405,523964,559151,572754,611289,648125
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,401087,405132,418952,443416,465604,473076,482229,478614,481317,495761,510329,519926,555233,567762,605881,642637
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,25499.834,34786.1172,44174.6797,53443.7422,65586,74564,83663,93438,108725,129664,150255,171562,178299,198747,219793,237649,264152,286350,303941,304106,314946,334993,352297,358069,365086,360984,361256,373396,385301,394605,420315,429000,463721,490142
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,303941,304106,314946,334993,352297,358069,365086,360984,361256,373396,385301,394605,420315,429000,463721,490142
Gross Profit,GROSS_PROFIT,7101.7598,9100.7852,11309.0898,13900.8281,16908,19063,21196,24520,28909,35349,41074,46237,51317,57582,68196,74452,84498,92126,100313,103979,106903,111516,116354,118225,120565,121146,124617,126947,129104,129359,138836,143754,147568,157983
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,5152.1782,6684.3042,8320.8418,10333.2178,12858,14951,16788,19358,22363,27040,31550,34160,38022,42557,51105,55739,64001,70174,77546,79977,81361,85025,88629,91353,93418,97041,101853,106510,107147,108791,116288,117812,127140,130971
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,31550,,39983,44909,51105,55739,64001,70174,77546,79977,81361,85025,88629,91353,93418,97041,101853,106510,107147,108791,116288,117812,127140,130971
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),IS_OPER_INC,1949.582,2416.479,2988.2439,3567.613,4050,4112,4408,5162,6546,8309,9524,12077,13295,15025,17091,18713,20497,21952,22767,24002,25542,26491,27725,26872,27147,24105,22764,20437,21957,20568,22548,25942,20428,27012
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,1900,1884,2004,2159,2063,2216,2348,2467,2267,5314,10497,452,1984,7246,3412,5164
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,927,832,986,1178,1529,1794,1900,1884,2004,2159,1791,1953,2048,1946,1944,1826,1758,2073,1855,1516,1533,1713
    + Interest Expense,IS_INT_EXPENSE,168.636,265.863,322.698,517.005,706,888,845,784,797,1022,1383,1326,1059,996,1187,1420,1809,2103,2184,2065,2205,2320,1977,2072,2161,2027,2044,1978,1975,2262,1976,1674,1787,2259
    - Interest Income,IS_INT_INC,,,,,,,,,,,,171,132,164,201,242,280,309,284,181,201,161,186,119,113,81,100,152,217,189,121,158,254,546
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,0,0,0,0,272,263,300,521,323,3488,8739,-1621,129,5730,1879,3451
"Pretax Income (Loss), Adjusted",PRETAX_INC,2042.76,2553.137,3166.3389,3691.578,4262,4346,4850,5641,7170,9083,0,10751,12368,14193,16105,17535,18968,20158,20867,22118,23538,24332,25662,24656,24799,21638,20497,15123,11460,20116,20564,18696,17016,21848
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,44.86,,150,,-103,-98,18,768.1538,260,0,65,0,1010.1538,249.4615,791.8769,-287.2615,5591.287,8341.4557,-1089.1139,367,5391,5857,3286
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,-68,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.4924,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,-670.2769,-227.3414,4800,,8401,433,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,386.1538,,,,,,249.4615,,,-136.4048,,,,,3325,93
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,-51,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,148,,959.6462,,791.8769,383.0154,818.429,,,175,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,2042.76,2553.137,3166.3389,3691.578,4262,4346,4850,5641,7170,9083,0,10751,12368,14193,16105,17535,18968,20158,20867,22118,23538,24332,25662,24656,24799,21638,20497,15123,11460,20116,20564,18696,17016,21848
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,751.736,944.661,1171.545,1358.301,1581,1606,1794,2115,2740,3338,3692,3897,4357,5118,5589,5803,6365,6889,7133,7156,7579,7924,7958,8105,7985,6558,6204,4600,4281,4915,6858,4756,5724,5578
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,1291.024,1608.476,1994.7939,2333.2771,2681,2740,3056,3526,4430,5745,6424,6854,8011,9075,10516,11732,12603,13269,13734,14962,15959,16408,17704,16551,16814,15080,14293,10523,7179,15201,13706,13940,11292,16270
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,198,0,0,-137,-193,0,177,894,132,-146,79,-1034,21,-52,-144,-285,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,-146,79,-1034,21,-52,-144,-285,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,1291.024,1608.476,1994.7939,2333.277,2681,2740,3056,3526,4430,5547,-3692,6854,8148,9268,10516,11555,11709,13137,13880,14883,16993,16387,17756,16695,17099,15080,14293,10523,7179,15201,13706,13940,11292,16270
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0,0,0,0,0,0,0,0,0,170,129,183,193,214,249,324,425,406,499,513,604,688,757,673,736,386,650,661,509,320,196,267,-388,759
