NFLX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,49.662,46.773,64.461,126.937,139.016,180.301,269.741,407.329,315.663,431.043,630.294,914.369,1076.486,1351.621,1572.891,1720.285
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,89.873,114.542,163.329,259.033,329.008,378.769,472.321,650.788,780.232,953.71,1221.814,1545.149,1829.6,2273.885,2711.041,2675.758
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,-6.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),IS_OPER_INC,,,,,,,,,-11.153,-30.031,-57.557,-31.541,-10.673,4.472,16.794,1.002,59.617,77.577,121.506,191.939,283.641,376.068,49.992,228.347,402.648,305.826,379.793,838.679,1605.226,2604.254,4585.289,6194.509,5632.831,6954.003
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,-9.994,-0.253,15.945,16.546,19.512,57.273,53.279,163.941,119.286,353.358,378.768,542.023,1385.94,354.406,368.902,748.598
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,10.275,-2.04,-2.422,-5.346,-14.694,-19.152,,6.475,19.629,20.025,19.986,29.142,50.219,132.716,150.114,238.204,420.493,626.023,767.499,765.62,706.212,699.826
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,0.042,0.738,1.451,1.852,11.972,0.417,0.17,0.407,1.21,1.188,2.458,6.475,19.629,20.025,19.986,29.142,50.219,132.716,150.114,238.204,420.493,626.023,767.499,765.62,706.212,699.826
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,1.697,2.457,2.592,5.753,15.904,20.34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,-12.452,-6.728,-3.684,-3.479,-0.474,28.131,3.06,31.225,-30.828,115.154,-41.725,-84,618.441,-411.214,-337.31,48.772
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,-11.081,-29.845,-57.363,-38.618,-20.948,6.095,21.776,8.335,80.318,110.925,131.5,192.192,267.696,359.522,30.48,171.074,349.369,141.885,260.507,485.321,1226.458,2062.231,3199.349,5840.103,5263.929,6205.405
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,0.671,,10.719,14.027,-1.987,,-21.392,-6.327,-4.56,0,0,0,25.129,0,0,0,0,0,0,792.4051,-281.0127,-203.111,176.296
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,-6.327,-4.56,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.4051,-281.0127,-353.111,176.296
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,-11.081,-29.845,-57.363,-38.618,-20.948,6.095,21.776,8.335,80.318,110.925,131.5,192.192,267.696,359.522,30.48,171.074,349.369,141.885,260.507,485.321,1226.458,2062.231,3199.349,5840.103,5263.929,6205.405
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,0,0,0,0,0,0,0.181,-33.692,31.236,44.317,48.474,76.332,106.843,133.396,13.328,58.671,82.57,19.244,73.829,-73.608,15.216,195.315,437.954,723.875,772.005,797.415
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,-11.081,-29.845,-57.363,-38.618,-20.948,6.512,21.595,42.027,49.082,66.608,83.026,115.86,160.853,226.126,17.152,112.403,266.799,122.641,186.678,558.929,1211.242,1866.916,2761.395,5116.228,4491.924,5407.99
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
