META US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"Net Income, GAAP",NET_INCOME,,,,,,,,,,,,,,,,,,-138,-56,122,372,668,32,1491,2925,3669,10188,15920,22111,18485,29146,39370,23200,39098
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,-138,-56,122,372,668,32,1491,2925,3669,10188,15920,22111,18485,29146,39370,23200,39098
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,,,,,,,,,-138,-56,122,372,668,32,1491,2925,3669,10188,15920,22111,18485,29146,39370,23200,39098
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2273,0,0,26.07,-183.28,4008.46,5948.7
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,1020,1107,1294,2006,2420,2614,2803,2863,2901,2890,2854,2851,2815,2687,2574
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,-0.16,-0.06,0.12,0.34,0.52,0.02,0.62,1.12,1.31,3.56,5.49,7.65,6.48,10.22,13.99,8.63,15.19
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,-0.16,-0.06,0.12,0.34,0.52,0.02,0.62,1.12,1.31,3.56,5.49,7.65,6.48,10.22,13.99,8.63,15.19
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,-0.16,-0.06,0.12,0.34,0.52,0.02,0.62,1.12,1.31,3.56,6.2713,7.65,6.48,10.2322,13.9207,10.126,17.5007
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,1366,1414,1508,2166,2517,2664,2853,2925,2956,2921,2876,2888,2859,2702,2629
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,-0.16,-0.06,0.1,0.28,0.46,0.01,0.6,1.1,1.29,3.49,5.39,7.57,6.43,10.09,13.77,8.59,14.87
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,-0.16,-0.06,0.1,0.28,0.46,0.01,0.6,1.1,1.29,3.49,5.39,7.57,6.43,10.09,13.77,8.59,14.87
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,-0.16,-0.06,0.1,0.28,0.46,0.01,0.6,1.1,1.29,3.49,6.1589,7.57,6.43,10.099,13.7059,10.0735,17.1327
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,,,,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,,,,,,,,,,,,,,,,,,,,340,1171,2079,1187,3815,6237,8170,14769,23228,29228,30866,40924,56260,39487,60020
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,,,,,,,,,,43.758,59.3212,56.0226,23.3248,48.4629,50.0321,45.5712,53.4373,57.1372,52.3443,43.6596,47.6054,47.7067,33.8627,44.4916
EBIT,EBIT,,,,,,,,,,,,,,,,,,-124,-55,262,1032,1756,538,2804,4994,6225,12427,20203,24913,23986,32671,46753,28944,46751
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,73.2026,54.4118,71.2999,75.0253,76.8257,73.1971,76.1814,82.729,84.0083,86.2906,86.584,83.2462,81.937,80.5828,80.7944,78.3473,80.7571
Operating Margin,OPER_MARGIN,,,,,,,,,,,,,,,,,,-81.0458,-20.2206,33.7194,52.2796,47.3188,10.5718,35.6199,40.061,34.7222,44.9635,49.6962,44.6166,33.9279,38.005,39.645,24.8214,34.6555
Profit Margin,PROF_MARGIN,,,,,,,,,,,,,,,,,,-90.1961,-20.5882,15.7014,18.845,18.0005,0.6288,18.9405,23.4638,20.4652,36.8623,39.1607,39.5985,26.1468,33.9045,33.3845,19.8955,28.9825
