TM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,192724,-52452,180846,-64884,137748,-246023,85634,330992,-271832,815733,-578534,214963,-401509,39097,322873,243387,654871,55647,70313,486876,495645,1002406,1012798,1403311,1895094,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,381469,346326,516959,657808,203257,694985,730469,741798,921798,563368,207278,211487,282440,331007,411133,1145808,884589,854600,500214,836619,777522,810117,809763,1297224,1124322,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,-752748,-108450,-768943,-224276,1337220,1302653,992021,1812359,1501054,112323,1953994,1394683,728898,1596755,2676014,2539435,3178312,-127200,624421,27710,-1043088,-762336,238456,-402476,-507734,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,-726248.8723,-85748.3469,-750747.7926,-206388.37,1350446.4547,1315024.7176,1005994.0293,1844590.2439,1531641.8606,,1976781.5542,1407719.3581,737931.8647,1610695.1191,2689469.6546,2555242.1409,3203292.8121,-106261.5735,646696.9748,47680.2812,-1009743.1728,-729317.8857,264772.14,-366607.6727,-456121.1801,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,440907,725377,2148503,2220838,2332707,,,1369128,1911212,2050089,604417,2346294,4084568,3859039,4356556,2184397,2595507,2197353,1410670,3851307,518134,2476695,5362645,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,1.346,2.3527,1.2327,1.4073,1.9646,2.0243,1.8332,1.9697,1.7356,,12.2151,4.9586,5.1222,2.5477,1.9999,1.6959,1.9289,1.8646,1.6933,2.0005,1.178,1.2146,1.3061,1.2055,0.8506,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,9855132,10163376,10210749,9362732,8120975,10718739,12243830,11678400,12749010,12879560,13424423,15106300,16054290,17294760,18551526,21036909,23948091,26289240,20529570,18950973,18993688,18583653,22064192,25691911,27234521,28403118,27597193,29379510,30225681,29866547,27214593,31379507,37154298,45095325,,,,,,,,,,,,,,,,,,,,,,,,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,19173720,17724729,17820520,17511916,20914150,24312644,25612836,26549111,25813496,27420276,28105338,27693693,25077398,29073428,34367619,41648130,,,,,,,,,,,,,,,,,,,,,,,,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,8226965,8771520,8946262,8151904,6876796,9015040,9925774,9137061,9832153,9912417,10407420,11518780,12156140,13870514,14870126,16944944,19228393,21520353,18455800,16683797,16615326,16388564,18640995,20801139,21841676,22605465,22734336,23889153,24781785,24485351,22382220,25407834,30841282,35727007,,,,,,,,,,,,,,,,,,,,,,,,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,17468416,15971496,15985783,15795918,18010569,19988245,20916362,21456086,21543035,22600474,23389495,23103596,21199890,24250784,29128561,33600612,,,,,,,,,,,,,,,,,,,,,,,,
