MLM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,69.574,69.687,66.851,69.019,110.399,120.709,114.078,113.402,119.842,114.785,113.082,113.774,118.281,132.85,128.747,132.583,148.425,154.659,145.947,157.104,172.316,175.417,172.246,172.865,186.924,192.787,192.381,207.534,226.522,240.341,232.013,231.003,253.515,252.715,241.695,239.726,247.868,237.802,212.681,213.843,229.663,228.724,208.69,209.309,,217.003,,222.728,241.445,243.714,244.537,256.287,281.467,297.8,285.252,286.885,296.466,297.371,305.55,318.018,324.949,333.887,329.781,332.569,322.027,319.842,323.82,331.894,331.679,336.365,337.73,322.607,333.487,331.984,335.092,332.311,347.641,348.873,350.438,347.307,354.718,348.168,475.293,484.919,505.047,479.856,464.525,469.141,485.367,504.877,508.199,521.624,537,549.865,576.429,600.591,606.794,650.917,651.295,663.035,646.176,646.342,649.716,690.8,700.5,712.9,714.5,709,690,729.1,717.5,752.6,782.4,835.2,823.4,873.7,948.7,954.7,993.1,988.6,1077,1105,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.958,25.307,25.307,25.307,23.27,24.597,24.718,25.862,26.913,27.356,27.325,26.692,27.155,25.946,26.106,23.668,24.51,23.538,23.677,23.724,22.997,22.354,22.548,23.819,24.537,24.588,25.254,24.347,,28.789,,31.158,34.375,37.845,40.202,37.935,40.181,41.541,42.35,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4,0,36.7,35.8,35.3,37.9,61.4,55.9,69.6,83.9,96.7,72.4,71.7,93.5,87.3,66.2,59.9,84,81,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.342,11.95,12.342,10.803,11.541,10.635,9.972,9.057,10.37,10.127,9.548,8.595,7.71,6.983,5.659,7.757,6.7,9.363,8.967,9.329,9.257,10.591,12.535,15.4,13.918,15.109,17.412,,17.61,,17.99,17.182,18.195,17.975,19.271,21.138,20.461,18.559,18.642,15.766,15.817,15.638,17.206,18.872,285.369,17.432,16.296,15.945,14.937,14.31,13.842,12.254,9.793,9.483,11.116,15.751,18.714,18.918,16.442,20.908,18.701,19.924,16.077,16.478,20.732,58.678,65.25,70.558,62.059,59.005,55.194,59.761,60.324,61.137,61.171,61.815,59.41,62.449,62.761,62.857,62.48,61.891,66.92,63.114,62.019,65.928,41.9,76.9,37.8,38.4,37.1,26.2,30.2,25.6,30.1,14.1,9.1,13.3,24.8,21.5,21,30.7,25,14,23,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.455,111.039,127.904,136.291,139.279,145.384,143.776,157.954,162.546,162.752,177.066,196.621,212.65,205.741,207.696,227.868,230.342,216.918,212.694,221.59,211.226,185.896,183.479,196.534,195.677,174.36,173.013,,178.969,,185.681,201.464,199.529,198.541,213.302,234.955,250.937,239.879,244.568,257.161,255.853,262.189,268.763,273.468,17.389,345.682,351.393,342.099,345.33,350.842,358.138,361.956,361.377,362.924,350.685,357.953,355.455,356.849,355.881,363.61,366.32,366.558,368.334,372.567,358.759,397.684,413.766,428.783,425.732,420.027,433.649,443.47,463.807,462.698,479.291,495.793,508.144,526.404,552.999,563.315,612.161,610.663,615.719,605.785,604.654,605.912,643.6,657.1,671.5,673.1,667,661.4,676.7,683.2,713.3,810.8,859.8,878,932.4,1023.8,1060.9,1109.5,1151.8,1265,1313,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.449,-8.668,-8.237,0,0,0,0,0,-5.772,0,0,0,0,0,0,0,0,0,0,-6.354,-5.99,-6.808,-5.459,-6.033,-5.463,,20.424,,-12.101,-11.576,-11.855,-12.181,-14.221,-14.807,-15.139,-15.536,-19.136,23.539,25.701,27.723,32.049,32.609,31.129,-33.333,-35.12,-36.017,-40.425,-41.332,-40.086,-42.531,-34.805,-34.677,-39.194,-40.217,-42.185,-40.675,-40.012,-36.877,-36.148,-36.044,-37.104,-34.327,-31.323,18.931,5.903,5.706,-7.935,-14.507,-19.702,-17.864,-19.254,-15.636,-18.838,-20.608,-17.689,-12.424,-15.169,-19.378,-23.724,-21.259,-19.604,-22.723,-20.331,-22.124,-27.1,-33.5,-33.1,-32.8,-30.4,-35.5,-39.2,-47.2,-60.4,-126.4,-130.4,-140.3,-155.2,-190.1,-214.5,-213.3,-248.1,-286,-312,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,22.57,23.317,49.079,53.052,21.44,19.049,45.269,106.194,22.094,23.893,20.136,23.185,22.319,21.599,19.226,23.336,24.304,23.287,21.703,26.187,28.09,27.09,25.762,29.543,30.765,27.717,34.632,36.552,40.496,26.351,29.74,48.666,50.068,34.466,48.984,53.539,58.88,45.53,33.274,40.161,54.568,42.46,49.789,33.735,,29.164,,47.475,67.055,48.614,44.922,58.865,68.828,64.131,65.014,71.171,69.808,57.288,52.445,96.149,138.202,84.516,79.83,97.885,109.54,98.768,98.184,110.633,128.611,113.714,113.073,105.473,111.455,111.538,117.647,118.646,128.682,126.379,106.96,120.201,125.108,150.42,139.98,29.607,103.027,508.629,37.427,33.164,37.658,53.997,56.217,56.813,51.609,87.092,83.809,96.965,106.298,96.887,104.717,134.613,135.971,122.579,115.717,141.2,145.7,113.7,135.4,176.9,108.2,112.1,99.9,240.6,256.3,126.4,876.5,154.7,837.9,134.6,129.2,905.2,90,106,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.025,28.411,21.558,37.582,36.619,26.018,26.591,27.253,39.806,22.673,20.114,24.799,32.453,36.538,37.889,40.93,49.197,47.275,29.955,45.38,51.788,78.007,49.844,29.607,103.027,82.134,37.427,33.164,37.658,53.997,56.217,56.813,51.609,87.092,83.809,96.965,106.298,96.887,104.717,134.613,135.971,122.579,115.717,141.2,145.7,113.7,135.4,167.1,108.2,112.1,99.9,138.4,135.1,68.9,797,81.5,777.8,89.8,83.4,98.1,72,96,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,158.733,180.542,203.967,188.033,228.855,251.443,279.209,314.355,239.721,271.06,269.141,271.166,257.482,326.945,339.882,322.012,306.797,372.063,373.781,369.388,375.607,427.287,429.749,403.365,411.841,457.261,463.511,425.001,687.362,541.251,539.222,496.232,515.312,573.715,577.8,540.647,533.26,586.764,612.372,610.651,563.07,616.875,679.98,624.253,,624.265,,602.041,584.881,607.767,608.289,592.354,621.208,691.283,690.86,626.01,620.88,690.847,673.661,665.031,891.939,802.123,844.966,856.86,854.711,708.466,732.116,696.211,840.361,745.568,767.416,657.85,701.944,760.331,785.107,700.401,715.733,806.485,845.669,755.366,758.214,876.701,1212.798,1044.178,1045.829,1530.122,1515.805,1081.635,998.315,1121.929,1191.525,1086.385,1123.242,1244.297,1277.989,2631.16,2601.93,1457.153,1454.808,1365.816,1370.111,1533.121,1578.398,1426.7,1833,1587.1,1652.8,1668.3,1675.7,1616.3,4000.7,2025.6,1987.5,2760.3,2847.3,2876.9,2812.7,3192.3,2817.4,3918.9,4518,2229,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,278.55,282.792,284.767,291.622,366.764,373.26,379.209,392.223,386.065,393.708,396.541,408.82,413.045,589.298,603.323,591.42,619.611,611.77,634.241,777.528,780.828,779.873,809.664,846.993,858.853,877.374,891.294,914.072,945.652,1029.682,1066.399,1082.189,1074.943,1053.714,1062.538,1067.576,1067.292,1058.537,1046.334,1042.432,1038.686,1041.057,1044.89,1065.215,,1123.507,,1166.351,1205.505,1256,1279.366,1295.491,1314.583,1347.44,1405.716,1433.553,1505.184,1704.677,1718.446,1690.529,1683.683,1712.724,1698.139,1692.905,1695.045,1694.417,1693.206,1687.83,1676.321,1697.778,1686.641,1774.291,1768.928,1753.778,1750.941,1753.241,1732.087,1717.386,1782.618,1799.241,1793.536,1775.374,3377.951,3402.77,3365.106,3049.523,3073.534,3156,3262.981,3322.205,3379.613,3423.395,3467.645,3505.26,3521.577,3592.813,3582.494,5113.426,5103.395,5157.229,5644.915,5620.042,5617,5687.9,5663.3,5628.5,5649.7,5695.3,5776.3,5983.3,6028.3,6764.7,6619.6,6566.6,6551.1,6700.2,6662.4,6697.2,6727.6,6557.5,6982,8988,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,752.232,761.898,771.424,777.962,864.262,878.701,896.604,919.862,924.754,942.223,957.856,981.214,998.771,1190.709,1239.674,1242.677,1289.2791,1299.974,1338.3669,1502.512,1524.502,1541.977,1596.819,1653.208,1686.66,1728.253,1764.517,1813.601,1871.376,1976.491,2031.922,2074.422,2097.548,2091.534,2119.669,2146.48,2172.933,2186.696,2190.708,2205.4651,2222.22,2242.291,2270.304,2309.537,,2408.816,,2501.774,2563.178,2641.697,2695.56,2739.327,2786.007,2846.337,2924.336,2978.361,3082.223,3282.172,3315.558,3320.905,3349.606,3408.415,3436.078,3465.978,3500.655,3526.485,3541.058,3568.275,3589.883,3644.58,3662.446,3688.692,3721.378,3739.475,3775.32,3812.587,3824.638,3843.806,3942.138,3976.884,4001.505,3970.472,5624.761,5691.676,5694.546,5421.449,5488.744,5613.198,5778.368,5896.512,6013.084,6115.53,6211.813,6306.083,6375.813,6498.067,6523.364,8118.705,8183.412,8294.963,8837.283,8883.865,8961.683,9115.4,9169,9205.8,9304.7,9408,9544.4,9825,9954.7,10796.7,10662.7,10713.8,10797.3,11044.5,11103.9,11243.7,11385.7,11079.5,11639,13761,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,473.682,479.106,486.657,486.34,497.498,505.441,517.395,527.639,538.689,548.515,561.315,572.394,585.726,601.411,636.351,651.257,669.668,688.204,704.126,724.984,743.674,762.104,787.155,806.215,827.807,850.879,873.223,899.529,925.724,946.809,965.523,992.233,1022.605,1037.82,1057.131,1078.904,1105.641,1128.159,1144.374,1163.033,1183.534,1201.234,1225.414,1244.322,,1285.309,,1335.423,1357.673,1385.697,1416.194,1443.836,1471.424,1498.897,1518.62,1544.808,1577.039,1577.495,1597.112,1630.376,1665.923,1695.691,1737.939,1773.073,1805.61,1832.068,1847.852,1880.445,1913.562,1946.802,1975.805,1914.401,1952.45,1985.697,2024.379,2059.346,2092.551,2126.42,2159.52,2177.643,2207.969,2195.098,2246.81,2288.906,2329.44,2371.926,2415.21,2457.198,2515.387,2574.307,2633.471,2692.135,2744.168,2800.823,2854.236,2905.254,2940.87,3005.279,3080.017,3137.734,3192.368,3263.823,3344.683,3427.5,3505.7,3577.3,3655,3712.7,3768.1,3841.7,3926.4,4032,4043.1,4147.2,4246.2,4344.3,4441.5,4546.5,4658.1,4522,4657,4773,
