GE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,12052,0,0,0,12242,12243,12149,12228,10336,10134,8384,7918,7699,7111,3436,3321,1077,2998,3095,3021,0,306,316,271,0,0,0,0,0,0,0,0,0,0,0,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7390,,,,5764,5821,5431,5238,4881,4246,4241,3701,3088,2244,2037,1875,1500,1547,2719,2884
  + Inventories,BS_INVENTORIES,7420,7485,7445,6707,7425,7557,7461,6398,6735,6610,6411,4574,5026,4995,4766,3824,4333,4500,4670,3880,5294,5254,5229,4395,4894,5051,5061,4473,5226,5376,5412,5895,5975,5564,6202,6049,6398,6576,8133,7007,8786,7878,8466,7812,8200,8220,8440,8565,9297,9139,9341,9247,9198,9218,9047,8752,9007,9605,9734,9778,,,,10474,,,,10032,,,13319,12897,14276,15012,14719,13674,13831,13307,13092,11987,11751,11366,11997,11526,13327,14616,15021,13792,15212,15440,16022,15374,16281,16762,17943,17325,18881,19706,19431,17688,17830,18704,19285,22515,23907,24724,24116,22353,22702,22843,25848,19419,20573,20473,20642,13803,19418,19971,15203,17215,15457,15251,14925,15890,16530,17016,16790,15847,16570,17553,17536,17403,16198,16789,17019,16528,17603,9469,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070,3082,2988,3495,3154,3406,3308,3490,3438,3742,3762,4170,4134,4498,4935,4776,4708,5108,4955,4992,4894,4704,4705,4649,4530,4668,5014,5186,5042,,,,5527,,,,5870,,,7888,7893,8971,9340,9343,8710,8903,8432,8365,7581,7341,6894,7262,6973,8111,8717,9200,8735,9387,9404,9552,9295,9738,9926,10642,10220,10447,10164,10593,9963,9896,10488,10625,13415,14344,14650,13917,12636,13256,12830,13939,10131,10983,10812,11194,8057,10412,10854,8983,8771,9192,8976,8819,7937,8013,8393,8682,8710,9155,10001,10244,10356,10000,10282,10733,11209,11665,7263,7376
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2825,2893,2576,2707,3711,3756,3992,4504,4263,4773,5023,5184,4280,4329,4089,4229,4221,4405,4524,4690,4587,4799,4863,4665,4573,4948,4914,4780,4995,,,,5311,,,,4317,,,5354,5088,5379,5593,5364,5109,4888,4763,4693,4176,4148,4301,4806,4501,5077,5724,5571,5022,5642,6200,6158,6099,6462,6653,6974,6794,7911,8845,8084,7032,7363,7604,7921,8265,8834,9305,9699,8798,8548,9110,10857,8847,9334,9427,9231,5746,8836,8928,6025,5333,6265,6275,6106,5654,6057,6184,5583,4927,5307,5428,5147,5030,4223,4459,4140,3720,3952,1277,1392
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-816,0,0,0,0,0,0,0,-602,0,0,0,0,0,0,0,-234,-305,-350,-267,-351,-609,-323,-232,-259,,,,-364,,,,-155,,,77,-84,-74,79,12,-145,40,112,34,230,262,171,-71,52,139,175,250,35,183,-164,312,-20,81,183,327,311,523,697,754,693,571,612,739,835,729,769,500,919,898,903,1052,441,256,234,217,0,170,189,195,3111,0,0,0,2299,2460,2439,2525,2210,2108,2124,2145,2017,1975,2048,2146,1599,1986,929,949
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15147,0,0,0,2659,36636,35864,36159,1933,2812,2646,2755,2896,2817,2969,2813,3632,3155,1349,0
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,445,210,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5998,0,0,0,2659,2714,2678,2377,1933,2065,1879,2059,1522,1464,1638,1438,1647,1203,1002,
Total Current Assets,BS_CUR_ASSET_REPORT,44366,47169,50548,59238,60888,57894,63560,61823,72921,79399,89002,77051,99906,102867,109050,41886,132619,121026,108392,44963,47621,49963,53456,57020,57077,63321,66608,77257,76748,81837,84721,91301,91385,91920,95015,97307,97841,96280,99645,105850,117215,113292,115982,116848,118267,120609,124852,127605,130074,136714,146642,145700,150126,135377,146400,152872,157235,155941,157568,93086,,,,76298,,,,91554,,,452765,96163,96918,102192,96918,124718,121790,130031,146840,150276,140657,144905,153817,153028,158256,169643,171536,166145,165731,156961,169549,161054,175392,169402,168922,171249,172568,174462,178843,146455,167424,171568,177636,164045,157874,141695,148202,151113,140133,140456,141652,136627,122552,113939,110667,100779,119227,114910,110577,103096,124965,122935,121291,84853,113198,102411,103587,66348,63299,60658,60082,66234,60286,60213,56434,59799,59589,37352,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,15558,16202,16581,16631,17577,17905,18503,18976,18484,18626,20130,20387,20129,20416,20704,21153,21810,22095,22806,23465,24180,25038,24476,25679,26248,27028,28212,28795,29278,29872,31069,32316,32727,33308,34085,35730,35645,35629,37622,41022,41080,42083,40907,40015,40176,41453,42135,42140,42953,44471,44345,49073,47430,50249,49196,53382,57776,61297,61447,63103,,,,67528,,,,70650,,,76292,77888,79210,79925,80095,78530,72222,72937,72993,68970,68016,65358,65538,66212,67504,68846,66094,65739,66000,66660,67388,68633,68411,68762,68741,68827,67743,67900,65460,48070,61219,51039,50704,54095,53786,50436,51453,50518,49016,50167,54100,53874,53650,50866,50638,43612,54280,53803,45856,45879,45979,45503,44830,16699,16296,16169,15873,15609,15036,14790,14295,14478,12170,12374,12203,12494,12345,7095,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,28781,29946,30762,30572,32026,32624,33532,34004,33825,34338,36335,35655,35837,36692,37520,37871,39277,40087,41346,41670,43585,45109,44684,45946,47063,48195,50069,50784,51260,52268,54107,55657,56791,57461,59183,61100,61554,62171,65276,68359,69251,70830,69613,67990,68953,70860,72641,71287,72814,75384,76184,82082,81057,85907,84707,91206,99016,102974,103929,105872,,,,111729,,,,109371,,,117694,119311,122680,124870,127594,125671,116171,118117,118916,112909,112450,108976,110234,110032,111549,113029,109757,108117,108970,109612,111043,114568,114504,115165,115873,116469,115869,116377,112580,83191,102637,87209,87332,90022,89855,86317,87575,85897,84140,86320,91421,89608,90214,87216,87516,75619,90053,89822,78166,74880,78432,78820,76885,32099,34701,35027,34841,31904,33971,33647,33000,31633,28810,29144,28970,27332,29280,16525,
    - Accumulated Depreciation,BS_ACCUM_DEPR,13223,13744,14181,13941,14449,14719,15029,15028,15341,15712,16205,15268,15708,16276,16816,16718,17467,17992,18540,18205,19405,20071,20208,20267,20815,21167,21857,21989,21982,22396,23038,23341,24064,24153,25098,25370,25909,26542,27654,27337,28171,28747,28706,27975,28777,29407,30506,29147,29861,30913,31839,33009,33627,35658,35511,37824,41240,41677,42482,42769,,,,44201,,,,38721,,,41402,41423,43470,44945,47499,47141,43949,45180,45923,43939,44434,43618,44696,43820,44045,44183,43663,42378,42970,42952,43655,45935,46093,46403,47132,47642,48126,48477,47120,35121,41418,36170,36628,35927,36069,35881,36122,35379,35124,36153,37321,35734,36564,36350,36878,32007,35773,36019,32310,29001,32453,33317,32055,15400,18405,18858,18968,16295,18935,18857,18705,17155,16640,16770,16767,14838,16935,9430,9620
  + LT Investments & Receivables,BS_LT_INVEST,42932,51896,56965,59325,56301,57910,63408,65170,66826,57024,65554,70293,67752,73199,71878,69259,81091,84466,89046,82393,87564,91016,97089,105789,104595,105688,107163,115132,112050,114066,113401,121454,121820,127185,134967,146355,149127,154688,156646,167337,168774,171474,172190,178815,176644,179389,188198,213557,212137,225591,230359,198060,241692,255167,253911,226029,269078,290113,292312,282699,,,,287639,,,,321736,,,,376123,409763,415302,413170,365168,347647,351601,340688,319247,346939,324145,322294,303012,301102,292917,285844,279918,272694,264848,262564,257238,248455,246942,243835,241940,237005,231084,226553,13445,68040,70827,72353,21156,11903,12001,11863,25162,27382,28924,29809,20356,20780,20787,20905,17431,19371,19176,17133,40689,16136,15555,15571,42549,40786,48795,42394,42209,39845,36195,33624,36048,38262,37392,35528,38000,38705,38129,39514
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347647,351601,340688,319247,346939,324145,322294,303012,301102,292917,285844,279918,272694,264848,262564,257238,248455,246942,243835,241940,237005,231084,226553,13445,68040,70827,72353,21156,11903,12001,11863,25162,27382,28924,29809,20356,20780,20787,20905,17431,19371,19176,17133,2057,16136,15555,15571,,,6130,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,25243,20141,19987,18690,22683,23944,24002,22290,25677,34476,26823,25145,29091,30490,31599,119208,34570,34316,34629,35050,38655,38985,39910,39547,42293,46044,47199,51218,51992,53122,56163,58941,63822,66469,70508,76543,79123,81786,86311,90991,94568,97191,102062,101328,102898,103896,104912,111721,115572,134112,134177,182411,144386,174064,177426,215200,178017,189734,193293,311619,,,,241856,,,,212743,,,232649,245509,247999,249569,239367,229353,219148,223599,227325,243408,221743,215522,217175,225541,200975,208429,214226,206518,203294,205652,199379,198074,178432,175435,179940,174544,174936,178423,179165,446984,320948,317492,280617,253775,238630,197329,176176,138390,135112,135926,152477,158388,161128,157177,129481,149250,122204,124220,89443,75513,74941,72494,72623,112110,74884,70184,75279,74708,73781,73897,72876,71028,53754,53027,52497,52752,53303,40614,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19121,19675,19939,21377,23635,24330,24727,25567,26010,27159,27241,27136,27441,27156,27475,28106,35124,31715,43718,44637,46180,48648,50216,50086,55025,57083,80878,81372,78456,,,,81630,,,,84314,,,105033,94903,99069,100371,96164,94382,95398,99052,99890,76827,76455,74040,74359,74359,79212,82334,85724,84693,84880,84139,84871,85094,84555,84684,92250,91958,93917,93815,92216,66389,83137,75852,75278,83325,83102,83747,86767,86876,86828,89264,108503,104240,106131,102192,79217,46152,70247,68925,37432,37388,36979,35119,35186,35194,34715,34951,34520,35512,34337,33816,33000,33423,19097,19299,18967,19079,18851,13253,
