GE US Equity,"=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,12052,12242,10336,7699,1077,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7390,5764,4881,3088,1500
  + Inventories,BS_INVENTORIES,6707,6398,4574,3824,3880,4395,4473,5895,6049,7007,7812,8565,9247,8752,9778,10474,10032,12897,13674,11987,11526,13792,15374,17325,17688,22515,22353,19419,13803,17215,15890,15847,17403,16528
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,3028,3070,3154,3438,4134,4708,4894,4530,5042,5527,5870,7893,8710,7581,6973,8735,9295,10220,9963,13415,12636,10131,8057,8771,7937,8710,10356,11209
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,1445,2825,3711,4263,4280,4221,4587,4573,4995,5311,4317,5088,5109,4176,4501,5022,6099,6794,7032,8265,8798,8847,5746,5333,5654,4927,5030,3720
    + Other Inventory,BS_OTHER_INV,,,,,,,,,-816,0,-602,-364,-234,-351,-259,-364,-155,-84,-145,230,52,35,-20,311,693,835,919,441,0,3111,2299,2210,2017,1599
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15147,2659,1933,2896,3632
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5998,2659,1933,1522,1647
Total Current Assets,BS_CUR_ASSET_REPORT,59238,61823,77051,41886,44963,57020,77257,91301,97307,105850,116848,127605,145700,152872,93086,76298,91554,96163,124718,150276,153028,166145,161054,171249,146455,164045,151113,136627,100779,103096,84853,66348,66234,59799
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,16631,18976,20387,21153,23465,25679,28795,32316,35730,41022,40015,42140,49073,53382,63103,67528,70650,77888,78530,68970,66212,65739,68633,68827,48070,54095,50518,53874,43612,45879,16699,15609,14478,12494
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,30572,34004,35655,37871,41670,45946,50784,55657,61100,68359,67990,71287,82082,91206,105872,111729,109371,119311,125671,112909,110032,108117,114568,116469,83191,90022,85897,89608,75619,74880,32099,31904,31633,27332
    - Accumulated Depreciation,BS_ACCUM_DEPR,13941,15028,15268,16718,18205,20267,21989,23341,25370,27337,27975,29147,33009,37824,42769,44201,38721,41423,47141,43939,43820,42378,45935,47642,35121,35927,35379,35734,32007,29001,15400,16295,17155,14838
  + LT Investments & Receivables,BS_LT_INVEST,59325,65170,70293,69259,82393,105789,115132,121454,146355,167337,178815,174140,198060,226029,282699,287639,321736,376123,365168,319247,303012,279918,257238,241940,13445,21156,25162,20356,17431,40689,42549,42209,36048,38000
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,319247,303012,279918,257238,241940,13445,21156,25162,20356,17431,2057,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,18690,22290,25145,119208,35050,39547,51218,58941,76543,90991,101328,151138,182411,215200,311619,241856,212743,245509,229353,243408,225541,206518,198074,174544,446984,253775,138390,158388,149250,75513,112110,74708,71028,52752
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,19121,23635,26010,27441,35124,46180,55025,78456,81630,84314,94903,94382,76827,74359,84693,85094,91958,66389,83325,86876,104240,46152,37388,35194,35512,33423,19079
    + Goodwill,BS_GOODWILL,,,,,,,,16136,20672,23106,23512,28287,39138,47487,67365,69611,71399,81116,81759,65076,64388,72625,73114,77648,53207,65526,70438,83968,33974,26734,25524,26182,25798,13385
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,2985,2963,2904,3929,6837,7042,7538,11091,12019,12915,13787,12623,11751,9971,12068,11980,14310,13182,17799,16438,20272,12178,10654,9670,9330,7625,5694
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,131,0,275,6183,3105,1833,8819,12117,9889,14253,10855,11705,10575
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,8009,7489,10041,3940,0,617,1005,671,441,174,452,484,691,482,437
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,27084,27754,44052,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,18690,22290,25145,119208,35050,39547,51218,39820,52908,64981,73887,116014,136231,160175,233163,160226,128429,150606,134971,116360,103514,65880,105725,79972,50266,45389,34195,38976,26954,23675,21430,24473,22526,20966
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,94646,106436,115825,209620,140908,171015,195145,212711,258628,299350,320158,367418,429544,494611,657421,597023,605129,699520,673051,631625,594765,552175,523945,485311,508499,329026,214070,232618,210293,162081,171358,132526,121554,103246
Total Assets,BS_TOT_ASSET,153884,168259,192876,251506,185871,228035,272402,304012,355935,405200,437006,495023,575244,647483,750507,673321,696683,795683,797769,781901,747793,718320,684999,656560,654954,493071,365183,369245,311072,265177,256211,198874,187788,163045
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,4303,2636,4725,4315,4726,6573,7280,8203,9296,10717,12735,13684,14118,15002,16819,16711,20742,22208,17410,11025,11644,14151,13641,13057,15233,-6126,8831,-8484,-22355,-4979,5704,-6520,225,9481
Cash from Operating Activities,CF_CASH_FROM_OPER,9036,7497,10249,10187,13392,14946,17851,14240,19360,24593,22690,32389,30001,29229,36484,37691,30646,43322,48601,24417,36124,33359,31331,28579,27709,19891,-244,6554,4978,8734,3568,3332,5916,5179
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-2936,-3908,-3031,-3588,-4986,-4905,-6397,-6137,-4939,-9240,-7200,-8175,-7699,-4827,-7254,-8354,-9116,-9346,-5035,-2157,-2592,-6770,-8935,-7575,-4211,-4289,-2775,-1112,-2534,-1837,-1376,-1083,-1162,-1506
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,1587,1092,1793,1139,2506,1542,1363,2251,4043,6262,6767,7345,6357,4952,5838,6027,6796,8457,10975,6479,7208,5867,6184,5883,2923,3020,4424,5530,4093,379,203,167,209,89
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-4523,-5000,-4824,-4727,-7492,-6447,-7760,-8388,-8982,-15502,-13967,-15520,-14056,-9779,-13092,-14381,-15912,-17803,-16010,-8636,-9800,-12637,-15119,-13458,-7134,-7309,-7199,-6642,-6627,-2216,-1579,-1250,-1371,-1595
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,-5577,-7254,-4683,-4164,-9525,-11309,-2278,-1898,-6301,-13088,-16076,-13952,-18082,-4687,-15280,-16400,-37651,-44237,-17484,36665,21773,14785,6979,2715,1260,1043,200,805,4330,-1600,-1352,-1290,-876,-986
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,
    + Inc in LT Investment,CF_INCR_INVEST,-5577,-7254,-4683,-4164,-9525,-11309,-2278,-1898,-6301,-13088,-16076,-13952,-18082,-4687,-15280,-16400,-37651,-44237,-17484,,,,,,,,,,,,,,,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,2136,1850,-2325,2162,18381,-1461,-9744,3086,486,8424,6920,-85,20806,-30,-365
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,9978,3062,8877,3618,20023,630,2283,5357,3208,8425,6988,0,22356,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-7842,-1212,-11202,-1456,-1642,-2091,-12027,-2271,-2722,-1,-68,-85,-1550,-30,-365
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,-7396,-5199,-5839,-7829,-1900,-9003,-11537,-10240,-28893,-19851,-14423,-18181,-36681,-12329,-15880,-10345,-4635,-15921,-12882,3758,10249,6527,11157,14625,23409,-5012,2213,5085,8676,8714,1548,5271,3879,9794
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,1976,1156,7665,-61,971,-24031,77490,46478,115,-616,-3220,17936,-2396,459,-2960
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-15909,-16361,-13553,-15581,-16411,-25217,-20212,-18275,-40133,-42179,-37699,-40308,-62462,-21843,-38414,-35099,-51402,-69504,-35401,42378,32436,19882,11302,29117,-5034,59488,49202,5379,18280,8977,16671,21308,2270,3977
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-1678,-1780,-1925,-2153,-2462,-2770,-3050,-3411,-3913,-4587,-5401,-6358,-7157,-7643,-8278,-9352,-10420,-11492,-12408,-8986,-4790,-6458,-7189,-7821,-8852,-9295,-8806,-8650,-4474,-649,-648,-575,-639,-589
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,10045,11342,7168,6023,7357,15537,9074,11146,26075,26790,6640,15552,37207,3522,9874,8790,43550,53106,-935,-30342,-48915,-35908,-40704,-28102,-30190,-57546,-58411,-12642,-21542,-13842,-18772,-36867,-2935,-3404
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,-1777,-702,-781,-364,-353,-2523,-2323,-2815,-2819,-1002,469,-2435,-985,726,3993,-4844,-8554,-12319,13722,623,-1263,-1456,-204,-8288,-1218,-1099,-21429,-2550,0,0,0,-107,-1048,-7028
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,708,410,425,406,771,,,0,0,0,469,,,726,3993,0,0,0,14971,623,0,0,3960,990,0,0,0,0,0,0,0,0,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-2485,-1112,-1206,-770,-1124,-2523,-2323,-2815,-2819,-1002,0,-2435,-985,0,0,-4844,-8554,-12319,-1249,0,-1263,-1456,-4164,-9278,-1218,-1099,-21429,-2550,0,0,0,-107,-1048,-7028
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,0,0,0,1948,-1988,259,28,785,-114,622,12942,2047,3873,-237,-995,-713,-1345,-1358,18757,-3204,-6281,-3093,-2958,-1418,-652,-1607,-1274,-85,-1328,-1196,-342,-7747,-963,408
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,-1604,-337,52,-19,56,23956,-6507,789,5443,-4462,-446,-90,119,0,2000
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,6590,8860,4462,5454,2554,10503,3729,5705,19229,21823,14650,8806,32938,-3632,4594,-6119,23231,27937,19136,-43513,-61586,-46863,-51074,-45573,-16956,-76054,-89131,-18484,-31806,-16133,-19852,-45177,-5585,-8613
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,795,-333,-841,1278,-795,-3495,-3463,-1146,891,-628,-50,145,-213,-369,120
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,-283,-4,1158,60,-465,232,1368,1670,-1544,4237,-359,887,477,3754,2664,-3527,2475,1755,32336,24077,6641,5537,-7163,11328,2224,-138,-41319,-5660,-9176,1528,532,-20750,2232,663
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,1392,1937,2098,1597,2604,1487,948,1539,1339,3254,2869,2912,3237,2535,2671,2919,-3237,-2487,-2955,2486,7469,-1924,-1404,1950,1441,1165,1127,1148
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,18610,11654,2332,12429,21570,14407,18703,11498,11573,17215,28110,7842,1212,11202,1456,1642,2091,12027,2271,2722,1,68,85,1550,30,365
Free Cash Flow,CF_FREE_CASH_FLOW,4513,2497,5425,5460,5900,8499,10091,5852,10378,9091,8723,16869,15945,19450,23392,23310,14734,25519,32591,15781,26324,20722,16212,15121,20575,12582,-7443,-88,-1649,6518,1989,2082,4545,3584
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,5159.2402,3102.1121,5938.1464,5815.7913,6182.5105,8941.4377,10496.567,6441.2872,10992.3475,9654.0674,9288.5901,17458.8993,16402.7286,20190.1286,24204.5141,24498.0122,16129.6538,27211.1821,34629.5042,,27806.6553,21650.8053,17367.7443,16398.2073,22035.0711,12936.4962,,,,,,,5610.2635,4574.5357
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,16145,14931,14386,12622,15763,25578,20528,19249,40496,42143,22130,39766,59509,27924,39104,38127,65080,87082,,,-15683,-10350,-18308,-7098,-6692,-41956,-62086,-7636,-19545,-7405,-17054,-34855,1530,-32
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,3.3898,1.9158,4.2192,4.2623,4.6038,6.73,8.1371,4.765,8.4658,7.3963,7.051,13.5876,12.824,15.5305,17.9938,17.6424,11.3787,20.0503,25.8659,11.8945,19.7535,15.6525,12.325,11.8341,16.3863,10.1223,-6.5977,-0.081,-1.5179,5.9743,1.8181,1.8962,4.1469,3.2911
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,6.7503,15.9256,8.082,9.813,8.8361,8.5335,9.6923,24.5654,19.2207,33.3774,32.5373,14.117,9.0873,9.5467,9.708,9.508,15.6504,8.8483,2.9974,6.0877,4.4313,5.4761,8.1505,11.3357,7.3805,14.7278,14.9926,,,9.3003,29.5752,31.0061,12.5748,30.9286
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,2.0999,2.8441,2.1691,2.3608,2.8337,2.2738,2.4521,1.736,2.0826,2.2948,1.7817,2.3669,2.125,1.9483,2.1692,2.2555,1.4775,1.9507,2.7916,2.2147,3.1024,2.3574,2.2968,2.1888,1.819,,-0.0276,,,,0.6255,,26.2933,0.5463
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,57662,53837,52252,54966,59316,69276,78541,88540,99820,110832,129417,125679,131197,133585,133417,146273,149689,169469,180929,153432,148442,141479,144121,142937,116406,115158,119687,99279,97012,90221,75833,74196,76555,67954
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,103777,100437,94522,100149,100542,106758,105808,110390,91942,88940,87419,72968,71090,73602,64565
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,37858,34407,32106,32452,33507,38046,41917,47737,51246,55317,62934,74757,80399,61468,76463,84411,87843,99300,112101,95808,89251,84950,88763,89084,87872,84994,87483,75593,69403,64852,57871,53896,55535,50392
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,78938,74725,71190,77167,79817,80961,77277,82003,70703,69403,64852,57871,53896,55535,50392
Gross Profit,GROSS_PROFIT,19804,19430,20146,22514,25809,31230,36624,40803,48574,55515,66483,50922,50798,72117,56954,61862,61846,70169,68828,57624,59191,56529,55358,53853,28534,30164,32204,23686,27609,25369,17962,20300,21020,17562
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,0,0,0,0,1006,1151,0,0,0,778,2227,4005,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,13409,13559,14181,16446,17367,21416,25609,30949,34694,39717,47437,30643,32313,51942,36984,38984,38769,44604,49539,47939,45230,40771,39729,39961,17963,23043,22154,32459,43398,21880,18590,16623,19301,14966
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,16848,17831,18377,14257,14643,13806,12592,11716,12781,9195
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3415,3118,2565,2497,2813,1907
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,37354,38054,36841,35897,35143,1115,5212,3777,18202,25340,4956,3433,2410,3707,3864
Operating Income (Loss),IS_OPER_INC,6395,5871,5965,6068,8442,9814,11015,9854,13880,15798,19046,20279,18485,20175,19970,22878,23077,25565,19289,10691,15112,15758,15629,13892,11349,9348,14055,-8773,-15789,3489,-628,3677,1719,2596
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,827,1027,-4401,-1752,-2259,1086,1162,5025,2572,5198,3543,-6598,7360,307,-7596
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,810,811,817,569,941,979,,1523,1664,1782,1305,1467,1093,1239,1312,1579,1706,5025,4655,4766,2927,2068,1876,1607,1118
    + Interest Expense,IS_INT_EXPENSE,918,865,738,516,410,649,595,797,883,810,811,817,569,941,979,1432,1668,1993,2153,1478,1600,1299,1353,1333,1579,1706,5025,4655,4766,2927,2068,1876,1607,1118
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,145,329,371,173,133,206,114,21,0,0,0,0,0,0,0,0,0,0
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,-667,-413,-894,0,,0,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,189,-27,-4600,-2991,-3571,-493,-544,0,-2083,432,616,-8666,5484,-1300,-8714
"Pretax Income (Loss), Adjusted",PRETAX_INC,6229,5798,6026,6287,8831,9941,11075,11419,13742,15942,18873,20049,19217,20214,20499,23682,24192,27528,19782,9864,14085,20159,17381,16151,10263,8186,9030,-11345,-20987,-54,5970,-3683,1412,10192
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,0,0,0,0,0,0,0,0,0,769,2800,1500,-423,880,-2754,45.6154,-1417.9231,2013,2068.5615,-3413,17419,26458,5769,-5940,6239,2719,-6026
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,158.4615,-867.6923,,-90,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,127,739,438,,,,1258.4615,,,,,326,,824,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,-119,-3557,-233.8462,,-91,-623,-3444,,,135,,44,-51,9
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,-450,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,-1269.2308,4,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,455,253,387,141,767,312,239,31,1459,1370,2828,-9777,1782,-269,-1585
"Pretax Income (Loss), GAAP",PRETAX_INC,6229,5798,6026,6287,8831,9941,11075,11419,13742,15942,18873,20049,19217,20214,20499,23682,24192,27528,19782,9864,14085,20159,17381,16151,10263,8186,9030,-11345,-20987,-54,5970,-3683,1412,10192
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,1844,1742,1836,1952,2746,3164,3526,2976,4181,4860,5711,5573,3758,4315,3486,4035,3950,4155,1052,-1142,1033,5745,2534,676,773,6485,-464,-2808,93,552,-487,-286,476,1162
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,4385,4056,4190,4335,6085,6777,7549,8443,9561,11082,13162,14476,15459,15899,17013,19647,20242,23373,18730,11006,13052,14414,14847,15475,9490,1701,9494,-8537,-21080,-606,6457,-3397,936,9030
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,1348,-588,-131,1189,0,0,0,0,0,0,444,1015,587,-534,1950,-1362,249,679,-219,873,-29,983,2120,-5855,7495,954,312,1363,4306,911,3194,644,-414
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,-219,873,-29,983,2120,-5855,7495,954,312,1363,4306,911,3194,644,-414
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
