NEE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,-16,62,30,207,-19,81,104,-127,84,-108.12,48.7692,-371.0769,-137.0769,-136.3846,343.1538,-359.3077,-294,-203.4615,-497,-3505,-122,2058,1700,959,-1633
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,30.7692,-269.2308,-290.0769,52.3077,81.5385,-235.3846,-290,141.5385,216,248,546,877,2042,890,-1949
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,-60,-67,66,-157,-54,-132,-86,-40,-112,-111,,-50,-77,-602,-125
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,105,4,,20,35,87,16,311,3.0769,21,7,446,11,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,-4,1,-8,-353,-77,-522,-811
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,-76,,,,,,,,-3786,-124,123,-42,-243,1294
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,58,6.1538,,-47.6923,4.6154,-8,40,-447,-1111,-80,-341,1641,130,116,65
"Pretax Income (Loss), GAAP",PRETAX_INC,463.668,588.725,772.283,721.911,865.551,925.307,897.044,941,958,1035,1055,1175,954,1274,1154,1183,1678,1680,2089,1942,2489,2452,2603,2454,3645,3990,4378,4663,7352,3836,2413,3175,3832,7288
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,121.893,171.321,261.433,250.499,307.282,328.594,293.862,304,279,323,336,379,244,368,267,282,397,368,450,327,532,529,692,777,1176,1228,1379,-660,1576,448,44,348,586,1006
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,341.775,417.404,510.85,471.412,558.269,596.713,603.182,637,679,712,719,796,710,906,887,901,1281,1312,1639,1615,1957,1923,1911,1677,2469,2762,2999,5323,5776,3388,2369,2827,3246,6282
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,689.18,135.57,0,0,0,0,0,0,0,0,0,,222,3,0,0,0,0,0,0,0,0,0,-231,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,-231,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,-347.405,281.834,510.85,471.412,558.269,596.713,603.182,637,679,712,719,796,488,903,887,901,1281,1312,1639,1615,1957,1923,1911,1908,2469,2762,2999,5323,5776,3388,2369,2827,3246,6282
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,4,10,93,-57,-862,-381,-550,-746,-901,-1028
"Net Income, GAAP",NET_INCOME,-347.405,281.834,510.85,471.412,558.269,596.713,603.182,637,679,712,719,796,488,903,887,901,1281,1312,1639,1615,1957,1923,1911,1908,2465,2752,2906,5380,6638,3769,2919,3573,4147,7310
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,43.6,41.256,43.901,42.663,39.558,43.402,23.732,19,15,15,15,15,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,-391.005,240.578,466.949,428.749,518.711,553.311,579.45,618,664,697,704,781,473,890,887,901,1281,1312,1639,1615,1957,1923,1911,1908,2465,2752,2906,5380,6638,3769,2919,3573,4147,7310
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,-391.005,240.578,466.949,428.749,518.711,553.311,579.45,618,664,697,704,781,473,890,887,901,1281,1312,1639,1615,1957,1923,1911,1908,2465,2752,2906,5380,6638,3769,2919,3573,4147,7310
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,31.7,-297.2,-89.1,-88.65,362.9,-233.55,-180.9847,231.2278,-2302.05,-3107.2,293,1354.13,1326.34,707.04,-967.75
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,689.18,135.57,0,0,0,0,0,0,0,0,0,,222,3,0,0,0,0,0,0,0,0,0,-231,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
