NEE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,326.543,303.112,365.346,438.957,388.01,395.864,384.53,374.63,370.996,371.891,356.879,382.08,349.004,349.032,314.573,329.599,311.168,309.072,310.894,309.308,305.917,298.661,261.735,247.323,238.507,260.501,274.751,268.186,294.17,287.884,277.676,302,289,282,278,282,275,301,308,343,312,320,331,370,340,373,341,349,283,358,310,448,407,408,,458,410,376,377,394,442,475,467,567,,777,,785,719,814,868,857,836,1096,1019,968,871,906,884,877,852,826,895,857,875,1072,1045,1074,1092,1082,1055,1073,1098,1120,1142,1153,1148,1178,1269,1292,1249,1278,1344,1259,1287,1254,1309,1289,1303,1313,1273,1273,1205,1159,1083,1223,1410,1427,1451,1328,1371,1367,1414,1552,1604,1596,1744,1561,1586,1642,1791,1934,1915,1931,2074,2106,2131,2155,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,0,0,0,306.052,0,0,0,148.92,35.238,40.432,153.642,221.903,123.14,128.486,153.227,152.941,87.027,101.539,71.402,89.88,147.574,120.839,216.452,209.522,229.534,240.969,345.632,247.912,189.172,158.955,208.28,244,243,306,341,238,143,180,282,187,198,478,445,645,726,748,560,535,546,428,403,552,850,1029,,1067,850,898,1512,1123,1650,1684,3194,2826,,2084,,2252,1772,1731,1455,1136,1513,2288,1970,2446,2726,2239,1534,1791,2316,2159,2495,2590,1934,1821,2878,2049,2465,2011,1503,2348,1366,1395,1884,2474,2601,2321,1857,3270,2861,2634,2171,3181,3607,2712,2836,3044,2289,2042,1950,1974,1976,2018,4315,2230,3649,2472,2380,3198,2951,2814,3079,2462,2523,2854,3931,3710,4627,5368,4039,5606,6084,6037,6568,6956,5788,5496,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,35.992,,,,34.879,,,,37.289,,,,33.982,,,,48.465,,,,34.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,0,0,0,306.052,0,0,0,148.92,35.238,40.432,153.642,185.911,123.14,128.486,153.227,118.062,87.027,101.539,71.402,52.591,147.574,120.839,216.452,175.54,229.534,240.969,345.632,199.447,189.172,158.955,208.28,209.051,243,306,341,238,143,180,282,187,198,478,445,645,726,748,560,535,546,428,403,552,850,1029,,1067,850,898,1512,1123,1650,1684,3194,2826,,2084,,2146,1772,1731,1455,1136,1513,2288,1970,2446,2726,2239,1534,1791,2316,2159,2495,2590,1934,1821,2878,2049,2465,2011,1503,2348,1366,1395,1884,2474,2601,2321,1857,3270,2861,2634,2171,3181,3607,2712,2836,3044,2289,2042,1950,1974,1976,2018,4315,2230,3649,2472,2380,3198,2951,2814,3079,2462,2523,2854,3931,3710,4627,5368,4039,5606,6084,6037,6568,6956,5788,5496,
Total Current Assets,BS_CUR_ASSET_REPORT,1160.434,1237.174,1347.101,1386.554,989.264,1070.934,1205.046,1143.941,1128.932,1058.849,1378.803,1095.713,1374.0341,1818.87,1682.845,1251.3571,1081.512,1098.141,1244.754,949.647,1003.92,1047.236,1146.3571,985.348,928.46,1042.7371,1276.344,1173.531,1332.0229,1322.5031,1570.58,1101,1042,1629,1771,1266,1428,1597,1618,1373,1077,1610,1843,1781,1794,1863,2006,1602,1561,1826,2219,1908,2261,2540,,2470,2266,2363,3288,2527,3159,3390,6031,4987,,4367,,4830,3941,4701,4384,3779,4279,5488,6308,5392,5154,4869,4176,4337,5557,5299,5776,5258,4519,4813,6252,4872,5094,4854,4437,5237,4045,4735,5472,5842,6141,6099,5633,6944,6297,6346,6657,6795,7096,6512,6747,7409,5827,5947,7157,7181,5612,5885,8349,6393,8222,7471,7679,7408,9725,7581,9026,7382,8237,8061,9572,9288,10988,14332,12891,13490,13549,13122,14244,15361,12680,12803,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,8174.1479,8251.5674,8319.2051,8421.9043,8557.7324,8662.9238,8884.3867,9080.8496,9180.2871,9352.4424,9455.9297,9866.2998,9931.8242,10280.8809,10261.1475,10289.4551,10192.6084,10291.4922,10175.7139,10202.834,10133.7344,10025.8115,9936.8369,9851.9814,9699.0391,9588.9512,9457.2461,9383.8887,9615.1816,9528.8652,9392.4355,9354,9204,8906,8838,8555,8674,9083,9142,9264,9316,9456,9642,9934,10139,10637,11284,11662,12271,12964,13172,17700,16455,16969,,20297,20469,20660,20744,21226,21471,21804,22142,22421,,23878,,24499,25171,25825,27714,28652,29451,30499,31345,32411,33053,34197,35216,36078,36854,37578,38301,39075,39937,40854,41117,42490,43968,45495,47693,49413,49824,50460,51399,52720,53306,54031,55067,55705,56233,58310,59835,61386,62894,64157,65617,66912,68400,69656,72416,72289,67196,68659,68572,70334,74794,76136,78995,82010,83873,86326,88855,91803,94304,96811,99141,99348,101935,105393,108447,111059,114929,117740,120883,125776,129193,133113,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,12379.5381,12570.4844,12755.373,12697.8535,13151.6064,13181.2129,13490.6699,13771.2529,13990.3506,14282.8027,14476.8691,14972.3662,15159.4609,15600.7559,15733.1621,15880.7197,15953.0498,16200.2998,16226.4131,16389.5332,16487.4199,16612.8242,16604.3828,16725.2305,16813.3125,16898.7715,16901.3164,17033.623,17521.6973,17651.166,17633.8555,17820,17908,17955,17991,17952,18346,19000,19171,19554,19867,20220,20582,21022,21429,22145,22747,23388,24224,24868,25156,26505,27527,28256,,30272,30661,30998,31135,31720,32124,32619,33017,33309,,35179,,36152,36978,37805,39905,41040,41940,43182,44246,45528,46464,47856,49225,50169,51267,52180,53359,54221,55305,56141,56223,57552,59261,60948,63430,64917,65490,66411,67855,69448,70367,71433,72911,73639,74678,77264,79205,80330,82320,83740,85863,87013,89168,90704,93783,93565,88115,89751,90325,92083,98158,100051,103743,107178,109757,112198,115375,118103,121244,124435,127852,128247,131454,135510,139230,142322,146923,149878,153580,159265,163303,168278,
    - Accumulated Depreciation,BS_ACCUM_DEPR,4205.3901,4318.917,4436.168,4275.9502,4593.874,4518.2891,4606.2832,4690.4028,4810.064,4930.3608,5020.939,5106.0659,5227.6372,5319.875,5472.0151,5591.2651,5760.4419,5908.8081,6050.6992,6186.6992,6353.686,6587.0132,6667.5459,6873.25,7114.2739,7309.8208,7444.0708,7649.7339,7906.5161,8122.3008,8241.4189,8466,8704,9049,9153,9397,9672,9917,10029,10290,10551,10764,10940,11088,11290,11508,11463,11726,11953,11904,11984,8805,11072,11287,,9975,10192,10338,10391,10494,10653,10815,10875,10888,,11301,,11653,11807,11980,12191,12388,12489,12683,12901,13117,13411,13659,14009,14091,14413,14602,15058,15146,15368,15287,15106,15062,15293,15453,15737,15504,15666,15951,16456,16728,17061,17402,17844,17934,18445,18954,19370,18944,19426,19583,20246,20101,20768,21048,21367,21276,20919,21092,21753,21749,23364,23915,24748,25168,25884,25872,26520,26300,26940,27624,28711,28899,29519,30117,30783,31263,31994,32138,32697,33489,34110,35165,
  + LT Investments & Receivables,BS_LT_INVEST,1880.708,1839.311,1859.1591,224.96,323.897,330.287,332.629,234.052,729.005,760.203,786.002,336.984,852.435,847.945,943.759,291.03,1057.016,931.164,1014.199,158.226,474.721,495.553,477.239,158,426.696,382.37,400.195,296,284.428,,,311,395,399,369,391,490,546,578,611,655,782,655,651,686,901,994,1035,738,718,681,697,742,760,,810,855,663,734,740,867,684,614,474,,437,,533,455,430,466,391,415,442,500,923,939,946,979,935,970,943,1028,971,931,954,931,907,937,957,971,976,981,1045,1085,1121,1148,1262,1384,1399,1527,1613,1781,1786,1892,2114,2380,2482,2759,2950,2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,1007.195,990.247,631.227,588.218,499.114,471.547,424.595,604.876,390.573,438.733,455.277,736.802,495.575,523.601,552.752,920.932,540.835,547.94,533.74,934.135,520.716,526.026,527.571,929.897,517.541,516.226,502.991,698.903,588.776,1901.683,1917.38,833,728,764,773,771,428,762,2182,841,872,899,1241,1437,1486,1573,1562,1556,1259,986,982,959,1015,1069,,1110,1153,1191,1596,3840,1587,1754,2481,2707,,2474,,3136,3113,3337,3507,3819,3815,3999,4130,3148,3329,3350,3462,3718,4052,4017,4039,3948,3983,4031,4617,5052,5104,5013,4725,4623,4580,4556,4636,4843,4870,5164,5079,5715,5627,5722,6666,7374,7589,7347,7670,7756,8594,8581,9930,10169,8667,8595,8828,14341,12918,13196,13735,13367,14064,14297,14182,14457,15841,15765,16023,16648,17778,18456,21560,19922,22013,22126,22535,21102,22371,22845,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,174,,,,196,0,0,0,221,0,0,0,248,0,0,0,113.0003,0,0,0,487,0,0,0,332,0,0,0,247,0,,,240,0,,,509,0,,,1962,,,,2004,,,,2064,,,,2123,3488,3496,4129,5094,4201,4213,4214,5431,4853,4846,4844,6144,4844,4843,4872,6199,5184,5184,5043,8353,5085,5087,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,89,,,,89,,,,110,,,,113,,,,117,,,,147,,,,151,,,,149,,,,147,,,,778,,,,779,,,,764,,,,891,3488,3496,4129,4204,4201,4213,4214,4254,4853,4846,4844,4844,4844,4843,4872,4854,5184,5184,5043,5091,5085,5087,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,185,,,,96,,,,91,,,,362,,,,1184,,,,1225,,,,1300,,,,1232,,,,890,0,0,0,1177,0,0,0,1300,,,,1345,0,0,0,3262,,0,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
