PG US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,1864,1931,1982,1987,1940,1910,1991,1879,1874,1908,1900,1800,1900,2000,2000,2000
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,0,0,0,1576,308,0,2028,0,0,0,8345,0,0,0,0,1341
Operating Income (Loss),IS_OPER_INC,2702,2867,3161,3580,4244,4815,5488,6055,6253,5954,4736,6678,7853,9827,10469,13249,15450,16637,15374,15732,15818,13035,13817,13910,11049,13441,13955,13363,5487,15706,17986,17813,18134,18545
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,961,864,629,507,-362,401,37,72,698,37,-582,-128,371,-182,-219,-216
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,484,457,548,,,,603,561,,,1119,1304,1.5,1358,946,831,692,579,610,477,397,294,259,289,310,457,388,449,452
    + Interest Expense,IS_INT_EXPENSE,395,510,552,482,488,484,457,548,650,722,794,603,561,629,834,1119,1304,1.5,1358,946,831,769,667,709,626,579,465,506,509,465,502,439,756,925
    - Interest Income,IS_INT_INC,,,,,,,,0,,,,0,0,,,0,0,0,0,0,0,77,88,99,149,182,171,247,220,155,45,51,307,473
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,-397,-82,-202,-185,-941,-209,-440,-325,404,-222,-871,-438,-86,-570,-668,-668
"Pretax Income (Loss), Adjusted",PRETAX_INC,2687,2885,349,3346,4000,4669,5249,5708,5838,5536,4616,6383,7530,9350,9981,12413,14710,17097.5,14413,14868,15189,12528,14179,13509,11012,13369,13257,13326,6069,15834,17615,17995,18353,18761
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,0,0,0,481,814,1475,958,751,,,,,,436.7215,429.1338,461.8308,2616.7323,903.3108,1248.5646,4223,1015,537.4615,895,7678.1646,445,826,168,289,2033
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,-41,-293,-176,-678,7,-16,-85,-40,-215
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,246,49,,2174,450,,,1600,,,,,1341
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,-946.8092,,-766,,-110,,-446.8354,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,429.1338,461.8308,135.7477,225.4308,89.3754,28,13,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,360.6892,402.1892,2166,,-1.5385,,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,2687,2885,349,3346,4000,4669,5249,5708,5838,5536,4616,6383,7530,9350,9981,12413,14710,17097.5,14413,14868,15189,12528,14179,13509,11012,13369,13257,13326,6069,15834,17615,17995,18353,18761
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,914,1013,80,1135,1355,1623,1834,1928,2075,1994,1694,2031,2344,2869,3058,3729,4370,3834,3733,4017,3392,3378,3226,2851,2725,3342,3063,3465,2103,2731,3263,3202,3615,3787
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,1773,1872,269,2211,2645,3046,3415,3780,3763,3542,2922,4352,5186,6481,6923,8684,10340,13263.5,10680,10851,11797,9150,10953,10658,8287,10027,10194,9861,3966,13103,14352,14793,14738,14974
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,925,0,0,0,0,0,,0,0,0,,0,0,0,0,-277,-2756,-1995,0,-1754,-449,-1127,1143,-577,-5217,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,-2756,-1995,0,-1754,-449,-1127,1143,-577,-5217,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,1773,1872,-656,2211,2645,3046,3415,3780,3763,3542,2922,4352,5186,6481,6923,8684,10340,13540.5,13436,12846,11797,10904,11402,11785,7144,10604,15411,9861,3966,13103,14352,14793,14738,14974
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,110,,148,90,142,108,96,85,111,69,76,46,51,85,95
