AAPL US Equity,"=BDH($A$1, $B6, ""19901201"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,671.655,580.097,1506.6379,1088.434,1775,662,437,78,20,33,11,45,56,101,165,270,346,509,455,1051,776,791,1764,2111,2349,2132,4855,3956,4106,4061,6580,4946,6331
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,141,32,4,1,1,9,2,1,0,0,0,,,,,124,683,471,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,15,5,3,2,0,,4,0,0,0,0,,,,,0,0,0,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,281,41,13,30,10,36,50,100,165,270,346,,,,,667,1081,1640,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,392.077,455.612,557.468,548.815,566,612,493,365,358,414,330,441,499,716,979,2877,4332,4964,4275,9497,12891,16803,17874,23883,28579,21828,31735,37896,35230,32589,39339,53971,46172
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,309,157,728,1200,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,37,107,516,150,214,1635,1945,1399,1630,1274,2806,2609,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,2794,7597,9633,12870,14207,17930,26634,20429,30105,36622,32424,29980,39339,53971,46172
Total Current Assets,BS_CUR_ASSET_REPORT,2863.6101,3558.394,4338.355,4476.4521,5224,4515,3424,3698,4285,5427,5143,5388,5887,7055,10300,14509,21701,30006,31555,41678,44988,57653,73286,68531,89378,106869,128645,131339,162819,143713,134836,135405,143566
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,447.978,462.221,659.546,667.1,711,598,486,348,318,313,564,621,669,707,817,1281,1832,2455,2954,4768,7777,15452,16597,20624,22471,27010,33783,41304,37378,45336,49527,52534,54376
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,1036.014,1135.64,1412.657,1452.188,1492,1348,1195,824,729,700,924,1057,1174,1298,1481,2075,2841,3747,4667,7234,11768,21887,28519,39015,49257,61245,75076,90403,95957,112096,119810,124874,125260
    - Accumulated Depreciation,BS_ACCUM_DEPR,588.036,673.419,753.111,785.088,781,750,709,476,411,387,360,436,505,591,664,794,1009,1292,1713,2466,3991,6435,11922,18391,26786,34235,41293,49099,58579,66760,70283,72340,70884
  + LT Investments & Receivables,BS_LT_INVEST,0,,0,0,0,0,0,0,339,786,128,39,0,0,0,0,0,2379,10528,25391,55618,92122,106215,130162,164065,170430,194714,170799,105341,100887,127877,120805,100544
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,182.009,203.078,173.511,159.194,296,251,323,243,558,277,186,250,259,288,434,1415,1345,1331,2464,3346,7988,10837,10902,12522,14431,17377,18177,22283,32978,33952,38762,44011,54097
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,0,0,0,76,119.8,109,97,96,177,420,559,453,1083,4432,5359,5756,8758,9009,8620,8015,0,0,0,0,0,0
    + Goodwill,BS_GOODWILL,,,,,,,,,,30,66,85,85,80,69,38,38,207,206,741,896,1135,1577,4616,5116,5414,5717,0,0,0,0,0,0
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,-30,10,34.8,24,17,27,139,382,352,247,342,3536,4224,4179,4142,3893,3206,2298,0,0,0,0,0,0
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,844,799,1600,3000,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,182.009,203.078,173.511,159.194,296,251,323,243,558,277,110,130.2,150,191,338,1238,925,772,1167,1464,1956,2478,5146,3764,5422,8757,10162,22283,32978,33952,38762,44011,54097
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,629.987,665.299,833.057,826.294,1007,849,809,591,1215,1376,878,910,928,995,1251,2696,3177,6165,15946,33505,71383,118411,133714,163308,200967,214817,246674,234386,175697,180175,216166,217350,209017
Total Assets,BS_TOT_ASSET,3493.5969,4223.6929,5171.4121,5302.7461,6231,5364,4233,4289,5161,6803,6021,6298,6815,8050,11551,17205,24878,36171,47501,75183,116371,176064,207000,231839,290345,321686,375319,365725,338516,323888,351002,352755,352583
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,309.841,530.373,86.589,310.178,424,-816,-1045,309,601,786,-25,65,69,276,1328,1989,3495,6119,8235,14013,25922,41733,37037,39510,53394,45687,48351,59531,55256,57411,94680,99803,96995
Cash from Operating Activities,CF_CASH_FROM_OPER,128.671,883.746,-661.837,736.995,-240,519,188,775,798,826,185,89,289,934,2329,2220,5470,9596,10159,18595,37529,50856,53666,59713,81266,66231,64225,77434,69391,80674,104038,122151,110543
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-218.348,-194.853,-213.118,-159.587,-159,-67,-53,43,-24,-96,-232,-174,-164,-176,-260,-657,-735,-1091,-1213,-2121,-7452,-9402,-9076,-9813,-11488,-13548,-12451,-13313,-10495,-7309,-11085,-10708,-10959
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,0,0,0,0,0,89,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-218.348,-194.853,-213.118,-159.587,-159,-67,-53,-46,-47,-107,-232,-174,-164,-176,-260,-657,-735,-1091,-1213,-2121,-7452,-9402,-9076,-9813,-11488,-13548,-12451,-13313,-10495,-7309,-11085,-10708,-10959
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,0,0,0,0,0,24,133,140,339,,,5,0,-25,-17,-38,,,,,,,,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,0,0,0,0,0,24,245,372,340,,,5,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,0,0,0,0,0,0,-112,-232,-1,,,,0,-25,-17,-38,,,,,,,,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,0,-638,-244,-350,-496,-3765,-343,-297,-329,-721,-624,-1524,-33,-306,0
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,0,-638,-244,-350,-496,-3765,-343,-297,-329,-721,-624,-1524,-33,-306,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,276.672,-717.781,705.884,157.785,-243,-52,-480,-610,-1073,-974,785,-78,992,-1317,-2296,1039,-2497,-7060,-16221,-11095,-32723,-38475,-24202,-9001,-44443,-32132,-33666,30100,57015,4544,-3427,-11340,14664
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,58.324,-912.634,492.766,-1.802,-402,-119,-533,-543,-964,-930,892,-252,828,-1488,-2556,357,-3249,-8189,-17434,-13854,-40419,-48227,-33774,-22579,-56274,-45977,-46446,16066,45896,-4289,-14545,-22354,3705
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-56.509,-57.196,-55.593,-56.572,-58,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2488,-10564,-11126,-11561,-12150,-12769,-13712,-14119,-14081,-14467,-14841,-15025
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,25.936,35.895,638.721,-233.627,167,371,-161,-22,0,0,0,0,0,-300,0,0,0,0,0,0,0,0,16896,18266,29305,22057,29014,432,-7819,2499,12665,-123,-9901
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,73.043,-55.401,-188.165,82.081,86,39,184,41,11,-31,42,105,27,427,543,324,742,1240,745,1663,1964,2016,-21629,-43531,-33961,-29227,-32345,-72069,-66116,-72358,-85971,-89402,-77550
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,257.72,157.224,85.289,82.081,86,39,184,41,86,85,42,105,53,427,543,679,742,1240,745,1663,1964,2016,1231,1469,1292,495,555,669,781,0,0,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-184.677,-212.625,-273.454,0,0,0,0,0,-75,-116,0,0,-26,0,0,-355,0,0,0,0,0,0,-22860,-45000,-35253,-29722,-32900,-72738,-66897,-72358,-85971,-89402,-77550
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,-48.036,0,0,0,0,0,0,0,0,0,,0,0,0,-3,-124,-82,-406,-520,-1226,-1082,-1158,-1499,-1570,-1874,-2527,-2922,-2880,-5580,-6383,-6012
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,42.47,-76.702,346.927,-208.118,195,396,23,19,11,-31,42,105,27,127,543,324,739,1116,663,1257,1444,-1698,-16379,-37549,-17716,-20890,-17974,-87876,-90976,-86820,-93353,-110749,-108488
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,229.465,-105.59,177.856,527.075,-447,796,-322,251,-155,-135,1119,-58,1144,-427,316,2901,2960,2523,-6612,5998,-1446,931,3513,-415,7276,-636,-195,5624,24311,-10435,-3860,-10952,5760
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,33,11,15,33,47,42,11,45,-7,17,194,863,1267,2997,2697,3338,7682,9128,10026,13252,10444,11591,10417,15263,9501,25385,19573,18679
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,-8,,19,52,,0,0,0,0,220,0,638,244,350,496,3765,343,297,329,721,624,1524,33,306,
Free Cash Flow,CF_FREE_CASH_FLOW,-89.677,688.893,-874.955,577.408,-399,452,135,729,751,719,-47,-85,125,758,2069,1563,4735,8505,9015,16590,33269,42561,45501,50142,70019,53497,51774,64121,58896,73365,92953,111443,99584
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,-867.6389,601.9929,-373.8997,,,787.231,792.7855,734.0774,,-76.7816,130.913,760.1619,2069,1563,4735,8505,9015,16590,33269,42561,45601.4293,50425.6759,70558.7201,54580.8863,53526.5531,66766.7133,61901.8484,75823.4788,95246.1552,113899.0472,102938.0949
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,-63.741,,,343.781,-232,823,124,796,774,656,-123,-85,125,458,2069,1563,4735,8505,9015,16590,33269,42561,62397,68408,99324,75554,80788,64553,51077,75864,105618,111320,89683
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,-0.0067,0.0502,-0.0656,0.0434,-0.029,0.0326,0.0096,0.0493,0.0468,0.0396,-0.0024,-0.0043,0.0062,0.0364,0.0914,0.0661,0.1956,0.3445,0.3605,0.6515,1.2855,1.626,1.7562,2.0599,3.0425,2.4447,2.4809,3.2349,3.1885,4.228,5.5656,6.8724,6.3251
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,9.6542,10.624,5.2898,7.9683,6.5803,5.7145,12.256,7.4111,19.5983,6.7148,10.1253,,61.6535,31.5704,28.0902,45.8157,36.1687,8.847,20.8749,17.6827,11.2514,11.6887,11.4092,13.3965,8.6492,11.8442,17.0532,12.1904,23.0241,31.3835,31.9048,18.906,30.439
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,0.4153,1.6663,-7.6434,2.376,-0.566,,,2.5081,1.3278,1.0509,,1.3692,4.1884,3.3841,1.7538,1.1161,1.5651,1.5682,1.2336,1.327,1.4478,1.2186,1.449,1.5113,1.522,1.4497,1.3283,1.3007,1.2558,1.4052,1.0988,1.2239,1.1397
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,6308.8491,7086.542,7976.9541,9188.748,11062,9833,7081,5941,6134,7983,5363,5742,6207,8279,13931,19315,24578,37491,42905,65225,108249,156508,170910,182795,233715,215639,229234,265595,260174,274515,365817,394328,383285
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,42905,65225,108249,156508,170910,182795,233715,215639,229234,265595,260174,274515,365817,394328,383285
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,3314.1179,3991.3369,5248.834,6844.915,8204,8865,5713,4462,4438,5817,4128,4139,4499,6020,9889,13717,16426,24294,25683,39541,64431,87846,106606,112258,140089,131376,141048,163756,161782,169559,212981,223546,214137
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,25683,39541,64431,87846,106606,112258,140089,131376,141048,163756,161782,169559,212981,223546,214137
Gross Profit,GROSS_PROFIT,2994.7312,3095.2051,2728.1201,2343.833,2858,968,1368,1479,1696,2166,1235,1603,1708,2259,4042,5598,8152,13197,17222,25684,43818,68662,64304,70537,93626,84263,88186,101839,98392,104956,152836,170782,169148
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,2323.3391,2289.397,2296.926,1948.4139,2197,2172,1771,1211,1310,1546,1568,1557,1683,1910,2399,3145,3745,4870,5482,7299,10028,13421,15305,18034,22396,24239,26842,30941,34462,38668,43887,51345,54847
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,996,,,1111,,1421,1864,2433,2963,3761,4149,5517,7599,10040,10830,11993,14329,14194,15261,16705,18245,19916,21973,25094,24932
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,1333,1782,2429,3381,4475,6041,8067,10045,11581,14236,16217,18752,21914,26251,29915
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),IS_OPER_INC,671.392,805.808,431.194,395.419,661,-1204,-403,268,386,620,-333,46,25,349,1643,2453,4407,8327,11740,18385,33790,55241,48999,52503,71230,60024,61344,70898,63930,66288,108949,119437,114301
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,-326,-155,-415,-522,-1156,-980,-1285,-1348,-2745,-2005,-1807,-803,-258,334,565
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,-107,-61,-61,-183,-394,-647,-653,-407,-311,-519,-1088,-1480,-1411,-2188,-2543,-2878,-2446,-1385,-890,-198,106,183
    + Interest Expense,IS_INT_EXPENSE,,,11.8,39.653,39.9,60,71,62,47,21,16,11,8,3,0,0,0,0,0,0,0,0,136,384,733,1456,2323,3240,3576,2873,2645,2931,3933
    - Interest Income,IS_INT_INC,,,,,,,,,,210,218,118,69,64,183,394,647,653,407,311,519,1088,1616,1795,2921,3999,5201,5686,4961,3763,2843,2825,3750
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,48,33,81,156,104,566,324,431,903,1195,133,441,-422,87,-60,228,382
"Pretax Income (Loss), Adjusted",PRETAX_INC,499.744,855.442,139.659,500.286,674,-1295,-1045,329,676,1085,-52,87,92,383,1808,2818,5006,8947,12066,18540,34205,55763,50155,53483,72515,61372,64089,72903,65737,67091,109207,119103,113736
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,179,667,-26,27,-269,-62,29,26,23,0,,0,0,0,0,0,0,0,205,91,-461,-739,-256,31,-82,-284,0,0
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,-236,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,-548,-640,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,499.744,855.442,139.659,500.286,674,-1295,-1045,329,676,1085,-52,87,92,383,1808,2818,5006,8947,12066,18540,34205,55763,50155,53483,72515,61372,64089,72903,65737,67091,109207,119103,113736
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,189.903,325.069,53.07,190.108,250,-479,0,20,75,306,-15,22,24,107,480,829,1511,2828,3831,4527,8283,14030,13118,13973,19121,15685,15738,13372,10481,9680,14527,19300,16741
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,309.841,530.373,86.589,310.178,424,-816,-1045,309,601,786,-37,65,68,276,1328,1989,3495,6119,8235,14013,25922,41733,37037,39510,53394,45687,48351,59531,55256,57411,94680,99803,96995
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,0,-12,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,309.841,530.373,86.589,310.178,424,-816,-1045,309,601,779,-25,65,69,276,1328,1989,3495,6119,8235,14013,25922,41733,37037,39510,53394,45687,48351,59531,55256,57411,94680,99803,96995
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",NET_INCOME,309.841,530.373,86.589,310.178,424,-816,-1045,309,601,786,-25,65,69,276,1328,1989,3495,6119,8235,14013,25922,41733,37037,39510,53394,45687,48351,59531,55256,57411,94680,99803,96995
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,309.841,530.373,86.589,310.178,424,-816,-1045,309,601,786,-25,65,69,276,1328,1989,3495,6119,8235,14013,25922,41733,37037,39510,53394,45687,48351,59531,55256,57411,94680,99803,96995
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,309.841,530.373,86.589,310.178,424,-816,-1045,309,601,786,-25,65,69,276,1328,1989,3495,6119,8235,14013,25922,41733,37037,39510,53394,45687,48351,59531,55256,57411,94680,99803,96995
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,26,,,,,,0,0,0,0,0,133.25,59.15,-299.65,-480.35,-193.28,24.49,-64.78,-224.36,0,0
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,0,-12,,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
