TSLA US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.222,28.588,29.518,39.508,45.182,50.823,54.312,49.216,50.082,55.427,66.669,159.048,268.504,237.618,254.891,347.545,340.355,450.73,596.927,752.492,953.675,1054.84,1212.279,1293.717,1277.838,1301.961,1609.607,1604.571,2067.454,2220.336,2438.111,2471.382,2263.537,2565.826,3324.643,3314.127,3113.446,3836.85,3382.358,3581,3552,4494,4018,4218,4101,4132,4733,5199,5757,6691,8108,10327,12839,14375,14356,13721,13626,16033,14195,14530
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.001,9.739,12.013,15.518,15.936,18.091,19.155,15.675,12.095,15.867,31.074,83.974,163.637,115.966,99.734,164.346,184.665,197.779,235.279,361.837,392.292,370.553,395.171,393.691,528.935,507.529,436.953,353.751,680.339,693.499,558.109,612.225,821.396,902.19,972.739,997.476,931.828,1079.216,1095.888,1284,1428,1653,1842,1573,1508,1836,2067,2355,2816,3822,4949,5381,6137,6405,5968,5817,5390,5584,5768,5555
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.403,3.766,2.576,3.281,4.538,5.611,4.01,6.848,3.665,0.197,1,25.525,24.535,41.698,47.874,38.608,42.5,64.431,48.11,74.981,56.114,63.058,99.116,86.587,163.83,199.157,289.307,329.938,233.746,254.684,266.32,277.155,243.181,315.227,350.443,358.113,296.991,277.155,334.641,335,362,494,420,572,493,454,858,1061,1089,1306,1370,2237,2385,2458,2202,2246,2016,2507,1977,1791
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.038,12.644,11.686,16.52,20.125,21.375,24.971,20.025,26.12,22.489,16.589,30.845,62.559,63.255,77.86,102.387,69.324,132.234,250.03,226.023,397.318,492.645,597.329,692.437,476.512,472.834,754.828,791.6,1016.731,1141.556,1470.359,1418.385,1013.909,1125.665,1721.86,1657.339,1581.763,2151.012,1600.214,1583,1356,1961,1379,1674,1666,1341,1318,1252,1277,977,1185,2067,3475,4591,5193,4550,5049,6747,5254,5950
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,2.439,3.243,4.189,4.583,5.746,6.176,6.668,8.202,16.874,18.006,18.704,17.773,16.699,29.423,42.204,43.866,56.286,63.508,89.651,107.951,128.584,120.663,121.002,108.561,122.441,128.519,129.282,136.638,130.597,143.323,163.617,185.051,222.744,279.601,301.199,302.864,329.467,351.615,379,406,386,377,399,434,501,490,531,575,586,604,642,842,921,993,1108,1171,1195,1196,1234
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.222,4.537,6.745,97,84.436,55.168,20.758,66.267,32.89,46.302,28.88,30.636,27.532,27.819,15.05,28.525,30.586,49.918,73.25,82.798,94.081,156.449,127.021,159.078,138.295,177.737,169.203,156.689,299.984,360.611,431.87,459.587,423.688,499.573,568.856,483.859,558.222,595.858,697.754,893,959,1045,1218,1238,1346,1542,1602,1746,1723,2035,2118,2364,2941,3227,2997,2708,3388,3752,4325,4888
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.574,,61.536,,76.134,135.756,106.43,,115.667,153.757,144.678,132.978,194.465,271.665,313.501,321.406,268.365,379.379,422.034,325.232,365.671,464.908,569.748,660,713,1045,1218,1238,1346,1542,1602,1746,1723,2035,2118,2364,2941,3227,2997,2708,3388,3752,4325,4888
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.222,4.537,6.745,97,84.436,55.168,20.758,66.267,32.89,46.302,28.88,30.636,27.532,27.819,15.05,28.525,3.012,49.918,11.714,82.798,17.947,20.693,20.591,159.078,22.628,23.98,24.525,23.711,105.519,88.946,118.369,138.181,155.323,120.194,146.822,158.627,192.551,130.95,128.006,233,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.559,100.602,90.034,241.133,235.886,226.906,417.758,412.121,372.838,358.897,317.126,284.541,524.768,525.993,1129.542,1218.766,1265.939,3156.047,3441.694,3362.914,3180.073,2921.417,2628.621,2998.795,2782.006,3239.543,5203.705,5172.412,6259.796,7027.889,6359.444,7068.733,6570.52,6383.92,6699.797,7920.491,8306.308,7677.822,10181.952,10940,12103,14893,15336,21744,26717,24705,24693,25002,27100,29050,31222,35990,40917,42997,43875,45026,49616,50535,52977,56379
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.535,26.866,33.156,37.153,114.636,143.372,189.647,248.122,298.414,364.128,421.859,486.248,552.229,581.997,595.579,654.482,738.494,849.389,1035.822,1404.326,1829.267,2224.191,2646.017,3103.811,3403.334,3593.014,3993.25,4309.048,5982.957,7016.551,8399.229,9394.397,10027.522,10519.226,10969.348,11246.295,11330.077,11103.956,11330.735,11424,11614,11835,12283,13223,14305,15515,17399,19260,23395,22208,23278,24177,26111,27769,29741,31381,33905,35803,37465,40983
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.265,41.555,50.367,56.442,136.629,168.19,214.266,276.501,330.636,399.186,460.24,531.598,609.772,656.93,690.544,770.864,878.636,1018.724,1240.512,1647.773,2121.857,2566.577,3049.886,3576.58,3974.46,4266.103,4777.236,5221.154,6980.442,8181.494,9736.64,10929.958,11751.316,12511.774,13158.071,13700.634,14029.175,14022.543,14579.045,14952,15348,15907,16713,18037,19422,20904,23223,25492,30126,29474,31065,32498,35152,37523,40223,42621,45962,48655,51113,55677
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,14.689,17.211,19.289,21.993,24.818,24.619,28.379,32.222,35.058,38.381,45.35,57.543,74.933,94.965,116.382,140.142,169.335,204.69,243.447,292.59,342.386,403.869,472.769,571.126,673.089,783.986,912.106,997.485,1164.943,1337.411,1535.561,1723.794,1992.548,2188.723,2454.339,2699.098,2918.587,3248.31,3528,3734,4072,4430,4814,5117,5389,5824,6232,6731,7266,7787,8321,9041,9754,10482,11240,12057,12852,13648,14694
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.302,486.35,472.663,463.878,456.652,449.754,434.841,422.897,421.548,413.181,400.308,398,393,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,506.302,486.35,472.663,463.878,456.652,449.754,434.841,422.897,421.548,413.181,400.308,398,393,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,17.852,24.784,83.335,35.56,37.011,38.75,40.007,42.196,38.075,37.884,38.388,37.193,35.788,162.723,292.961,412.497,494.974,576.947,670.293,821.327,974.422,1193.547,1444.891,1882.599,2359.145,2671.997,3110.937,9915.021,10522.936,10812.369,11180.066,11600.678,9918.529,9806.014,9673.03,9681.681,9717.565,9959.602,10033,10199,10522,10516,10724,11126,12752,13054,13572,11636,14780,14013,14259,15310,16067,16975,17534,23097,22888,22390,22490
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,12.816,,,,376.145,429.592,424.613,417.474,421.739,407.712,364.69,356.702,350.651,347.88,480.833,537,537,516,508,521,520,1836,1797,1730,457,1715,655,637,593,583,649,625,615,605,597,595
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,40.984,43.766,45.236,60.237,61.284,64.284,65.226,68.159,74.312,153.475,186,198,193,196,203,207,206,203,201,200,200,196,191,194,195,263,250,253,250,249,253
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,12.816,,,,376.145,388.608,380.847,372.238,361.502,346.428,300.406,291.476,282.492,273.568,327.358,351,339,323,312,318,313,1630,1594,1529,257,1515,459,446,399,388,386,375,362,355,348,342
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,17.852,24.784,83.335,35.56,37.011,38.75,40.007,42.196,38.075,37.884,38.388,37.193,35.788,162.723,292.961,412.497,494.974,576.947,670.293,821.327,974.422,1193.547,1444.891,1869.783,2359.145,2671.997,3110.937,9538.876,10093.344,10387.756,10762.592,11178.939,9510.817,9441.324,9316.328,9331.03,9369.685,9478.769,9496,9662,10006,10008,10203,10606,10916,11257,11842,11179,13065,13358,13622,14717,15484,16326,16909,22482,22283,21793,21895
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.865,44.718,57.94,120.488,150.196,180.383,228.397,288.129,340.61,402.203,459.743,524.636,589.422,617.785,758.302,947.443,1150.991,1344.363,1612.769,2074.619,2650.594,3198.613,3839.564,4548.702,5285.933,5952.159,6665.247,7419.985,16404.28,18025.837,19684.261,21038.341,22084.852,20887.509,21210.203,21342.222,21433.306,21234.702,21690.645,21855,22206,22357,22799,23947,25431,28267,30453,32832,35031,36988,37291,38436,41421,43836,46716,48915,57002,58691,59855,63473
