BYDDY US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5719.758,,,,2756.21,,,2478.898,4319.314,3906.072,3111.917,3522.282,3731.462,4316.838,3879.376,3774.796,5587.754,4594.606,4234.018,6498.936,9352.355,5891.287,3836.197,6240.152,6798.81,3954.054,5809.411,6581.799,6362.378,4399.212,4183.255,5583.781,6973.003,4102.347,4457.287,5983.922,0,0,3607.569,5014.359,7009.379,7087.322,7327.397,7759.08,8862.34,10091.271,9935.519,9475.28,8743.126,15539.243,10970.135,10213.413,12894.284,25839.856,7682.528,31831.044,5564.924,6823.7,6292.399,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300.286,9311.724,6945.928,8656.731,6986.619,5096.889,5315.367,4958.09,5346.105,5897.064,6473.789,8394.972,8493.382,9280.454,7545.726,11810.129,13552.998,11382.663,5081.675,4368.108,2660.319,2316.586,2395.091,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4371.661,4408.407,5383.399,6720.784,7179.217,6537.852,,,7164.176,6595.797,7212.189,7205.269,7282.044,7344.833,7962.8,8593.491,8865.441,8220.552,8362.696,9115.431,9888.041,9978.317,10835.904,13250.603,16234.457,15750.55,16490.447,16044.181,17792.667,17378.439,17102.32,18144.296,20132.187,19872.804,24761.863,24989.06,28167.379,26330.345,28714.138,28047.626,27540.926,25571.564,26829.232,27794.288,32892.862,31396.358,35813.906,39686.413,40699.2,43354.782,53433.422,57235.044,73434.508,79107.199,88278.571,86900.482,92711.639,87676.748,98778.886,112753.013,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558.455,,2373.031,,2172.018,,,,2353.132,,2627.706,,2658.154,,2885.776,,2635.294,,2737.213,,3107.408,,3655.821,,4608.747,,4729.04,,3999.587,,4798.548,,5175.401,,6091.527,,6119.794,,5710.149,,4514.436,,4918.576,,4899.31,,7811.328,,11208.507,,15832.786,,20501.246,,18566.999,,18728.287,,23021.746,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.292,,1926.321,,1588.463,,,,1932.692,,2115.066,,2245.421,,3316.66,,3345.397,,3904.212,,4147.742,,5613.801,,5935.112,,6999.196,,6350.115,,7663.766,,8995.702,,11457.791,,11747.481,,12639.156,,10982.781,,9401.746,,9912.37,,14447.071,,14360.249,,18979.944,,26812.272,,29001.53,,30236.001,,29238.58,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413.567,,2058.613,,2315.228,,,,2309.973,,2462.497,,2441.258,,2391.055,,2239.861,,2474.006,,2723.167,,3980.981,,5206.691,,4315.945,,7028.737,,5681.982,,5701.701,,7439.742,,8463.07,,9698.321,,10074.347,,13473.966,,16584.678,,17428.014,,17786.026,,22422.314,,31793.681,,39331.953,,38712.46,,60492.687,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.093,,362.819,,462.143,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.038,678.755,663.177,1549.231,1890.166,1883.154,,,1495.286,1284.226,896.747,1205.801,845.761,1108.981,762.566,2074.39,1811.483,3658.078,1541.908,3368.291,3164.428,3561.029,2777.117,3787.217,3853.723,3863.682,4040.345,4136.399,4464.355,5372.668,5719.844,5948.162,5723.627,15021.95,15315.268,15084.252,11744.347,22145.353,15537.01,14768.342,11405.411,11790.951,10236.767,11783.164,10051.69,11045.382,14908.757,13942.267,13387.796,13873.307,17183.89,26779.562,36523.312,24501.054,25515.405,37670.262,26880.195,25840.363,27527.35,33339.853,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.132,,,,698.873,,,711.667,598.728,562.613,546.461,513.612,527.974,523.388,410.041,418.19,326.427,455.794,398.708,289.503,338.611,192.084,185.886,204.94,226.962,341.44,265.834,343.889,205.939,307.434,264.386,380.615,848.811,605.427,326.382,353.931,358.822,297.584,300.013,288.951,362.761,526.853,1192.801,1106.009,724.35,1240.311,1427.302,1485.224,2036.577,2776.919,2312.22,6064.295,8223.567,5961.382,4279.607,3217.365,2215.413,3010.857,5030.675,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.517,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,18.207,,5.045,,0,,,,1.095,,1.285,,0.451,,14.387,,34.345,,60.923,,0.024,,,,31.6,,16.739,,11.544,,13064.442,,19.761,,142.426,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1621.922,,1698.335,,1873.863,,2208.646,,2199.715,,2666.165,,3724.859,,4006.494,,4375.109,,4849.461,,4407.296,,5952.238,,4426.86,,4174.685,,2962.552,,3382.946,,4633.926,,5954.239,,11258.125,,13353.285,,12034.922,,14314.187,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.038,430.623,662.66,1549.231,1890.166,1184.281,,,783.619,685.498,334.134,659.34,332.149,581.007,239.178,1664.349,1393.293,1709.729,1086.114,1271.248,2874.925,1348.555,2585.033,1392.685,3648.783,1418.798,3698.905,1199.355,4120.466,1441.87,5412.41,1677.282,5343.012,9796.935,14709.841,9907.124,11390.416,17378.784,15239.426,8501.704,11116.46,6966.985,9709.914,6354.755,8945.681,7358.456,13668.446,9132.019,11902.572,7171.204,14406.971,18496.364,30459.017,5007.818,19554.023,6972.928,23662.83,11570.267,24516.493,13852.565,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16089.222,17196.8,16271.901,16370.596,16821.014,18552.541,,,19835.73,21424.455,21442.629,21496.577,21642.495,21932.116,22724.248,25627.908,28368.035,29864.748,28473.876,37148.056,38403.194,40733.096,38604.336,39280.039,47741.252,54411.666,51066.219,58850.9,70414.591,78240.081,77591.345,83126.454,91896.516,102684.392,104619.749,111930.046,114602.362,115210.575,115986.082,114212.984,111621.276,106966.605,101528.167,108849.577,107774.544,111605.11,133680.278,129172.786,145333.579,166110.189,174204.81,182568.582,216323.93,240803.507,256761.554,266007.134,275133.017,302121.446,292893.774,298431.61,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19804.821,20568.298,23637.511,25280.039,26951.042,29430.749,,,34312.246,39338.061,35124.104,39417.969,34958.944,39463.832,34959.181,39644.632,35333.966,40340.13,35627.431,40688.748,36936.819,43299.311,38810.836,44687.475,40871.778,46619.183,42703.577,49040.361,44630.561,51736.616,47402.596,53974.077,49407.006,56962.22,52386.532,59717.456,52140.033,59788.797,55637.556,64813.703,59345.102,67359.22,61040.864,67612.037,61626.805,68224.24,62242.578,72335.103,70163.554,92731.977,91890.813,118030.493,142823.131,197629.483,207277.665,262134.679,253110.875,303957.871,281410.121,312303.157,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25392.548,,,,36059.285,,,,48398.553,,49866.026,,51274.283,,52900.755,,55089.898,,57091.693,,60968.106,,63712.85,,67169.356,,71719.31,,75668.181,,80145.413,,85915.858,,91912.802,,94069.225,,102648.878,,108254.494,,111453.993,,115347.013,,123410.045,,145786.419,,176661.251,,262414.43,,341269.973,,402552.645,,436789.353,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4824.25,,,,6628.536,,,,9060.492,,10448.057,,11810.451,,13256.123,,14749.768,,16402.945,,17668.795,,19025.375,,20550.173,,22678.949,,23931.565,,26171.336,,28953.638,,32195.346,,34280.428,,37835.175,,40895.274,,43841.956,,47122.773,,51074.942,,53054.442,,58630.758,,64784.947,,79135.294,,98594.774,,124486.196,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.942,1.927,13.052,11.139,11.139,0,,,15.732,15.192,3.697,3.295,2.695,2.985,2.662,2.405,2.965,9.487,4.099,52.374,35,35,35,35,35,3071.357,2290.36,2775.796,2774.004,3225.238,3508.26,3710.698,4207.373,4252.167,4110.816,3619.876,2708.849,1794.544,2625.508,3805.233,2201.197,2065.814,2060.89,1966.782,1943.942,1799.193,1710.933,1933.308,1952.89,3235.308,3626.4,4860.133,5226.358,6650.729,7081.318,12254.646,7986.843,8106.167,9414.813,9297.06,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.942,1.927,13.052,11.139,11.139,0,,,15.732,15.192,3.697,3.295,2.695,2.985,2.662,2.405,2.965,9.487,4.099,52.374,35,35,35,35,35,3071.357,2290.36,2775.796,2774.004,3225.238,3508.26,3710.698,4207.373,4252.167,4110.816,3619.876,2708.849,1794.544,2625.508,2109.215,2201.197,2065.814,2060.89,1966.782,1943.942,1799.193,1710.933,1933.308,1952.89,3235.308,3626.4,4858.957,5226.358,6650.729,7081.318,7710.765,7986.843,8106.167,9414.813,9297.06,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.018,,,,,,,,,,,,1.176,,,,4543.881,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.821,2968.572,3048.881,3872.653,5649.193,5891.373,,,8457.604,4846.684,9727.453,5984.701,11004.542,7311.555,11652.631,6721.368,11906.459,7800.468,13120.944,8790.317,13930.9,9941.448,14775.428,11255.853,18011.429,11383.549,16145.398,11067.78,16105.153,11868.843,17823.908,12923.743,19216.648,14200.651,20978.439,16029.45,22657.141,17777.161,24576.543,17091.861,25058.001,19249.954,26733.353,19208.009,25453.726,19388.778,26159.475,19453.335,34410.862,33702.673,47351.74,40483.673,61857.433,48776.927,75982.424,50736.948,87052.761,65362.186,94064.913,66212.883,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.544,829.356,831.614,905.854,1018.854,1288.686,,,6007.248,2481.005,7077.562,3148.721,7914.365,3669.368,8439.396,4172.007,9092.722,4995.181,10029.905,5658.229,10624.147,6372.879,11099.03,6885.116,11945.753,7168.73,12019.059,7149.413,11620.474,6825.025,12801.231,7694.999,13511.348,8283.537,14847.77,9258.794,15900.976,10337.981,17204.016,11148.056,18315.806,11953.55,18864.867,11366.74,17278.627,10173.688,16781.319,10518.6,17054.012,10115.816,18748.315,8433.751,25110.006,6982.559,29452.774,6320.942,32302.46,13555.933,42023.164,12701.416,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.603,58.603,58.603,65.914,65.914,65.914,,,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,88.394,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,65.914,4427.571,4427.571,4427.571,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875.941,770.753,773.011,839.94,952.94,1222.772,,,5941.334,2415.091,7011.648,3082.807,7848.451,3603.454,8373.482,4106.093,9026.808,4929.267,9963.991,5592.315,10558.233,6306.965,11033.116,6819.202,11879.839,7102.816,11953.145,7083.499,11554.56,6759.111,12735.317,7629.085,13445.434,8217.623,14759.376,9192.88,15835.062,10272.067,17138.102,11082.142,18249.892,11887.636,18798.953,11300.826,17212.713,10107.774,16715.405,10452.686,16988.098,10049.902,18682.401,8367.837,25044.092,6916.645,29386.86,6255.028,32236.546,9128.362,37595.593,8273.845,
