SO US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,16,,,,,,,1180,868,365,428,3399,1219,243,740,1885,318,-17
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-40,-251,-2516,-60,-209,115,40.5063
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,202,,,,,,7,,,-24,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.1392
"Pretax Income (Loss), GAAP",PRETAX_INC,1421,1581,1665,1772.0819,1761,1973,2004.1521,1855,1909,1709,1770,1864,1863,2107,2119,2186,2389,2569,2722,2604,3066,3487,3749,2559,3008,3629,3480,1068,2749,6542,3496,2576,4223,4345
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,484,597,608,676.767,685,769,757.618,691,678,599,588,558,528,612,587,595,781,835,915,896,1026,1219,1334,849,977,1194,951,142,449,1798,393,267,795,496
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,937,984,1057,1095.3149,1076,1204,1246.5341,1164,1231,1110,1182,1306,1335,1495,1532,1591,1608,1734,1807,1708,2040,2268,2415,1710,2031,2435,2529,926,2300,4744,3103,2309,3428,3849
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,218,0,0,0,0,0,0,0,0,-361,-319,-143,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,719,984,1057,1095.3149,1076,1204,1246.5341,1164,1231,1471,1501,1449,1335,1495,1532,1591,1607,1734,1807,1708,2040,2268,2415,1710,2031,2435,2529,926,2300,4744,3103,2309,3428,3849
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0,0,0,0,0,13,13.182,29,80,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,36,46,58,-10,-31,-99,-107,-127
"Net Income, GAAP",NET_INCOME,719,984,1057,1095.3149,1076,1191,1233.3521,1135,1151,1471,1501,1449,1335,1495,1532,1591,1607,1734,1807,1708,2040,2268,2415,1710,2031,2421,2493,880,2242,4754,3134,2408,3535,3976
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,115,108,104,93.467,87,88,106.291,163,174,195,188,187,17,21,30,30,34,48,65,65,65,65,65,66,68,54,45,38,16,15,15,15,11,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,604,876,953,1001.8479,989,1103,1127.0611,972,977,1276,1313,1262,1318,1474,1502,1561,1573,1686,1742,1643,1975,2203,2350,1644,1963,2367,2448,842,2226,4739,3119,2393,3524,3976
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,604,876,953,1001.8479,989,1103,1127.0611,972,977,1276,1313,1262,1318,1474,1502,1561,1573,1686,1742,1643,1975,2203,2350,1644,1963,2367,2448,842,2226,4739,3119,2393,3524,3976
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,0,197.884,0,0,-21,733,553,261,349.25,2489,976,-1489,319,1225,350,-6.79
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,218,0,0,0,0,0,0,0,0,-361,-319,-143,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,632,632,632,638,649.927,665,672.59,685,697,685,653,689,708,727,739,744,743,756,771,795,832,857,871,877,897,910,951,1000,1020,1046,1058,1061,1075,1092
"Basic EPS, GAAP",IS_EPS,0.955,1.39,1.51,1.57,1.52,1.66,1.68,1.419,1.402,1.86,2.01,1.83,1.86,2.03,2.07,2.14,2.12,2.29,2.26,2.07,2.37,2.57,2.7,1.88,2.19,2.6,2.57,0.84,2.18,4.53,2.95,2.26,3.28,3.64
