Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
  Water & Protection,,1130,0.0757068203135468,1178,0.217102838186509,1283,0.209196151964781,1370,0.362625727898359,1313,0.389729890175126,1385,0.440661788100541,1431,0.43801652892562,1388,0.485314685314685
  Corporate and Other,,—,,—,,—,,—,,—,,9,,-6,,82,
  Corporate,,—,,—,,—,,366,,70,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,954,0.252514557967178,588,0.17453250222618,—,,—,,—,
  Non-Core,,—,,661,0.121820862513822,677,0.110386434045329,—,,—,,—,,—,,—,
  Transportation & Industrial,,1045,0.0700120594935013,1235,0.227607814227792,1518,0.247513451818034,—,,—,,—,,—,,—,
  Corporate & Other,,-812,,-257,,-228,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,1227,0.0822055473670106,1162,0.214154072981939,1445,0.235610631012555,—,,—,,—,,—,,—,
  Electronics & Imaging,,1173,0.0785876993166287,1190,0.219314412089937,1210,0.197293331159302,—,,—,,—,,—,,—,
  Packaging & Specialty Plastics,,5129,0.343628567600161,—,,—,,—,,—,,—,,—,,—,
  Industrial Intermediates & Infrastructure,,1672,0.112019295189602,—,,—,,—,,—,,—,,—,,—,
  Performance Materials & Coatings,,1228,0.0822725445531288,—,,—,,—,,—,,—,,—,,—,
  Agriculture,,2322,0.155567466166421,—,,—,,—,,—,,—,,—,,—,
EBITDA Margin,,—,,—,,—,,—,,—,,—,,—,,—,
  Transportation & Advanced Polymers,,23.2,,25.7,,30.28,,—,,—,,—,,—,,—,
  Corporate & Other,,-276.2,,-214.5,,-242.03,,—,,—,,—,,—,,—,
  Safety & Construction,,22.7,,23.1,,26.16,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,21.3,,21.8,,23.99,,—,,—,,—,,—,,—,
  Electronics & Imaging,,27.5,,31.1,,40.29,,—,,—,,—,,—,,—,
  Packaging & Specialty Plastics,,25.8,,21,,20.44,,—,,—,,—,,—,,—,
  Industrial Intermediates & Infrastructure,,15.5,,18.1,,16.82,,—,,—,,—,,—,,—,
  Performance Materials & Coatings,,19.3,,24.3,,22.66,,—,,—,,—,,—,,—,
  Agriculture,,16.5,,18.2,,18.91,,—,,—,,—,,—,,—,
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate and Other,,—,,—,,—,,—,,—,,-25,,-22,,-4,
  Water & Protection,,—,,3,,79,,-2,,-4,,11,,7,,-5,
  Electronics & Industrial,,—,,—,,—,,—,,7,,19,,7,,-10,
  Corporate,,—,,—,,—,,—,,-39,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,—,,-15,,—,,—,,—,
  Non-Core,,—,,—,,112,,—,,—,,—,,—,,—,
  Transportation & Industrial,,—,,14,,120,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,—,,4,,141,,—,,—,,—,,—,,—,
  Electronics & Imaging,,—,,12,,34,,—,,—,,—,,—,,—,
Revenue Growth - Supplemental Breakdown,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate and Other,,—,,—,,—,,—,,—,,—,,-22,,-4,
  Water & Protection,,—,,—,,79,,—,,-4,,11,,7,,-5,
  Electronics & Industrial,,—,,—,,—,,-2,,5,,19,,7,,-10,
  Corporate,,—,,—,,—,,—,,-39,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,-9,,-15,,—,,—,,—,
  Non-Core,,—,,—,,112,,—,,—,,—,,—,,—,
  Transportation & Industrial,,—,,—,,120,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,—,,—,,141,,—,,—,,—,,—,,—,
  Electronics & Imaging,,—,,—,,34,,—,,—,,—,,—,,—,
Organic Growth,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate and Other,,—,,—,,—,,—,,—,,—,,10,,3,
  Water & Protection,,—,,—,,—,,3,,-6,,10,,11,,-4,
  Electronics & Industrial,,—,,—,,—,,—,,—,,12,,5,,-11,
Share Profits of JV/Associates Results,,516,1.0,—,,447,1.0,313,1.0,187,1.0,85,1.0,75,1.0,51,1.0
  Water & Protection,,25,0.045045045045045,—,,24,0.0536912751677852,27,0.490909090909091,26,0.329113924050633,36,0.467532467532467,39,0.557142857142857,35,0.686274509803922
  Electronics & Industrial,,—,,—,,—,,24,0.436363636363636,34,0.430379746835443,41,0.532467532467532,31,0.442857142857143,16,0.313725490196078
  Corporate and Other,,—,,—,,—,,—,,—,,8,,5,,0,
  Corporate,,—,,—,,—,,258,,108,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,4,0.0727272727272727,19,0.240506329113924,—,,—,,—,
  Non-Core,,—,,—,,400,0.894854586129754,—,,—,,—,,—,,—,
  Transportation & Industrial,,15,0.027027027027027,—,,1,0.00223713646532438,—,,—,,—,,—,,—,
  Corporate & Other,,-39,,—,,—,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,19,0.0342342342342342,—,,-1,-0.00223713646532438,—,,—,,—,,—,,—,
  Electronics & Imaging,,46,0.0828828828828829,—,,23,0.0514541387024608,—,,—,,—,,—,,—,
  Packaging & Specialty Plastics,,156,0.281081081081081,—,,—,,—,,—,,—,,—,,—,
  Industrial Intermediates & Infrastructure,,-18,-0.0324324324324324,—,,—,,—,,—,,—,,—,,—,
  Performance Materials & Coatings,,302,0.544144144144144,—,,—,,—,,—,,—,,—,,—,
  Agriculture,,10,0.018018018018018,—,,—,,—,,—,,—,,—,,—,
Adjusted EBITDA,,14114,1.0,5169,1.0,5905,1.0,4144,1.0,3439,1.0,3152,1.0,3261,1.0,2942,1.0
  Electronics & Industrial,,—,,—,,—,,1454,0.384859714134463,1468,0.435737607598694,1758,0.559338211899459,1836,0.56198347107438,1472,0.514685314685315
  Water & Protection,,1130,0.0757068203135468,1178,0.217102838186509,1283,0.209196151964781,1370,0.362625727898359,1313,0.389729890175126,1385,0.440661788100541,1431,0.43801652892562,1388,0.485314685314685
  Corporate and Other,,—,,—,,—,,—,,—,,9,,-6,,82,
  Corporate,,—,,—,,—,,366,,70,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,954,0.252514557967178,588,0.17453250222618,—,,—,,—,
  Non-Core,,—,,661,0.121820862513822,677,0.110386434045329,—,,—,,—,,—,,—,
  Transportation & Industrial,,1045,0.0700120594935013,1235,0.227607814227792,1518,0.247513451818034,—,,—,,—,,—,,—,
  Corporate & Other,,-812,,-257,,-228,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,1227,0.0822055473670106,1162,0.214154072981939,1445,0.235610631012555,—,,—,,—,,—,,—,
  Electronics & Imaging,,1173,0.0785876993166287,1190,0.219314412089937,1210,0.197293331159302,—,,—,,—,,—,,—,
  Packaging & Specialty Plastics,,5129,0.343628567600161,—,,—,,—,,—,,—,,—,,—,
  Industrial Intermediates & Infrastructure,,1672,0.112019295189602,—,,—,,—,,—,,—,,—,,—,
  Performance Materials & Coatings,,1228,0.0822725445531288,—,,—,,—,,—,,—,,—,,—,
  Agriculture,,2322,0.155567466166421,—,,—,,—,,—,,—,,—,,—,
Goodwill,,—,,59527,1.0,34496,1.0,6711,1.0,18702,1.0,16384,1.0,16663,1.0,16720,1.0
  Electronics & Industrial,,—,,—,,—,,—,,8458,0.45225109613945,9583,0.58489990234375,9397,0.5853734504454,10205,0.633654144675567
  Water & Protection,,—,,6595,0.110790061652695,6698,0.194167439703154,6711,1.0,6969,0.372633942893808,6801,0.41510009765625,6656,0.4146265495546,5900,0.366345855324433
  Corporate and Other,,—,,—,,—,,—,,—,,—,,610,,615,
  Corporate,,—,,—,,—,,—,,0,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,—,,3275,0.175114960966742,—,,—,,—,
  Non-Core,,—,,—,,1609,0.0466430890538033,—,,—,,—,,—,,—,
  Transportation & Industrial,,—,,6870,0.115409814033968,6967,0.201965445269017,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,—,,13200,0.221748114301073,12109,0.35102620593692,—,,—,,—,,—,,—,
  Electronics & Imaging,,—,,8175,0.137332638970551,7113,0.206197820037106,—,,—,,—,,—,,—,
  Packaging & Specialty Plastics,,—,,5044,0.0847346582223193,—,,—,,—,,—,,—,,—,
  Industrial Intermediates & Infrastructure,,—,,1101,0.0184958086246577,—,,—,,—,,—,,—,,—,
  Performance Materials & Coatings,,—,,3669,0.0616358963159575,—,,—,,—,,—,,—,,—,
  Agriculture,,—,,14873,0.249853007878778,—,,—,,—,,—,,—,,—,
Assets,,—,,192164,1.0,188030,1.0,—,,49435,1.0,37798,1.0,40064,1.0,38552,1.0
  Electronics & Industrial,,—,,—,,—,,—,,15065,0.382253685519271,17701,0.541248776908024,17110,0.535675151059766,18622,0.575250216236253
  Water & Protection,,—,,15452,0.0914622596836822,15247,0.0909714681209055,—,,15142,0.38420745477151,15003,0.458751223091977,14831,0.464324848940234,13750,0.424749783763746
  Corporate and Other,,—,,—,,—,,—,,—,,5094,,8123,,6180,
  Corporate,,—,,—,,—,,—,,10024,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,—,,9204,0.233538859709218,—,,—,,—,
  Specialty Products,,—,,—,,69390,0.41401653918211,—,,—,,—,,—,,—,
    Transportation & Advanced Polymers,,—,,14712,0.0870821100483,14837,0.0885251965966993,—,,—,,—,,—,,—,
    Nutrition & Biosciences,,—,,25357,0.150091154465385,24359,0.145338361117409,—,,—,,—,,—,,—,
    Electronics & Imaging,,—,,14400,0.0852353442560849,14947,0.0891815133470961,—,,—,,—,,—,,—,
  Materials Science,,—,,—,,54332,0.324172742568704,—,,—,,—,,—,,—,
    Packaging & Specialty Plastics,,—,,25809,0.152766597215645,27192,0.162241500698082,—,,—,,—,,—,,—,
    Industrial Intermediates & Infrastructure,,—,,12113,0.0716983142343025,12932,0.0771589837830098,—,,—,,—,,—,,—,
    Performance Materials & Coatings,,—,,15532,0.0919357893739937,14208,0.0847722580876123,—,,—,,—,,—,,—,
  Corporate & Other,,—,,23220,,20428,,—,,—,,—,,—,,—,
  Agriculture,,—,,45569,0.269728430722606,43880,0.261810718249186,—,,—,,—,,—,,—,
Sales Change - Volume %,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate and Other,,—,,—,,—,,—,,—,,—,,0,,2,
  Water & Protection,,—,,—,,2,,—,,-8,,8,,-1,,-7,
  Electronics & Industrial,,—,,—,,—,,-1,,6,,12,,3,,-11,
  Corporate,,—,,—,,—,,—,,-23,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,-10,,-11,,—,,—,,—,
  Non-Core,,—,,—,,-4,,—,,—,,—,,—,,—,
  Transportation & Industrial,,—,,—,,-2,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,—,,—,,1,,—,,—,,—,,—,,—,
  Electronics & Imaging,,—,,—,,4,,—,,—,,—,,—,,—,
Sales Change - Prices %,,—,,—,,—,,—,,—,,—,,—,,—,
  Water & Protection,,—,,—,,2,,—,,2,,2,,12,,3,
  Corporate and Other,,—,,—,,—,,—,,—,,—,,10,,1,
  Electronics & Industrial,,—,,—,,—,,0,,-1,,0,,2,,0,
  Corporate,,—,,—,,—,,—,,2,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,3,,-4,,—,,—,,—,
  Non-Core,,—,,—,,0,,—,,—,,—,,—,,—,
  Transportation & Industrial,,—,,—,,6,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,—,,—,,2,,—,,—,,—,,—,,—,
  Electronics & Imaging,,—,,—,,-1,,—,,—,,—,,—,,—,
Sales Change - Currencies %,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate and Other,,—,,—,,—,,—,,—,,—,,-3,,0,
  Electronics & Industrial,,—,,—,,—,,-1,,0,,1,,-3,,-1,
  Water & Protection,,—,,—,,1,,—,,0,,1,,-4,,-1,
  Corporate,,—,,—,,—,,—,,0,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,-2,,0,,—,,—,,—,
  Non-Core,,—,,—,,0,,—,,—,,—,,—,,—,
  Transportation & Industrial,,—,,—,,-1,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,—,,—,,-1,,—,,—,,—,,—,,—,
  Electronics & Imaging,,—,,—,,0,,—,,—,,—,,—,,—,
Sales Change - Other %,,—,,—,,—,,—,,—,,—,,—,,—,
  Electronics & Industrial,,—,,—,,—,,0,,0,,6,,5,,2,
  Water & Protection,,—,,—,,74,,—,,2,,0,,0,,0,
  Corporate and Other,,—,,—,,—,,—,,—,,-33,,-29,,-7,
  Corporate,,—,,—,,—,,—,,-18,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,0,,0,,—,,—,,—,
  Non-Core,,—,,—,,116,,—,,—,,—,,—,,—,
  Transportation & Industrial,,—,,—,,117,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,—,,—,,139,,—,,—,,—,,—,,—,
  Electronics & Imaging,,—,,—,,31,,—,,—,,—,,—,,—,
Short Term Debt,,—,,13554,1.0,2165,1.0,—,,—,,—,,—,,—,
  DowDuPont,,—,,—,,0,,—,,—,,—,,—,,—,
  Dow,,—,,484,0.0357090157886971,302,0.139491916859122,—,,—,,—,,—,,—,
  DuPont,,—,,13070,0.964290984211303,1863,0.860508083140878,—,,—,,—,,—,,—,
Current Portion of Long Term Debt,,—,,2067,1.0,637,1.0,—,,—,,—,,—,,—,
  DowDuPont,,—,,—,,0,,—,,—,,—,,—,,—,
  Dow,,—,,752,0.36381228834059,340,0.533751962323391,—,,—,,—,,—,,—,
  DuPont,,—,,1315,0.63618771165941,297,0.466248037676609,—,,—,,—,,—,,—,
Long Term Debt,,—,,30056,1.0,37662,1.0,—,,—,,—,,—,,—,
  DowDuPont,,—,,—,,12596,0.334448515745314,—,,—,,—,,—,,—,
  Dow,,—,,19765,0.657605802501996,19254,0.511231480006372,—,,—,,—,,—,,—,
  DuPont,,—,,10291,0.342394197498004,5812,0.154320004248314,—,,—,,—,,—,,—,
Debt,,—,,34071,1.0,40464,1.0,—,,—,,—,,—,,—,
  DowDuPont,,—,,—,,12596,0.311289047054172,—,,—,,—,,—,,—,
  Dow,,—,,21001,0.616389304687271,19896,0.491696322657177,—,,—,,—,,—,,—,
  DuPont,,—,,13070,0.383610695312729,7972,0.197014630288652,—,,—,,—,,—,,—,
Depreciation and Amortization,,—,,1060,1.0,5918,1.0,—,,1373,1.0,1112,1.0,1135,1.0,1147,1.0
  Electronics & Industrial,,—,,—,,—,,—,,449,0.339894019682059,518,0.503401360544218,580,0.540037243947858,607,0.544883303411131
  Water & Protection,,—,,267,0.25188679245283,549,0.253931544865865,—,,502,0.38001514004542,511,0.496598639455782,494,0.459962756052142,507,0.455116696588869
  Corporate and Other,,—,,—,,—,,—,,—,,83,,61,,33,
  Corporate,,—,,—,,—,,—,,52,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,—,,370,0.280090840272521,—,,—,,—,
  Non-Core,,—,,67,0.0632075471698113,124,0.0573543015726179,—,,—,,—,,—,,—,
  Transportation & Industrial,,—,,204,0.192452830188679,456,0.210915818686401,—,,—,,—,,—,,—,
  Reconciliation,,—,,—,,3748,,—,,—,,—,,—,,—,
  Corporate & Other,,—,,0,,8,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,—,,239,0.225471698113208,643,0.29740980573543,—,,—,,—,,—,,—,
  Electronics & Imaging,,—,,283,0.266981132075472,390,0.180388529139685,—,,—,,—,,—,,—,
Capital Expenditures,,—,,-551,,-1244,,-415,,-833,,-816,,-659,,-590,
  Corporate and Other,,—,,—,,—,,—,,—,,-88,,-80,,-44,
  Water & Protection,,—,,-184,0.333938294010889,-342,0.27491961414791,-415,1.0,-328,0.397575757575758,-391,0.537087912087912,-289,0.499136442141624,-240,0.43956043956044
  Electronics & Industrial,,—,,—,,—,,—,,-345,0.418181818181818,-337,0.462912087912088,-290,0.500863557858377,-306,0.56043956043956
  Corporate,,—,,—,,—,,—,,-8,,—,,—,,—,
  Mobility & Materials,,—,,—,,—,,—,,-152,0.184242424242424,—,,—,,—,
  Non-Core,,—,,-32,0.058076225045372,-69,0.0554662379421222,—,,—,,—,,—,,—,
  Transportation & Industrial,,—,,-78,0.141560798548094,-199,0.159967845659164,—,,—,,—,,—,,—,
  Corporate & Other,,—,,0,,0,,—,,—,,—,,—,,—,
  Nutrition & Biosciences,,—,,-156,0.283121597096189,-404,0.32475884244373,—,,—,,—,,—,,—,
  Electronics & Imaging,,—,,-101,0.183303085299456,-230,0.184887459807074,—,,—,,—,,—,,—,
Source: Bloomberg,,,,,,,,,,,,,,,,,
