XOM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5459,,,,6845,,,,8598,,,,6614,,,,7159,,,,9468,,,,6632,,,,5361,,,,4323,,,,5063,,,,5866,,,,4242,,,,5500,,,,8905,,,,7719,,,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,5624,5708,6277,6386,6088,5753,6135,6081,5722,6149,6357,5807,5582,5491,5406,5472,5219,5469,5565,5541,5522,5897,5877,5681,5339,5355,5468,5285,5064,5136,5486,5487,5209,5119,5462,8692,4947,4787,4895,8492,8184,8499,8540,8304,8382,8395,8615,7904,8321,8666,8756,8068,8862,10035,9757,8957,10186,9958,10079,9487,10462,10583,10976,9321,11584,11829,12528,10714,12605,12895,13019,11089,15378,15861,15940,11646,12717,12441,12585,11553,13488,13439,14302,12976,16262,19048,16730,15024,14749,15158,16575,14542,16231,17197,16867,16135,18568,18177,17761,16678,16102,16663,16584,16245,16223,15875,15342,15080,14873,15305,16743,16992,18048,18483,18761,18958,18332,18835,17590,18528,16501,19657,17885,18850,18357,19275,19607,18780,22177,23585,24096,24435,23642,24249,24450,25120,23491,24503,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,0,664,675,112,1138,1055,1094,1060,1053,1102,1145,1161,1167,1254,1284,1241,1242,1252,1282,1292,1294,1278,1329,1351,,1364,1399,,,,,,,,,2226,,2348,2430,2315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957,0,0,0,5898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4383,4704,7537,4263,4123,4220,7370,7046,7444,7446,7244,7329,7293,7470,6743,7154,7412,7472,6827,7620,8783,8475,7665,8892,8680,8750,8136,9124,9219,9577,7852,10048,10233,10858,8979,10759,10866,10883,8863,13075,13513,13510,9331,10296,9855,9860,8718,10631,10439,11154,9852,13026,15762,13398,11665,11343,11729,13010,10836,12446,13373,12829,12117,14439,13944,13441,12384,11792,12299,12249,12037,11837,11543,10981,10877,10686,11135,12488,12871,13879,14373,14617,14803,13979,14379,13131,14010,12067,15028,13162,14169,13740,14711,15087,14519,18074,19580,20078,20434,19458,20006,20052,20528,18891,19685,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,758,-957,684,664,0,-5898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,0,0,-13931,1536,1596,1670,,1846,2029,2136,0,2303,0,0,0,2421,2586,2725,2835,2857,3000,3148,3124,3236,3286,3332,3359,3406,3429,3565,3706,3785,3824,4038,4018,4129,4233,4320,4294,4310,4364,4335,4208,4386,4332,4361,4203,4187,4170,4255,4121,4169,4110,4144,4155,4353,4456,4459,4518,4434,4629,4723,4681,4617,4564,4520,4261,4103,4005,4018,4001,4184,4243,4398,4592,4600,4818,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,1073,1252,1255,2526,993,989,869,2611,809,868,808,2710,1125,1108,1127,2308,1181,1193,1145,2852,1325,1289,1025,2869,1034,1036,1062,3663,1075,1102,1153,3654,3805,1055,1113,1637,1196,1187,1185,1733,2128,2404,2662,7446,2122,2220,2174,1681,1872,2187,2151,1831,2138,2039,1938,2068,2206,7026,7242,7000,7474,7683,8321,7866,7983,8109,8101,7877,7884,8551,8783,3924,4559,6601,6396,3911,4019,4464,5179,5175,5329,6304,5828,5897,7781,7885,7256,6633,6897,6096,5873,5349,5858,5698,5896,5377,5215,5571,4909,3607,4341,4684,4197,2798,3368,3768,2122,1285,1519,1544,1480,1368,1456,1649,1665,1272,1553,1563,1759,1469,1465,1747,2002,1098,1568,1562,1664,1189,1862,2654,2375,1807,2123,2068,1934,1935,2200,2204,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4019,4464,5179,5175,5329,5305,5036,5897,7781,7885,7256,6633,6897,6096,5873,5349,5858,5698,5896,5377,5215,5571,4909,3607,4341,4684,4197,2798,3368,3768,2122,1285,1519,1544,1480,1343,1456,1649,1665,1272,1553,1563,1759,1469,1465,1747,2002,1098,1568,1562,1664,1189,1862,2654,2375,1807,2123,2068,1934,1935,2200,2204,
Total Current Assets,BS_CUR_ASSET_REPORT,16158,15697,17309,18336,16843,15511,16168,17012,15670,16658,17136,16424,16178,16256,16228,14859,15488,15986,16450,16460,18452,17986,17498,17318,18964,18401,18578,19910,21768,20794,21686,21192,20041,18280,18077,28594,16709,16429,18048,31141,32380,37051,39449,40399,42527,41322,40327,35681,35455,36137,36543,38291,45474,44066,42958,45960,52475,54250,57935,60377,68590,69630,74730,73342,78474,80658,81753,75777,78065,80720,85247,85963,97758,103982,96021,72266,64818,59496,57324,55235,61696,62216,62633,58984,72022,72305,69376,72963,76160,72797,72138,64460,62594,62844,61303,59308,61864,64013,58595,52910,50658,51647,47234,42623,44251,45828,42945,41416,43131,42180,45752,47134,48315,50555,53975,47973,51576,51743,50008,50052,50249,53016,48693,44893,48195,52842,55555,59154,77255,93163,99289,97631,97224,91760,101142,96609,99377,96238,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,60144,61008,62262,62688,60754,60324,62115,63864,62454,64115,63860,61799,61821,61608,61722,61962,61777,62443,63454,63425,64535,64653,64888,65446,65183,65487,65914,66607,65493,65520,67008,66414,66726,66752,68277,92583,64415,65002,65999,94043,92553,91303,90067,89829,88006,88356,89533,89602,89253,93190,93459,94940,96595,99500,101192,104965,104784,103854,104893,108639,107415,106215,107094,107010,108397,111110,111722,113687,114201,116058,119102,120869,122935,124925,123258,121346,122224,127861,132874,139116,140819,188069,195440,199548,203726,209807,209194,214664,214602,214940,220330,226949,233728,235240,240981,243650,245897,251353,251406,252668,249497,253653,250583,251605,255257,254062,251923,244224,253147,252987,255556,252630,250352,248209,249153,247101,253003,257118,257065,259651,248409,250524,250496,233631,224641,223012,218795,222634,212773,209159,203102,211143,206023,206736,205862,221789,213723,298283,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,107599,,,,112440,,,,110738,,,,111135,,,,116326,,,,122337,,,,126366,,125695,129176,127778,129161,,,182467,,,,189212,188420,,,187746,,,,190503,,,,204960,,,,229315,,,,242422,,,,240294,,,,259284,,,,280340,,,,270845,,,,305906,,,,373938,,,,393995,,,,409314,,,,434517,,,,446789,,,,447337,,,,453915,,,,477185,,,,477190,,,,493335,,,,511400,,,,501144,,,,479144,,,,494234,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,44911,,,,48576,,,,48939,,,,49173,,,,52901,,,,56891,,,,59759,,60175,62168,61364,62435,,,89884,,,,95169,95867,,,97917,,,,100901,,,,110020,,,,124350,,,,133783,,,,133284,,,,145597,,,,159471,,,,149499,,,,166790,,,,174390,,,,179331,,,,182365,,,,190867,,,,194121,,,,195732,,,,209691,,,,224555,,,,230089,,,,233684,,,,277769,,,,278510,,,,268001,,,,272445,,,
  + LT Investments & Receivables,BS_LT_INVEST,,,,1207,,,,1148,,,,1114,,0,0,1177,,,,1323,,,,1345,0,,,0,0,0,0,0,8186,8184,8873,3072,9607,9804,10347,14544,18305,18264,18736,3244,18253,17982,18044,2373,17329,18905,19471,1164,20426,21537,22837,1104,22943,22885,24605,2863,0,0,27897,20592,29131,29242,30472,23237,31033,0,0,28194,37509,37851,36939,28556,,,,7254,,,,8623,,,,7625,,,,6229,,,,6233,,,,5404,,,,4798,,,,4849,,,,5694,,,,5800,,,,5331,,,,4931,,,,5644,,,,7222,,,,6023,,,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577,,,,1557,,,,1544,,,,437,,,,115,,,,526,,,,274,,,,154,,,,174,,,,210,,,,190,,,,143,,,,138,,,,278,,,,177,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5677,,,,7066,,,,6081,,,,5792,,,,6118,,,,4878,,,,4524,,,,4695,,,,5520,,,,5590,,,,5141,,,,4788,,,,5506,,,,6944,,,,5846,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,5983,5903,6586,5476,6064,5909,6310,5536,6383,6445,6547,5693,6736,6686,7037,6147,7389,7673,7886,6654,8284,8519,8320,7187,8432,8508,8976,9010,8386,8606,8429,8458,,,,15086,,,,4793,,,,15528,,,,15518,,,,18249,,,,22249,,,,,25247,25971,,,,,,,,31537,32312,7056,,,,5884,35449,37304,39109,31718,40233,40783,41921,35355,43785,44092,44657,35800,54390,41908,42723,36157,43317,43531,45280,37617,45272,43220,42763,38511,42806,42960,42845,37732,43281,42583,44518,39825,47931,47845,48119,43233,50159,50026,51500,45322,51610,51868,52288,47563,57146,57955,58854,49295,60934,61435,62338,51491,64743,65452,67761,53071,66124,64752,65255,51896,64818,66186,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,0,,0,0,0,,0,0,0,,,,0,,,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,0,,0,0,0,,0,0,0,,0,0,0,,0,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
