NVDA US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.623,15.193,8.441,11.734,37.631,55.241,68.135,93.192,90.38,86.77,91.187,120.488,213.877,253.927,285.35,205.043,145.046,165.785,217.859,260.819,234.238,234.796,266.985,297.551,315.518,307.759,300.955,284.847,254.87,346.366,378.661,373.558,354.68,332.635,276.305,306.143,358.521,420.126,432.279,523.988,537.834,327.259,279.216,277.643,330.674,388.139,434.227,377.812,345.525,380.964,361.911,319.602,340.297,342.707,387.185,428.983,412.467,377.597,378.28,380.319,387.765,393.28,387.434,408.081,483,438,441,425,418,394,521,679,794,821,855,857,796,797,1090,1417,1575,1426,1204,1047,979,1128,1401,1495,1826,1992,2114,2233,2605,3163,3889,4454,5159,4611,4319,4779,5282,5864,6675,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,22.906,13.508,6.927,6.471,13.367,29.781,23.691,10.043,17.51,23.618,29.192,32.481,22.131,33.236,45.568,39.586,23.225,30.844,22.848,29.091,25.743,29.513,29.087,47.602,56.261,44.343,33.197,40.019,31.299,31.307,27.549,30.559,122.024,25.569,53.599,59.567,76.935,111.082,138.826,94.877,67.88,125.346,76.584,69.447,84.927,108.589,87.117,107.241,157.989,136.533,119.491,138.205,126.896,143.773,126.191,128.588,157,151,139,117,105,124,133,203,252,375,294,219,227,214,421,634,613,484,362,255,249,341,320,455,632,734,825,755,791,1119,1534,1936,2430,1809,1632,1663,1719,1991,1895,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.385,8.626,3.455,8.726,6.446,6.711,21.496,14.81,12.05,18.129,21.414,44.051,77.13,33.772,30.705,19.683,13.179,35.153,28.369,73.17,44.523,64.988,56.994,97.951,130.211,102.807,113.98,100.125,107.847,120.845,146.566,127.636,111.058,121.93,65.147,121.364,107.835,162.386,176.099,161.534,38.747,94.77,65.868,74.163,67.502,64.607,41.74,61.397,72.698,44.9,75.266,58.798,62.934,82.779,82.339,71.327,67.352,57.722,64.937,77.834,94.844,83.767,85.895,78.849,92,73,107,91,103,105,143,203,176,137,209,235,192,254,266,259,238,189,203,265,265,287,516,380,457,504,553,538,692,672,767,788,466,930,1058,1338,1505,1625,2111,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.238,6.567,4.986,3.008,31.185,48.53,46.639,78.382,55.424,55.133,61.269,69.966,123.38,190.374,230.954,175.317,114.357,107.014,160.298,155.168,167.584,136.572,164.423,160.014,162.082,174.108,164.127,155.631,121.28,196.008,203.008,198.32,187.361,166.362,177.961,144.76,219.387,226.433,228.631,331.895,377.063,206.92,159.749,143.913,186.237,212.45,253.661,221.538,204.947,210.718,210.061,191.357,192.436,151.339,217.729,250.415,187.126,183.342,193.852,164.28,166.025,165.74,175.348,200.644,234,214,195,217,210,165,245,273,366,309,352,403,377,329,403,524,724,753,639,527,465,500,565,660,737,754,736,940,1122,1372,1588,1730,2263,1872,1629,1778,2058,2248,2669,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.599,2.16,2.746,4.209,6.76,16.187,24.504,33.313,61.241,79.953,81.5,51.62,81.507,85.311,79.681,79.815,23.642,28.915,26.384,27.32,17.8,19.55,19.589,18.341,23.084,25.134,28.021,27.214,27.069,29.938,36.825,39.483,40.56,43.055,41.102,44.551,54.336,55.428,45.294,43.389,56.299,50.885,70.624,48.174,46.966,44.282,53.301,43.168,42.092,46.056,61.206,60.854,99.342,147.442,103.254,116.128,180.656,168.67,190.312,188.937,138.779,136.263,134.473,128.831,133,147,148,145,93,119,112,124,118,113,125,135,86,131,136,159,136,159,151,149,157,195,215,213,239,444,452,321,366,636,1175,718,791,872,1389,1289,3080,4062,4026,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.493,,12.15,22.101,27.468,26.274,24.662,24.09,20.64,24.377,19.948,19.343,29.946,80.887,34.074,33.451,34.436,39.298,37.651,33.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.428,45.294,43.389,16.301,50.885,38.398,9.568,10.746,9.256,19.887,10.326,11.996,12.223,14.977,15.23,19.465,16.624,19.249,32.746,42.484,23.036,36.678,40.823,70.285,71.067,67.776,67.333,70,89,89,93,93,119,112,124,118,113,125,135,86,131,136,159,136,159,151,149,157,195,215,213,239,444,452,321,366,636,1175,718,791,872,1389,1289,3080,4062,4026,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.112,103.375,108.123,127.562,173.175,413.226,466.936,925.74,930.884,880.653,966.611,1006.937,1234.109,1319.064,1324.48,1346.296,1351.6021,1400.7889,1446.043,1058.104,1052.712,1116.96,1146.29,1211.151,1304.926,1319.657,1401.915,1449.976,1550.299,1722.627,1726.289,2025.888,2031.77,2154.233,2397.405,2756.054,2888.829,2748.993,2814.219,2480.099,2167.958,2020.684,2167.905,2357.716,2480.83,2726.98,2655.962,2807.702,3226.95,3496.763,3317.557,3500.071,3905.358,4032.116,4213.851,4424.827,4775.258,4606.616,3922.608,4049.841,5624.711,5273.798,5377.586,5341.109,5713,5832,5608,5834,6053,5790,6156,8307,8536,8116,8070,8479,9255,9448,10831,11386,10557,10629,11391,12420,13690,19584,14681,14393,16055,18127,25806,25806,28829,29575,27418,23223,23073,24883,28797,32658,44345,53729,59633,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65,22.691,22.742,26.624,25.886,30.443,34.908,37.425,47.28,74.333,94.863,108.695,120.128,131.267,143.578,138.778,135.152,148.904,198.945,196.23,190.029,185.041,182.988,182.198,178.955,169.236,178.951,178.505,178.152,180.206,177.144,220.54,260.828,271.19,264.832,322.946,359.808,522.056,599.478,609.674,625.798,601.053,582.914,565.296,571.858,548.916,542.216,585.672,568.857,553.366,550.896,551.757,560.072,553.541,574.056,566.54,576.144,588.023,578.948,595.418,582.74,570.802,556.911,566.601,557,547,497,477,466,479,485,503,521,539,578,600,997,1066,1162,1292,1404,2009,2019,2044,2292,2310,2665,2740,2856,2995,3165,3339,3607,3772,4085,4701,4845,4834,5034,5160,5260,5538,6441,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.591,30.869,33.016,39.24,41.33,48.449,56.163,62.011,76.245,,,,170.569,,,,229.083,,,,337.875,351.061,,385.721,395.822,404.684,433.228,451.948,460.401,,,,569.498,,,,753.518,,952.386,964.685,1008.753,,,,1088.483,,,,1193.939,,,,1156.528,,,,1288.782,,,,1282.82,,,,1179,,,,1100,,,,1191,,,,1737,,,,2171,,,,3303,,,,4264,,,,5510,,,,7539,,,,8769,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.941,8.178,10.274,12.616,15.444,18.006,21.255,24.586,28.965,,,,50.441,,,,93.931,,,,147.846,166.02,,203.523,216.867,235.448,254.277,273.443,282.249,,,,308.67,,,,393.71,,352.908,355.011,382.955,,,,516.625,,,,625.082,,,,596.456,,,,712.638,,,,700.08,,,,622,,,,634,,,,670,,,,740,,,,767,,,,1011,,,,1408,,,,1903,,,,2694,,,,3509,,,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.59,3.538,3.367,3.189,4.122,5.339,20.181,38.738,126.798,128.665,131.718,148.937,149.386,147.096,144.623,130.261,137.84,135.125,204.446,156.603,156.192,151.607,146.307,144.655,146.201,147.352,177.027,226.236,258.62,280.396,284.725,382.665,375.445,374.03,396.263,499.034,536.409,546.352,559.125,556.971,556.967,547.59,540.562,533.23,527.134,533.09,522.205,699.439,686.615,995.971,1037.215,1087.498,1122.51,1103.974,1083.777,1060.843,1084.888,1068.036,1066.114,1043.443,1020.063,999.222,978.159,931,912,874,863,851,839,820,802,784,755,754,751,989,946,889,979,1331,1383,1365,1346,1333,1360,7834,9748,9880,9674,9679,11487,11751,11865,11973,12564,13264,14743,15724,16330,16123,17805,19153,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,23.795,86.232,80.969,85.21,81.119,82.857,80.462,78.158,76.471,82.352,79.088,153.512,148.872,148.937,143.33,138.175,135.621,135.523,131.375,152.314,160.738,227.592,233.085,230.217,346.936,341.991,348.118,371.107,460.983,496.02,510.948,521.932,516.945,512.29,505.522,497.661,490.302,485.267,488.723,482.486,658.589,648.605,951.649,990.892,967.166,1004.425,987.968,972.278,953.362,977.763,963.55,963.768,939.191,920.709,903.792,884.48,840,823,808,790,784,773,756,738,722,708,694,681,670,673,669,667,663,672,667,661,667,708,7047,7054,6930,6806,6671,6756,6688,6576,6408,6222,6048,5971,5825,5681,5542,5439,5574,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.795,86.232,80.969,85.21,50.326,82.857,80.462,54.227,54.227,55.139,55.139,108.497,108.909,108.78,108.566,108.107,108.107,108.107,108.107,133.107,145.317,204.603,203.657,203.679,301.425,291.077,293.383,292.934,354.057,371.019,365.8,366.286,369.844,369.844,369.844,369.844,369.844,369.844,369.844,369.844,369.844,369.844,593.513,648.053,641.03,641.03,641.03,641.03,641.03,641.03,641.03,643.179,643.179,643.179,643.179,643.179,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,618,628,4193,4193,4193,4193,4193,4302,4349,4365,4372,4372,4372,4430,4430,4430,4430,4453,4622,
