AMT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.414,109.414,109.249,121.852,275.508,282.552,285.821,288.536,291.779,293.045,296.647,370.768,357.294,384.991,409.113,405.81,415.72,436.291,431.772,446.736,484.997,515.722,550.42,567.124,581.533,594.414,632.553,643.226,651.133,668.104,678.12,720.905,785.874,,,,495.615,480.198,524.628,522.16,452.788,482.53,476.931,452.584,445.004,453.602,515.175,528.84,575.246,778.115,736.821,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.239,,,,,,,,,,,,,,,,3280.521,3237.943,2989.989,2734.885,2695.44,2634.575,2617.408,2483.324,2483.604,2450.921,2391.203,2273.356,2231.278,2192.453,3404.389,3460.526,3386.262,3320.822,3268.332,3218.124,3165.156,3115.888,3071.125,3045.186,3030.388,3010.919,3014.079,3022.636,3003.215,3087.799,3128.12,3175.511,3179.196,3188.461,3494.402,3623.835,,,,4981.722,5006.647,5079.729,5242.781,5765.856,5879.513,5811.081,5878.826,7262.175,7344.049,7589.815,7552.11,7590.112,9422.641,9586.4,9806.19,9866.424,9917.985,10575.425,10452.038,10517.3,10717.16,10725.707,10795.057,11101,11294.8,11067,10996.3,11247.1,18283.5,18378.6,18497.9,19441.8,18419.6,18479.8,18895.6,20597.9,20432.4,23409.7,23290,29009.1,29183.5,28875.2,28260.1,28917.2,28795.7,28740.5,28413.1,28667.6,29294,28939.8,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3284.063,,,,3271.039,,,,3270.329,,,,4739.575,,,,4828.207,,,,4992.029,,,,5213.047,,,,5626.97,,,,,,,,,,,,9047.117,,,,10928.903,7344.049,,,11659.094,9422.641,,,14397.298,,,,15651.8,,,,16949.9,,,,17717.2,24948.2,25269.2,25517,26683,,,,28461.6,,,,37628.7,,,,38796.1,,,,39787.1,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.178,,,,787.715,,,,996.973,,,,1279.049,,,,1610.083,,,,1946.843,,,,2190.411,,,,2451.459,,,,,,,,,,,,3281.261,,,,3666.728,,,,4068.982,,,,4530.874,,,,5134.5,,,,5848.9,,,,6470.1,6664.7,6890.6,7019.1,7241.2,,,,7863.7,,,,8619.6,,,,9878.9,,,,11119.5,,,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.021,27.279,23.871,,,,,,,,,,,,,,,,,,,,,7.224,6.802,11.786,8.013,2.028,0.962,8.99,3.844,9.776,18.945,27.891,42.72,46.428,,,,22.27,32.817,29.492,0,6.018,13.004,14.257,27.381,18.612,34.43,15.298,29.007,6.302,14.394,40.387,14.485,0,,0,0,4,5.294,1.012,1.032,1,389.4,80.8,68.2,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.557,,,,,,,,,,,,,,,,3068.132,2516.502,2410.262,2607.435,2520.666,2474.042,2448.571,2198.586,2167.609,2187.479,2220.158,2266.646,2247.356,2227.823,4863.79,4819.338,4777.39,4756.503,4690.881,4668.743,4637.58,4542.067,4515.262,4465.927,4430.435,4448.351,4377.512,4359.212,4302.709,4310.208,4267.894,4313.17,4331.784,4287.12,4657.045,4870.981,,,,6269.772,6485.828,6455.632,6621.762,7283.271,7454.808,7360.54,7497.597,11949.204,11863.47,12110.886,11857.689,12419.133,15086.355,15483.347,16474.629,16347.615,16451.605,19326.052,19248.569,19113,20106.707,20176.13,20059.936,20643.8,20851.7,20580.9,20208.3,19999.4,19052.2,18948.6,18919.3,21319.6,20345.3,20344.8,20262.8,24262.6,23979.1,32832.8,32790.1,37806.6,37488.2,36245.8,35280.7,35378.3,35391.2,35305.1,34360.6,34596.9,34129.9,33567.1,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890.129,1866.686,1776.903,1745.504,1724.509,1688.912,1662.595,1612.432,1636.549,1636.389,1627.506,1577.986,1559.912,1530.811,4290.263,4219.863,4168.736,4113.365,4062.724,4010.643,3970.456,3949.884,3902.729,3874.746,3858.701,3825.646,3787.134,3752.388,3719.102,3780.727,3771.82,3836.483,3901.778,3852.435,4236.817,4475.647,,,,5171.343,5290.87,5284.717,5358.765,6048.728,6170.619,6046.775,6010.377,10431.36,10355.205,10492.813,10255.777,10856.447,13516.956,13889.841,14067.568,13929.681,13937.391,16572.611,16555.188,16345.3,17206.716,17099.831,16952.673,17421.7,17587.3,17284.8,16945.1,16676.2,16581,16453,16377.2,18496.7,17549.4,17436.2,17365.9,21122.5,20769.7,29360.4,29249.2,34077.3,33531.4,32195.1,31006.5,30940,30634.3,30336.7,29224.8,29159.7,28676.1,28242.2,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.54,567.715,590.893,602.993,602.993,592.683,592.683,592.683,592.683,592.683,592.683,592.683,592.683,592.683,2098.872,2142.551,2142.504,2197.014,2197.014,2189.767,2188.327,2186.315,2180.544,2188.312,2188.312,2188.312,2188.53,2186.233,2186.27,2232.783,2239.42,2237.85,2246.17,2255.943,2458.989,2490.295,,,,2676.29,2767.516,2714.718,2763.706,2842.643,2898.638,2832.392,2815.271,3729.901,3737.681,3854.931,3866.55,4032.174,3980.174,4036.642,4055.171,4091.805,4123.401,4981.919,4997.224,5070.7,5379.83,5371.165,5371.679,5638.4,5647.1,5526.6,5463.4,5501.9,5538.2,5557.8,5481.4,6178.3,5948.8,5822.4,5848.6,7282.7,7262.4,10575.4,10480.8,13350.1,13306.6,12969.5,12686.2,12956.7,12997.2,13050.7,12569.7,12639,12556.8,12483.1,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313.589,,,,1121.516,,,1019.749,1043.866,1043.706,1034.823,985.303,967.229,938.128,2191.391,2077.312,2026.232,1916.351,1865.71,1820.876,,,,1686.434,,2689.018,,,,,,,2902.813,2882.592,1777.828,1985.352,,,,2495.053,2523.354,2569.999,2595.059,2033.658,3271.981,3214.383,3195.106,6701.459,6617.524,6637.882,6389.227,6824.273,9536.782,9853.199,10012.397,9837.876,9813.99,11590.692,11557.964,11274.6,11826.886,11728.666,11580.994,11783.3,11940.2,11758.2,11481.7,11174.3,11042.8,10895.2,10895.8,12318.4,11600.6,11613.8,11517.3,13839.8,13507.3,18785,18768.4,20727.2,20224.8,19225.6,18320.3,17983.3,17637.1,17286,16655.1,16520.7,16119.3,15759.1,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.895,,,,393.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.627,263.964,242.765,261.113,235.343,240.176,239.236,243.304,284.93,292.632,292.135,275.79,267.186,240.265,236.42,213.203,212.041,216.643,229.273,197.914,195.7,206.331,213.582,221.759,204.4,192.9,183.7,173.1,157.7,132.3,147.8,143.5,131.8,126.4,138.6,115,123.1,127.3,145.4,150.2,131.6,179.2,132.6,116.4,129.2,107.4,125.7,126.8,179.1,161.2,139.2,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
