Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
  Goodwill,,—,—,—,256,—,—,—,580,—,655,—,738,971,971,1046,1038,1070,1119,1119,1118,1125,1138,1139,—,1144,1144,1144,—,—,—,1354,—,—,—,—,—
  Revenue Growth %,,13,14,16,—,17,17,15,—,16,15,18,21,17,15,7,-6,0,2,2,14,12,10,11,—,10,11,14,13,8,—,11,—,—,—,—,—
  Operating Income Growth %,,28,16,30,—,36,35,32,—,25,19,20,39,20,29,24,-1,23,8,3,28,32,21,12,—,4,17,29,—,12,—,17,—,—,—,—,—
  Changes in Deferred Revenue,,2910,2910,2910,3792,2648,2702,2825,3652,3449,3746,3890,5007,4424,4303,4104,4732,4424,4227,4242,—,4987,4938,4883,—,5720,5612,5743,—,—,—,6496,—,—,—,—,—
  Unearned Revenue Balance,,2910,2910,2910,3652,2648,2702,2825,3652,3449,3746,3890,5007,4424,4303,4104,4732,4424,4227,4242,5282,4987,4938,4883,6552,5720,5612,5743,7445,6654,6544,—,—,—,—,—,—
  Revenue,,2127,2450,2396,2691,2499,2843,2748,3083,2900,3278,3255,3737,3406,3743,3467,3510,3434,3848,3709,4012,3866,4291,4009,—,4217,4740,4534,—,—,—,—,—,—,—,—,—
  Operating Income,,666,839,748,916,771,981,911,1237,962,1172,1092,1373,1151,1489,1344,1206,1283,1370,1227,1546,1551,1723,1361,—,1573,3872,1692,—,—,—,—,—,—,—,—,—
Online Services Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Goodwill,,—,—,—,455,—,—,—,552,—,5923,—,6274,6308,6699,6692,6657,6633,6372,6372,6373,6373,6373,6373,—,6373,6427,6416,—,—,—,224,—,—,—,—,—
  Revenue Growth %,,4,5,5,—,-4,5,11,—,25,38,40,24,15,0,-14,-13,-6,-5,12,13,8,19,14,—,19,10,6,8,9,—,18,—,—,—,—,—
  Operating Income Growth %,,—,0,—,—,—,-367,—,—,—,-108,-33,-132,-80,-91,-154,-51,-50,-46,-73,-19,-17,-17,-2,—,11,18,38,—,29,—,45,—,—,—,—,—
  Changes in Deferred Revenue,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,882,1112,1301,—,—,—,1412,—,—,—,—,—
  Revenue,,564,596,562,580,539,625,603,688,671,863,843,838,770,866,721,731,490,581,566,565,543,729,687,—,658,798,725,—,—,—,—,—,—,—,—,—
  Operating Income,,75,125,-29,-176,-102,-118,-171,-341,-264,-245,-228,-488,-480,-471,-575,-585,-480,-478,-729,-696,-549,-557,-779,—,-513,-642,-476,—,—,—,—,—,—,—,—,—
Windows Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Goodwill,,—,—,—,74,—,—,—,77,—,77,—,153,153,153,76,77,77,77,77,77,89,89,89,—,89,89,89,—,—,—,101,—,—,—,—,—
  Revenue Growth %,,7,9,8,—,4,-25,67,—,25,68,-24,15,2,-8,-16,-29,-39,70,28,44,66,-30,-4,—,2,-6,4,-13,-33,—,23,—,—,—,—,—
  Operating Income Growth %,,7,4,6,—,3,-29,70,—,27,83,-26,16,-4,-13,-19,-33,-52,99,35,59,124,-40,-10,—,-1,-11,6,—,-50,—,16,—,—,—,—,—
  Changes in Deferred Revenue,,2851,2851,2851,2850,2804,3953,2684,2875,2673,2620,2524,2738,2402,2178,2015,2345,3638,1736,1498,—,1570,1467,1370,—,1628,1525,1453,—,—,—,1593,—,—,—,—,—
  Unearned Revenue Balance,,2851,2851,2851,2875,2804,3953,2684,2875,2673,2620,2524,2738,2402,2178,2015,2345,3638,1736,1498,1701,1570,1467,1370,1782,1628,1525,1453,2444,3439,2736,—,—,—,—,—,—
  Revenue,,3430,3464,3151,3347,3572,2636,5211,3808,4150,4428,3965,4486,4229,3982,3404,3150,2620,5073,4508,4548,4705,4988,4395,—,4838,4714,4614,—,—,—,—,—,—,—,—,—
  Operating Income,,2551,2706,2475,2570,2660,1838,4204,2901,3367,3358,3097,3228,3267,2946,2514,1929,1463,3516,2919,3063,3210,3148,2740,—,3235,5484,2960,—,—,—,—,—,—,—,—,—
  Unit Growth (YOY)- Range [High],,—,—,—,—,—,—,—,—,—,—,—,22,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Unallocated and Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Unearned Revenue Balance,,358,358,358,348,344,343,433,348,370,453,472,451,447,508,600,699,786,885,863,843,789,841,930,836,882,1112,1301,1155,1228,1629,—,—,—,—,—,—
  Revenue,,—,-94,—,—,—,—,—,—,—,—,—,—,—,—,—,-3,—,1833,-144,64,119,327,57,—,73,99,84,—,—,—,—,—,—,—,—,—
  Changes in Deferred Revenue,,—,358,—,651,344,343,—,348,370,453,—,451,447,508,600,699,786,885,863,—,789,841,930,—,—,—,—,—,—,—,—,—,—,—,—,—
  Operating Income Growth %,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,42,10,—,—,—,3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
  Operating Income,,—,-1238,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-1205,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Xbox 360 Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Number of Units Sold,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1700000,—,—,—,—,—,—,—
Adjustment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Revenue,,-269,—,-28,—,-235,—,-160,0,43,-17,0,—,-59,39,-102,-135,108,0,0,0,0,0,0,—,0,0,0,—,—,—,—,—,—,—,—,—
Kinect Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Number of Units Sold,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8000000,2400000,—,—,—,—,—,—,—,—,—,—,—,—,—
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
