UNH US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,12734,14270,15557,17306,18941,21263,24312,28401,29557,34074,35193,41704,42579,47782,54628
Operating Income (Loss),IS_OPER_INC,55.206,115.106,207.306,336.351,506.047,640.785,596,742,683,943,1200,1566,2186,2935,4101,5080,6984,7849,5263,6359,7864,8464,9254,9623,10274,11021,12930,15209,17344,19685,22405,23970,28435,32358
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,551,481,505,632,708,618,790,1067,1186,1400,1704,1663,1660,2092,3246
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,49,72,94,,,128,241,456,436,557,,481,505,632,708,618,790,1067,1186,1400,1704,1663,1660,2092,3246
    + Interest Expense,IS_INT_EXPENSE,3.341,1.245,2.972,3.046,2.163,0.771,0,0,4,49,72,94,90,95,128,241,456,544,639,551,481,505,632,708,618,790,1067,1186,1400,1704,1663,1660,2092,3246
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,0,0,108,82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pretax Income (Loss), Adjusted",PRETAX_INC,51.865,113.861,204.334,333.428,467.944,486.218,581,742,-46,894,1155,1472,2096,2840,3973,4839,6528,7305,4624,5808,7383,7959,8622,8915,9656,10231,11863,14023,15944,17981,20742,22310,26343,29112
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,920,,,,,,-6.7,,107,175.8,998.54,-11,129,-113,-156,-181,-211,-141,-166,-83,0,0,0,0,0,0
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,-75,-94,-125,-162,-189,-237,-163,-211,-92,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,64,23,12,6,8,26,22,45,9,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,51.865,113.861,204.334,333.428,467.944,486.218,581,742,-46,894,1155,1472,2096,2840,3973,4839,6528,7305,4624,5808,7383,7959,8622,8915,9656,10231,11863,14023,15944,17981,20742,22310,26343,29112
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,17.634,38.712,72.06,119.379,177.822,170.205,225,282,120,326,419,559,744,1015,1386,1756,2369,2651,1647,1986,2749,2817,3096,3242,4037,4363,4790,3200,3562,3742,4973,4578,5704,5968
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,34.231,75.149,132.274,214.049,290.122,289.809,356,460,-166,568,736,913,1352,1825,2587,3083,4159,4654,2977,3822,4634,5142,5526,5673,5619,5868,7073,10823,12382,14239,15769,17732,20639,23144
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,-1377.075,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,34.231,75.149,132.274,214.049,1667.197,316.013,356,460,-166,568,736,913,1352,1825,2587,3083,4159,4654,2977,3822,4634,5142,5526,5673,5619,5868,7073,10823,12382,14239,15769,17732,20639,23144
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,0.302,0.3,1.683,1.97,1.983,3.845,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,48,0,55,56,265,396,400,366,447,519,763
